Date,Open,High,Low,Close
2007-11-27,770.0,1050.0,770.0,962.9
2007-11-28,984.0,990.0,874.0,893.9
2007-11-29,909.0,914.75,841.0,884.2
2007-11-30,890.0,958.0,890.0,921.55
2007-12-03,939.75,995.0,922.0,969.3
2007-12-04,985.0,1056.0,976.0,1041.45
2007-12-05,1061.0,1099.5,1050.0,1082.45
2007-12-06,1089.0,1109.7,1051.0,1081.3
2007-12-07,1100.0,1134.0,1078.0,1102.4
2007-12-10,1110.0,1110.0,1061.1,1075.4
2007-12-11,1081.0,1089.0,1041.0,1047.65
2007-12-12,1032.0,1065.0,1016.0,1036.8
2007-12-13,1040.0,1150.0,1030.25,1129.95
2007-12-14,1139.9,1140.0,1101.1,1110.5
2007-12-17,1140.0,1168.0,1021.5,1044.25
2007-12-18,1045.0,1109.9,1031.55,1074.95
2007-12-19,1091.0,1116.0,1046.3,1066.9
2007-12-20,1083.5,1083.5,1051.0,1060.2
2007-12-24,1095.0,1192.0,1085.25,1156.8
2007-12-26,1175.0,1214.0,1148.0,1199.9
2007-12-27,1215.0,1240.0,1204.0,1211.65
2007-12-28,1189.4,1274.0,1175.0,1249.1
2007-12-31,1263.35,1295.0,1261.0,1268.8
2008-01-01,1279.0,1319.0,1263.7,1296.85
2008-01-02,1310.25,1324.0,1270.0,1307.45
2008-01-03,1305.0,1314.7,1261.15,1275.8
2008-01-04,1278.8,1294.8,1233.0,1240.35
2008-01-07,1240.0,1278.9,1215.0,1227.25
2008-01-08,1240.0,1255.0,1185.0,1204.8
2008-01-09,1200.0,1210.0,1151.0,1180.25
2008-01-10,1185.0,1199.8,1110.0,1121.55
2008-01-11,1128.0,1130.0,1063.0,1085.85
2008-01-14,1082.4,1082.4,1031.1,1035.15
2008-01-15,1045.6,1078.7,1036.05,1049.55
2008-01-16,1046.0,1064.0,1000.0,1030.4
2008-01-17,1050.0,1053.5,1011.0,1020.9
2008-01-18,1010.0,1072.0,974.9,994.6
2008-01-21,995.0,1005.0,795.7,825.05
2008-01-22,700.0,810.0,660.05,735.55
2008-01-23,760.0,881.9,760.0,857.0
2008-01-24,875.0,935.0,812.0,814.15
2008-01-25,820.0,883.0,820.0,865.7
2008-01-28,835.0,835.0,783.2,820.8
2008-01-29,840.0,860.0,820.05,840.75
2008-01-30,849.8,864.0,822.25,830.45
2008-01-31,831.0,849.9,812.55,837.65
2008-02-01,831.65,852.3,820.0,825.35
2008-02-04,847.9,872.4,840.0,856.1
2008-02-05,856.0,857.0,830.0,834.3
2008-02-06,803.0,824.9,780.0,807.5
2008-02-07,825.0,830.0,792.0,796.25
2008-02-08,810.0,830.0,765.15,784.05
2008-02-11,785.0,785.0,695.0,711.2
2008-02-12,725.0,734.95,655.6,681.3
2008-02-13,815.9,815.9,664.0,670.95
2008-02-14,680.0,714.0,680.0,709.8
2008-02-15,700.0,763.7,681.25,728.75
2008-02-18,735.0,775.0,735.0,771.6
2008-02-19,779.0,786.9,760.2,763.9
2008-02-20,750.0,760.0,720.0,732.1
2008-02-21,762.0,762.0,730.1,737.6
2008-02-22,723.0,737.0,715.0,724.0
2008-02-25,725.05,758.9,702.3,707.65
2008-02-26,725.0,744.0,713.0,735.8
