Date,Open,High,Low,Close
2000-01-03,26.7,26.7,26.7,26.7
2000-01-04,27.0,28.7,26.5,26.85
2000-01-05,26.0,27.75,25.5,26.3
2000-01-06,25.8,27.0,25.8,25.95
2000-01-07,25.0,26.0,24.25,24.8
2000-01-10,25.05,26.5,25.0,25.0
2000-01-11,24.25,24.8,23.0,23.2
2000-01-12,22.6,24.5,22.6,24.0
2000-01-13,24.5,24.5,23.1,23.6
2000-01-14,24.0,24.2,22.5,23.25
2000-01-17,24.5,25.15,24.25,25.15
2000-01-18,26.5,26.5,24.3,24.9
2000-01-19,24.75,26.0,24.75,25.6
2000-01-20,26.1,26.25,24.3,24.45
2000-01-21,25.0,25.3,24.3,25.1
2000-01-24,25.6,25.75,24.6,24.8
2000-01-25,25.0,25.4,24.05,25.05
2000-01-27,25.85,27.05,25.25,27.05
2000-01-28,28.0,29.25,27.1,29.25
2000-01-31,31.0,31.6,30.1,31.6
2000-02-01,32.95,34.15,32.95,34.15
2000-02-02,36.9,36.9,36.9,36.9
2000-02-03,39.85,39.85,39.85,39.85
2000-02-04,43.05,43.05,43.05,43.05
2000-02-07,46.5,46.5,39.65,39.65
2000-02-08,38.0,40.75,37.0,37.95
2000-02-09,39.5,40.0,35.05,36.05
2000-02-10,37.5,38.95,36.5,38.95
2000-02-11,42.1,42.1,42.1,42.1
2000-02-14,44.95,45.25,38.75,38.75
2000-02-15,37.25,37.25,35.65,35.65
2000-02-16,37.0,38.5,36.0,38.1
2000-02-17,39.5,40.0,37.3,38.5
2000-02-18,37.55,37.75,35.5,36.6
2000-02-21,38.25,38.25,34.7,35.4
2000-02-22,37.2,38.0,33.3,33.75
2000-02-23,35.0,36.4,34.0,34.55
2000-02-24,37.35,37.35,33.0,37.35
2000-02-25,39.75,40.1,35.8,39.45
2000-02-28,42.5,42.65,37.0,38.85
2000-02-29,41.0,41.0,35.75,36.25
2000-03-01,37.0,39.15,36.9,39.15
2000-03-02,42.2,42.2,38.0,38.2
2000-03-03,38.0,38.0,35.15,35.55
2000-03-06,37.7,37.8,35.0,35.2
2000-03-07,33.5,35.4,32.4,32.65
2000-03-08,34.0,34.85,30.25,30.6
2000-03-09,29.65,31.1,28.15,28.5
2000-03-10,28.0,28.9,26.55,28.05
2000-03-13,28.5,29.85,26.05,28.35
2000-03-14,27.5,28.3,26.1,27.4
2000-03-15,29.6,29.6,29.6,29.6
2000-03-16,30.7,32.0,29.5,31.9
2000-03-21,34.25,34.25,30.25,30.8
2000-03-22,32.75,32.75,30.6,32.35
2000-03-23,32.8,33.45,31.0,31.45
2000-03-24,31.45,33.0,30.8,31.9
2000-03-27,30.5,32.3,30.0,30.6
2000-03-28,30.25,32.0,30.1,31.7
2000-03-29,32.9,34.25,32.0,34.25
2000-03-30,36.0,37.0,35.05,36.75
2000-03-31,36.9,39.7,36.25,39.7
2000-04-03,42.9,42.9,36.8,38.9
2000-04-04,39.95,39.95,35.8,35.8
2000-04-05,33.05,38.65,33.0,34.7
2000-04-06,35.75,35.9,32.25,32.8
2000-04-07,34.1,35.45,34.1,35.45
2000-04-10,38.0,38.3,36.3,37.95
2000-04-11,39.9,39.9,35.6,36.7
2000-04-12,36.3,38.4,36.25,36.95
2000-04-13,36.0,36.75,34.5,35.0
2000-04-17,32.2,34.25,32.2,34.05
2000-04-18,34.5,35.25,33.25,34.4
2000-04-19,35.55,36.35,32.0,33.85
2000-04-20,33.25,33.9,32.0,33.45
2000-04-24,33.3,34.2,32.0,32.55
2000-04-25,31.75,32.85,30.2,31.1
