Date,Open,High,Low,Close
2008-05-26,898.0,898.0,551.35,604.75
2008-05-27,624.7,639.0,580.3,593.15
2008-05-28,561.65,621.9,561.65,608.15
2008-05-29,619.4,619.4,576.0,599.45
2008-05-30,605.4,607.0,538.0,571.7
2008-06-02,605.5,615.0,570.7,580.8
2008-06-03,596.0,602.0,555.15,579.7
2008-06-04,597.85,597.85,547.5,552.1
2008-06-05,553.0,588.8,532.4,562.4
2008-06-06,567.0,574.7,544.4,568.8
2008-06-09,575.0,575.0,524.0,548.8
2008-06-10,575.5,575.5,547.0,550.4
2008-06-11,560.0,560.0,528.0,530.5
2008-06-12,511.0,527.0,510.7,519.45
2008-06-13,514.25,525.0,501.2,505.9
2008-06-16,510.0,518.0,489.45,494.65
2008-06-17,490.45,510.0,482.6,506.7
2008-06-18,510.1,531.0,500.0,516.45
2008-06-19,500.2,527.0,500.2,512.55
2008-06-20,507.0,519.0,493.6,512.1
2008-06-23,500.0,514.9,499.0,502.3
2008-06-24,495.0,506.0,471.15,479.0
2008-06-25,450.0,502.0,450.0,497.3
2008-06-26,519.9,519.9,469.05,488.95
2008-06-27,465.9,476.85,435.0,453.95
2008-06-30,454.0,459.95,445.35,450.35
2008-07-01,450.0,457.0,433.0,447.1
2008-07-02,430.15,457.95,430.15,453.5
2008-07-03,445.0,448.0,390.15,408.6
2008-07-04,403.5,433.0,401.0,421.0
2008-07-07,425.0,441.0,425.0,435.5
2008-07-08,418.1,439.9,414.0,434.5
2008-07-09,446.0,456.9,440.0,451.75
2008-07-10,450.0,532.0,441.05,498.45
2008-07-11,508.0,508.1,482.0,499.95
2008-07-14,515.0,515.0,481.0,501.65
2008-07-15,480.35,497.8,477.0,479.85
2008-07-16,500.0,500.0,444.15,455.0
2008-07-17,475.0,484.95,461.0,467.6
2008-07-18,461.0,473.0,455.0,464.1
2008-07-21,474.0,505.0,470.0,498.9
2008-07-22,490.15,504.0,485.05,495.05
2008-07-23,514.15,529.0,498.0,519.0
2008-07-24,506.2,534.0,506.2,520.65
2008-07-25,503.25,525.0,503.25,509.95
2008-07-28,500.25,524.7,500.25,515.55
2008-07-29,506.0,515.0,501.35,509.4
2008-07-30,483.95,524.95,483.95,519.75
2008-07-31,501.15,539.0,494.6,533.7
2008-08-01,516.0,532.9,507.0,517.65
2008-08-04,510.05,524.0,510.0,519.0
2008-08-05,505.7,530.0,501.0,526.6
2008-08-06,525.1,571.4,525.1,562.25
2008-08-07,566.0,574.4,545.0,560.05
2008-08-08,551.2,569.0,548.0,551.9
2008-08-11,554.0,577.0,552.0,569.35
2008-08-12,569.85,574.9,548.5,553.35
2008-08-13,543.0,575.0,542.25,570.9
2008-08-14,562.05,571.0,555.15,565.85
2008-08-18,554.85,560.0,532.95,551.4
2008-08-19,554.8,554.85,532.25,547.45
2008-08-20,537.15,573.0,537.15,544.25
2008-08-21,535.0,555.0,512.0,520.15
2008-08-22,506.1,543.0,506.1,531.85
2008-08-25,570.0,570.0,527.15,541.9
2008-08-26,541.0,550.0,530.1,549.05
2008-08-27,554.9,585.0,548.8,578.8
2008-08-28,576.0,590.0,564.0,583.7
2008-08-29,578.0,590.25,568.7,588.2
2008-09-01,584.3,590.0,572.65,585.8
2008-09-02,594.3,608.0,587.0,603.05
2008-09-04,593.6,618.0,590.0,610.3
2008-09-05,609.55,614.95,591.15,606.95
2008-09-08,612.0,618.9,596.05,598.9
2008-09-09,587.15,605.0,585.2,592.15
2008-09-10,590.0,624.9,587.3,619.6
2008-09-11,616.0,622.0,610.0,617.2
2008-09-12,619.95,641.9,607.6,632.4
2008-09-15,606.7,624.45,606.7,615.25
2008-09-16,605.25,622.5,602.0,620.5
2008-09-17,609.1,625.0,587.1,608.55
2008-09-18,572.0,629.5,559.0,617.15
2008-09-19,625.0,625.0,602.3,607.8
2008-09-22,606.0,618.95,603.0,607.5
2008-09-23,611.8,611.8,587.25,605.8
2008-09-24,593.5,611.0,561.1,581.4
2008-09-25,569.95,609.9,561.5,598.75
2008-09-26,586.5,599.8,586.5,591.6
2008-09-29,590.0,597.85,559.0,571.0
2008-09-30,548.0,609.9,535.25,594.9
2008-10-01,601.0,617.0,571.3,600.05
2008-10-03,581.35,598.7,570.25,576.95
2008-10-06,556.0,600.0,556.0,574.3
2008-10-07,579.05,601.0,560.2,582.65
2008-10-08,555.0,571.95,496.0,544.15
2008-10-10,501.1,524.9,425.0,462.65
2008-10-13,457.0,527.9,450.0,514.5
2008-10-14,527.0,590.65,525.0,540.6
2008-10-15,523.05,545.0,459.5,529.2
2008-10-16,499.3,550.0,499.3,535.45
2008-10-17,515.15,549.85,507.0,523.65
2008-10-20,544.0,560.0,511.4,541.5
2008-10-21,536.0,565.0,533.8,560.9
2008-10-22,543.5,563.9,524.95,538.75
2008-10-23,526.0,544.8,502.0,529.95
2008-10-24,516.05,526.0,456.05,464.9
2008-10-27,455.05,480.0,435.0,468.2
2008-10-28,551.9,551.9,485.0,505.35
2008-10-29,507.0,555.0,481.0,531.05
2008-10-31,555.0,563.0,535.2,544.9
2008-11-03,550.0,550.0,495.0,498.45
2008-11-04,500.0,507.0,455.0,469.7
2008-11-05,480.0,480.0,440.6,444.5
2008-11-06,435.0,435.0,410.0,416.95
2008-11-07,420.0,423.6,409.0,410.25
2008-11-10,416.0,434.5,415.25,425.85
2008-11-11,425.0,425.0,392.0,403.35
2008-11-12,404.0,406.65,366.1,378.95
2008-11-14,404.0,404.0,366.0,371.15
2008-11-17,371.0,371.0,355.0,359.95
2008-11-18,364.9,375.0,342.0,353.85
2008-11-19,350.0,368.0,345.0,365.05
2008-11-20,360.0,364.0,333.0,344.95
2008-11-21,342.0,343.0,332.95,339.05
2008-11-24,350.0,354.0,322.25,330.15
2008-11-25,354.0,354.0,313.6,317.85
2008-11-26,329.8,334.9,305.5,328.75
2008-11-28,307.0,329.65,307.0,321.65
2008-12-01,324.05,327.15,299.0,308.05
2008-12-02,262.0,307.05,262.0,301.9
2008-12-03,311.9,311.9,296.0,303.8
2008-12-04,304.8,316.5,304.8,310.65
2008-12-05,306.2,316.75,306.2,314.95
2008-12-08,330.7,340.9,322.3,332.6
2008-12-10,339.75,351.0,325.1,339.8
2008-12-11,335.35,358.0,335.35,355.15
2008-12-12,353.0,417.0,336.25,391.7
2008-12-15,419.0,419.0,395.05,410.35
2008-12-16,400.0,440.0,396.25,413.2
2008-12-17,420.95,429.0,385.2,396.35
2008-12-18,382.3,418.85,382.3,410.75
2008-12-19,408.0,421.75,400.1,404.3
2008-12-22,412.0,420.0,403.05,413.7
2008-12-23,402.5,414.0,402.5,408.15
2008-12-24,396.5,403.0,390.0,394.6
2008-12-26,388.5,396.0,370.0,375.3
2008-12-29,389.0,389.0,360.45,370.0
2008-12-30,397.0,397.0,374.0,387.05
