Date,Open,High,Low,Close
2008-05-26,600.0,619.0,501.0,509.1
2008-05-27,505.0,610.95,491.1,554.65
2008-05-28,564.0,665.6,564.0,640.95
2008-05-29,656.65,703.0,608.0,632.4
2008-05-30,642.4,668.0,588.3,644.0
2008-06-02,650.0,699.0,622.0,686.95
2008-06-03,672.0,689.8,632.55,672.05
2008-06-04,674.0,674.0,566.6,598.95
2008-06-05,603.0,639.8,572.3,631.85
2008-06-06,639.25,642.9,608.05,630.9
2008-06-09,620.0,648.0,580.0,629.9
2008-06-10,618.0,675.0,618.0,669.25
2008-06-11,672.0,682.0,641.1,653.5
2008-06-12,629.0,638.45,601.0,605.9
2008-06-13,607.0,624.5,572.75,580.8
2008-06-16,595.0,618.0,587.25,614.05
2008-06-17,610.0,626.0,605.1,611.05
2008-06-18,615.0,617.2,585.1,591.95
2008-06-19,580.0,625.0,578.05,611.85
2008-06-20,603.0,618.25,532.0,554.95
2008-06-23,551.0,575.9,550.0,565.4
2008-06-24,565.5,572.0,537.0,549.15
2008-06-25,542.0,632.5,540.0,577.1
2008-06-26,578.0,600.0,578.0,590.25
2008-06-27,585.0,585.0,550.0,562.0
2008-06-30,565.0,570.0,520.0,537.85
2008-07-01,535.0,536.9,502.65,517.75
2008-07-02,511.0,530.0,495.0,522.55
2008-07-03,495.2,513.85,446.0,478.5
2008-07-04,471.35,500.0,447.0,499.7
2008-07-07,494.65,544.0,494.65,521.8
2008-07-08,475.8,518.0,475.8,510.95
2008-07-09,550.0,550.0,512.0,518.05
2008-07-10,515.0,519.85,500.0,506.8
2008-07-11,519.9,520.0,466.65,478.95
2008-07-14,498.0,498.0,455.0,461.9
2008-07-15,447.0,463.0,436.05,448.5
2008-07-16,440.0,451.95,417.5,424.95
2008-07-17,439.0,439.0,415.1,421.75
2008-07-18,405.35,428.0,388.05,410.7
2008-07-21,411.0,421.6,408.1,410.7
2008-07-22,402.35,424.95,402.35,420.0
2008-07-23,433.0,449.95,428.05,437.85
2008-07-24,439.0,480.5,439.0,451.4
2008-07-25,436.0,455.0,436.0,446.25
2008-07-28,437.0,452.0,432.05,436.05
2008-07-29,435.0,435.0,426.0,429.85
2008-07-30,408.4,442.5,408.4,437.55
2008-07-31,429.0,447.0,429.0,442.65
2008-08-01,430.0,449.9,423.0,443.0
2008-08-04,431.25,454.95,431.25,452.65
2008-08-05,452.65,475.0,438.0,467.9
2008-08-06,465.0,497.0,465.0,482.2
2008-08-07,495.0,535.0,470.15,515.3
2008-08-08,510.0,530.0,505.0,517.5
2008-08-11,535.0,592.0,528.0,540.5
2008-08-12,550.0,550.0,512.5,523.7
2008-08-13,518.75,555.0,510.0,544.1
2008-08-14,535.0,549.45,525.0,528.95
2008-08-18,504.0,528.0,504.0,519.15
2008-08-19,502.0,549.9,502.0,540.7
2008-08-20,551.1,551.1,523.1,531.65
2008-08-21,516.5,546.0,516.5,528.1
2008-08-22,524.0,529.7,517.5,522.4
2008-08-25,530.0,540.95,521.0,529.8
2008-08-26,520.15,547.95,520.15,527.6
2008-08-27,553.95,553.95,512.0,519.7
2008-08-28,510.5,550.0,510.5,544.25
2008-08-29,550.0,558.0,532.4,537.3
2008-09-01,532.4,545.0,530.0,534.15
2008-09-02,535.0,542.6,533.35,536.1
2008-09-04,530.0,538.8,521.1,526.2
2008-09-05,520.1,544.0,520.0,524.95
2008-09-08,545.0,545.0,518.0,521.85
2008-09-09,520.0,528.0,515.5,522.2
2008-09-10,512.0,539.8,505.0,520.55
2008-09-11,520.0,523.0,473.0,479.1
2008-09-12,481.0,489.0,453.1,469.3
2008-09-15,450.0,454.85,409.5,443.1
2008-09-16,420.95,420.95,388.05,403.2
2008-09-17,405.0,423.85,391.55,402.15
2008-09-18,395.0,395.0,351.0,373.25
2008-09-19,389.95,389.95,362.4,374.75
2008-09-22,375.0,393.5,375.0,390.1
2008-09-23,376.0,386.65,376.0,383.95
2008-09-24,374.0,394.0,374.0,389.1
2008-09-25,378.0,402.0,378.0,396.1
2008-09-26,384.4,397.0,377.05,380.45
2008-09-29,376.6,385.0,372.8,376.8
2008-09-30,340.1,390.0,340.0,386.65
2008-10-01,378.5,386.95,361.0,363.85
2008-10-03,367.0,375.7,338.75,350.0
2008-10-06,340.0,343.0,301.3,313.5
2008-10-07,315.0,327.9,280.35,292.35
2008-10-08,292.0,295.0,236.0,244.3
2008-10-10,200.25,231.0,195.45,195.45
2008-10-13,214.0,214.0,175.9,177.95
2008-10-14,193.0,195.75,184.3,189.45
2008-10-15,180.0,185.9,172.05,174.15
2008-10-16,170.0,170.9,162.0,164.85
2008-10-17,165.0,170.0,150.0,158.4
2008-10-20,160.0,161.95,151.0,155.0
2008-10-21,153.4,165.0,147.1,150.4
2008-10-22,144.0,155.0,144.0,149.9
2008-10-23,141.25,144.5,140.0,140.65
2008-10-24,136.0,147.0,126.6,126.6
2008-10-27,125.05,125.05,113.95,113.95
2008-10-28,118.0,119.65,108.3,117.6
2008-10-29,120.1,120.1,111.8,113.9
2008-10-31,118.2,119.6,108.25,116.65
2008-11-03,120.0,122.5,117.0,120.05
2008-11-04,126.05,126.05,118.0,122.35
2008-11-05,126.0,128.2,124.0,125.0
2008-11-06,124.0,126.0,120.3,122.0
2008-11-07,118.3,128.1,118.3,128.1
2008-11-10,130.1,134.55,130.1,133.35
2008-11-11,132.0,140.05,132.0,140.05
2008-11-12,136.0,146.0,136.0,140.6
2008-11-14,142.0,144.9,135.0,136.95
2008-11-17,131.0,137.0,130.1,130.5
2008-11-18,124.05,129.9,124.0,124.1
2008-11-19,123.0,123.0,117.9,119.35
2008-11-20,113.6,118.0,113.4,117.75
2008-11-21,111.9,118.0,111.9,113.75
2008-11-24,110.1,114.8,108.6,109.0
2008-11-25,108.5,112.5,103.55,103.55
2008-11-26,98.7,102.9,98.4,98.4
2008-11-28,97.0,98.7,93.5,95.55
2008-12-01,95.0,100.35,90.9,93.05
2008-12-02,93.1,93.1,88.4,90.75
2008-12-03,88.15,94.0,88.15,91.65
2008-12-04,91.0,96.25,91.0,95.05
2008-12-05,94.0,99.8,94.0,99.8
2008-12-08,104.8,104.8,104.8,104.8
2008-12-10,110.05,110.05,105.0,109.35
2008-12-11,110.0,110.0,105.2,107.7
2008-12-12,102.5,110.0,102.5,105.9
2008-12-15,104.9,111.2,104.9,108.0
2008-12-16,104.0,111.3,104.0,106.25
2008-12-17,104.05,110.7,100.95,100.95
2008-12-18,98.1,106.0,98.0,105.55
2008-12-19,102.0,110.85,102.0,110.85
2008-12-22,114.0,116.4,109.05,115.35
2008-12-23,117.0,121.15,113.3,121.15
2008-12-24,127.25,127.25,122.0,127.25
2008-12-26,133.65,133.65,133.65,133.65
2008-12-29,139.7,140.35,135.25,140.35
2008-12-30,146.4,147.4,142.0,147.4
2008-12-31,149.5,154.8,142.0,149.7
2009-01-01,151.0,155.9,145.0,150.45
2009-01-02,151.5,158.0,146.0,158.0
2009-01-05,163.4,165.9,161.5,165.9
2009-01-06,174.2,174.2,166.25,174.2
2009-01-07,182.95,182.95,169.1,176.25
2009-01-09,171.0,184.9,167.45,180.75
2009-01-12,182.0,189.8,176.0,189.35
2009-01-13,192.0,198.85,189.0,198.85
2009-01-14,208.8,208.8,205.0,208.8
2009-01-15,212.0,214.0,198.4,198.4
2009-01-16,188.5,188.5,188.5,188.5
2009-01-19,179.1,179.1,179.1,179.1
2009-01-20,170.15,188.1,170.15,188.1
2009-01-21,188.1,194.7,178.7,179.35
2009-01-22,182.0,183.0,170.4,172.7
2009-01-23,176.2,176.2,164.1,165.7
2009-01-27,164.0,164.0,157.45,159.95
2009-01-28,155.1,167.95,153.05,167.95
2009-01-29,167.5,175.0,164.0,167.35
2009-01-30,165.0,175.75,162.0,172.45
2009-02-02,165.05,174.0,165.05,165.75
2009-02-03,164.0,168.6,157.5,157.65
2009-02-04,155.0,164.15,150.3,153.4
2009-02-05,155.95,155.95,151.0,151.9
2009-02-06,150.0,154.45,146.25,147.8
2009-02-09,150.0,152.45,140.5,141.6
2009-02-10,140.0,148.7,140.0,148.25
2009-02-11,143.9,148.0,142.0,143.1
2009-02-12,142.0,147.6,139.2,140.45
2009-02-13,141.0,147.5,140.0,143.2
2009-02-16,143.55,147.75,140.0,140.4
2009-02-17,140.0,143.6,140.0,141.4
2009-02-18,140.0,144.0,139.5,141.5
2009-02-19,140.1,142.95,139.4,140.5
2009-02-20,140.0,147.55,140.0,145.95
2009-02-24,145.0,152.0,138.65,151.1
2009-02-25,157.9,157.9,151.05,156.65
2009-02-26,155.05,162.0,155.0,157.7
2009-02-27,159.5,159.5,155.0,155.45
2009-03-02,155.0,158.45,148.15,151.05
2009-03-03,146.0,154.0,145.4,151.3
2009-03-04,150.0,154.6,145.0,147.55
2009-03-05,146.0,152.65,140.5,145.25
2009-03-06,149.75,149.75,136.3,142.3
2009-03-09,141.0,148.9,140.4,148.05
2009-03-12,147.0,151.8,144.0,146.05
2009-03-13,143.05,154.0,143.05,144.8
2009-03-16,149.85,150.0,143.6,148.7
2009-03-17,147.0,150.0,144.75,145.1
2009-03-18,145.55,152.0,145.55,148.3
2009-03-19,146.1,157.8,146.1,150.95
2009-03-20,148.05,154.0,148.05,151.8
2009-03-23,150.0,167.0,150.0,159.95
2009-03-24,166.5,167.0,160.1,164.6
2009-03-25,163.2,165.0,160.0,163.65
2009-03-26,163.2,170.95,162.2,168.75
2009-03-27,165.0,175.0,165.0,169.5
2009-03-30,169.8,169.8,159.0,160.85
2009-03-31,165.85,171.0,161.0,169.05
2009-04-01,168.0,182.0,165.5,179.05
2009-04-02,185.0,188.0,172.3,178.45
2009-04-06,179.25,189.85,179.25,187.9
2009-04-08,175.8,195.0,175.8,191.3
2009-04-09,190.95,196.0,183.15,189.2
2009-04-13,182.0,199.0,182.0,187.5
2009-04-15,188.0,190.0,182.55,188.85
2009-04-16,195.5,200.95,191.0,195.55
2009-04-17,199.9,200.0,194.85,199.4
2009-04-20,200.0,219.35,198.3,217.05
2009-04-21,215.0,233.35,201.35,224.5
2009-04-22,228.0,240.0,217.0,234.75
2009-04-23,235.0,240.0,229.0,233.3
2009-04-24,232.1,240.0,222.55,237.85
2009-04-27,235.0,238.85,229.0,231.05
2009-04-28,228.8,229.5,221.0,223.6
2009-04-29,226.0,233.0,213.05,218.2
2009-05-04,229.1,229.15,221.25,229.15
2009-05-05,230.0,239.8,222.25,230.1
2009-05-06,230.1,230.1,223.0,225.6
2009-05-07,225.0,236.9,220.0,235.6
2009-05-08,237.0,246.95,237.0,245.15
2009-05-11,250.0,253.8,236.2,242.0
2009-05-12,236.1,254.1,236.1,252.65
2009-05-13,249.0,261.9,249.0,259.15
2009-05-14,250.0,255.2,246.95,248.2
2009-05-15,242.0,251.0,235.8,235.95
2009-05-19,247.75,247.75,247.75,247.75
2009-05-20,260.15,260.15,256.1,260.15
2009-05-21,273.15,273.2,273.15,273.2
2009-05-22,286.9,286.9,286.9,286.9
2009-05-25,301.25,301.25,301.25,301.25
2009-05-26,316.35,316.35,295.1,314.35
2009-05-27,330.1,330.1,320.0,330.1
2009-05-28,346.65,346.65,346.65,346.65
2009-05-29,364.0,364.0,364.0,364.0
2009-06-01,379.9,382.2,362.0,382.2
2009-06-02,400.5,401.35,390.0,401.35
2009-06-03,421.45,421.45,421.45,421.45
2009-06-04,442.55,442.55,400.4,411.15
2009-06-05,416.0,425.0,396.05,400.25
2009-06-08,410.0,412.0,380.25,387.5
2009-06-09,375.2,404.0,375.2,399.8
2009-06-10,396.0,411.05,386.25,398.05
2009-06-11,395.05,403.0,395.05,400.0
2009-06-12,400.0,410.0,395.0,399.7
2009-06-15,398.0,405.0,395.0,400.3
2009-06-16,390.0,412.0,390.0,409.9
2009-06-17,415.0,422.0,405.5,409.95
2009-06-18,400.0,410.0,389.45,398.55
2009-06-19,395.0,407.95,382.15,394.1
2009-06-22,395.5,398.0,391.5,394.7
2009-06-23,395.0,395.0,375.0,375.65
2009-06-24,385.0,386.95,367.5,371.3
2009-06-25,375.0,384.7,375.0,383.5
2009-06-26,389.85,402.7,384.0,398.45
2009-06-29,418.0,418.4,401.0,416.6
2009-06-30,416.05,416.05,395.8,395.8
2009-07-01,380.0,390.0,376.05,376.05
2009-07-02,357.4,387.0,356.3,372.1
2009-07-03,377.0,383.2,372.1,376.35
2009-07-06,380.0,389.0,357.55,358.05
2009-07-07,348.0,367.95,346.0,348.4
2009-07-08,350.0,353.95,338.0,344.35
2009-07-09,341.0,345.0,335.0,342.95
2009-07-10,344.0,348.0,336.1,340.5
2009-07-13,345.0,345.0,325.15,327.2
2009-07-14,335.0,344.0,329.0,336.85
2009-07-15,347.8,362.9,339.0,354.45
2009-07-16,369.9,389.9,366.05,370.15
2009-07-17,375.0,379.0,363.0,366.95
2009-07-20,365.0,374.7,352.15,362.35
2009-07-21,358.0,362.95,353.1,357.5
2009-07-22,360.0,362.0,346.8,350.05
2009-07-23,340.0,378.8,340.0,374.25
2009-07-24,374.0,387.0,364.05,378.55
2009-07-27,382.7,382.7,370.3,375.0
2009-07-28,374.0,374.0,363.1,365.1
2009-07-29,360.0,369.6,343.55,350.45
2009-07-30,363.7,363.7,346.65,347.75
2009-07-31,350.0,356.0,337.0,339.25
2009-08-03,344.0,348.85,327.5,336.45
