Date,Open,High,Low,Close
2002-02-18,51.9,51.9,43.5,44.35
2002-02-19,45.15,45.15,41.3,41.7
2002-02-20,40.6,42.8,40.25,41.25
2002-02-21,42.85,43.4,42.15,42.4
2002-02-22,42.65,43.6,41.1,43.3
2002-02-25,45.5,45.5,42.65,42.8
2002-02-26,43.15,44.2,42.9,43.6
2002-02-27,43.95,46.3,43.75,44.65
2002-02-28,46.0,46.8,40.8,41.5
2002-03-01,42.0,43.4,41.8,42.5
2002-03-04,43.1,44.25,42.85,43.3
2002-03-05,44.2,45.5,43.7,45.3
2002-03-06,45.9,46.7,44.8,45.1
2002-03-07,45.9,45.9,44.75,44.95
2002-03-08,45.2,45.25,43.7,43.9
2002-03-11,44.5,45.4,43.1,43.3
2002-03-12,43.4,43.45,41.9,42.1
2002-03-13,42.1,42.65,41.5,41.9
2002-03-14,42.0,42.4,41.05,41.45
2002-03-15,42.0,42.5,41.35,41.95
2002-03-18,43.0,43.0,41.55,41.75
2002-03-19,42.1,42.9,40.4,40.7
2002-03-20,40.9,41.35,40.25,40.5
2002-03-21,40.6,41.0,40.4,40.6
2002-03-22,40.8,41.45,39.5,39.85
2002-03-26,40.75,40.75,38.9,39.0
2002-03-27,40.9,40.9,39.0,39.1
2002-03-28,39.2,39.35,38.0,38.55
2002-04-01,39.4,40.1,38.65,38.9
2002-04-02,38.95,39.0,37.05,37.3
2002-04-03,37.25,38.0,35.7,36.1
2002-04-04,36.9,39.45,36.5,38.6
2002-04-05,39.0,39.65,38.05,38.2
2002-04-08,38.8,39.0,37.0,37.15
2002-04-09,37.9,38.95,37.5,37.75
2002-04-10,38.0,38.0,36.4,37.15
2002-04-11,37.9,39.6,37.9,38.55
2002-04-12,38.35,38.4,37.4,37.75
2002-04-15,37.5,38.8,37.1,37.85
2002-04-16,38.0,38.4,37.75,37.85
2002-04-17,38.35,38.45,37.25,37.4
2002-04-18,37.9,37.95,37.3,37.5
2002-04-19,37.9,37.9,36.75,36.95
2002-04-22,37.8,37.8,36.55,36.7
2002-04-23,37.4,37.5,35.9,36.0
2002-04-24,36.2,36.9,36.2,36.75
2002-04-25,36.9,37.0,36.2,36.3
2002-04-26,36.15,36.7,35.7,35.9
2002-04-29,35.75,37.3,35.25,35.7
2002-04-30,35.6,36.0,34.9,35.0
2002-05-02,35.25,35.6,34.35,34.85
2002-05-03,35.0,35.0,33.9,34.1
2002-05-06,34.5,34.6,33.8,34.0
2002-05-07,33.8,34.2,33.8,34.05
2002-05-08,34.25,34.45,34.0,34.25
2002-05-09,35.45,37.25,34.5,35.8
2002-05-10,37.05,38.3,36.1,36.4
2002-05-13,35.85,37.0,35.8,36.05
2002-05-14,36.3,36.55,35.25,35.55
2002-05-15,35.7,35.85,34.6,34.95
2002-05-16,35.25,35.25,34.2,34.55
2002-05-17,34.25,34.8,34.25,34.7
2002-05-20,34.05,34.45,33.2,33.65
2002-05-21,33.2,33.5,32.25,33.05
2002-05-22,33.1,35.3,33.0,33.7
2002-05-23,33.95,33.95,32.8,33.0
2002-05-24,33.5,34.0,33.1,33.45
2002-05-27,34.2,34.2,33.05,33.2
2002-05-28,33.5,33.5,32.65,32.85
2002-05-29,32.6,33.5,32.25,32.4
2002-05-30,32.1,32.6,31.9,32.0
2002-05-31,32.5,32.55,31.6,32.2
2002-06-03,33.1,33.5,32.1,32.2
2002-06-04,33.0,33.5,32.0,32.9
2002-06-05,33.5,33.75,32.5,32.65
2002-06-06,33.4,36.15,33.0,35.65
2002-06-07,34.5,36.65,33.6,33.95
2002-06-10,34.75,34.85,33.55,33.75
2002-06-11,34.6,35.25,34.25,34.45
2002-06-12,34.5,34.75,33.5,33.6
2002-06-13,34.3,34.3,32.65,32.8
2002-06-14,33.05,33.8,33.05,33.45
2002-06-17,36.0,38.5,35.0,35.7
2002-06-18,36.1,36.35,34.65,35.0
2002-06-19,35.0,35.3,34.0,34.15
2002-06-20,33.95,34.6,33.8,34.3
2002-06-21,35.1,35.1,33.75,33.9
2002-06-24,34.0,34.1,33.45,33.75
2002-06-25,34.35,34.35,33.2,33.75
2002-06-26,33.95,33.95,33.1,33.3
2002-06-27,33.5,33.7,33.3,33.4
2002-06-28,34.9,34.9,33.5,34.0
2002-07-01,34.05,35.5,33.5,34.8
2002-07-02,33.5,35.6,33.5,35.5
2002-07-03,36.0,36.0,34.95,35.15
2002-07-04,35.75,36.25,35.25,36.0
2002-07-05,35.05,35.45,34.0,34.2
2002-07-08,34.25,34.7,33.75,34.0
2002-07-09,34.3,34.35,33.45,33.55
2002-07-10,34.2,34.45,33.35,33.45
2002-07-11,34.0,34.0,32.5,32.6
2002-07-12,33.2,33.2,31.95,32.1
2002-07-15,32.0,32.35,31.65,31.8
2002-07-16,30.95,32.0,30.95,31.75
2002-07-17,31.6,31.95,31.05,31.25
2002-07-18,32.1,32.25,31.5,31.6
2002-07-19,31.9,31.95,31.5,31.6
2002-07-22,31.8,31.9,31.0,31.45
2002-07-23,31.5,31.5,30.55,31.1
2002-07-24,31.2,31.2,30.5,30.8
2002-07-25,31.5,32.0,31.15,31.2
2002-07-26,30.6,31.0,30.15,30.5
2002-07-29,31.5,31.5,30.25,30.5
2002-07-30,31.5,31.5,30.35,30.45
2002-07-31,30.5,31.6,29.3,31.35
2002-08-01,31.0,31.1,29.9,30.25
2002-08-02,30.1,30.3,29.8,30.15
2002-08-05,30.3,30.5,30.1,30.2
2002-08-06,30.35,30.35,29.9,30.0
2002-08-07,30.45,30.55,29.8,30.0
2002-08-08,30.35,30.35,29.85,30.0
2002-08-09,29.95,30.2,29.85,30.0
2002-08-12,30.0,30.3,29.8,30.25
2002-08-13,30.15,30.5,30.0,30.35
2002-08-14,30.15,30.5,30.15,30.3
2002-08-16,30.5,31.75,30.25,31.35
2002-08-19,31.2,32.5,30.8,32.25
2002-08-20,32.8,33.6,32.1,33.1
2002-08-21,33.75,33.75,32.0,33.25
2002-08-22,33.5,33.5,32.15,32.3
2002-08-23,32.5,33.0,32.1,32.55
2002-08-26,32.8,33.0,32.2,32.35
2002-08-27,32.35,32.55,32.05,32.1
2002-08-28,32.3,32.3,31.45,31.95
2002-08-29,32.0,32.1,31.05,31.1
2002-08-30,31.0,32.9,30.85,32.5
2002-09-02,33.0,33.85,32.65,32.95
2002-09-03,32.75,32.75,32.1,32.45
2002-09-04,32.0,33.6,32.0,32.9
2002-09-05,33.3,33.5,32.9,33.0
2002-09-06,33.5,33.5,32.3,32.5
2002-09-09,32.1,32.9,31.75,31.85
2002-09-11,32.6,32.6,31.7,31.9
2002-09-12,32.0,34.3,31.8,32.5
2002-09-13,32.95,34.5,32.5,34.05
2002-09-16,34.2,35.35,32.45,34.25
2002-09-17,34.75,35.05,34.0,34.85
2002-09-18,34.9,35.25,34.15,34.3
2002-09-19,33.6,35.0,30.65,31.4
2002-09-20,31.5,34.15,31.0,33.7
2002-09-23,33.85,33.9,32.5,32.65
2002-09-24,32.5,32.5,31.0,31.15
2002-09-25,31.0,32.6,30.9,31.65
2002-09-26,31.5,32.1,31.2,31.35
2002-09-27,31.9,32.35,31.25,32.0
2002-09-30,32.0,32.0,31.2,31.3
2002-10-01,31.5,32.15,31.35,32.05
2002-10-03,32.2,32.2,31.25,32.0
2002-10-04,32.2,32.2,31.75,32.05
2002-10-07,31.95,32.1,31.5,31.85
2002-10-08,32.05,36.95,31.3,32.0
2002-10-09,32.2,32.4,31.55,31.6
2002-10-10,31.5,31.7,31.3,31.4
2002-10-11,31.85,31.85,31.15,31.3
2002-10-14,31.9,31.9,31.0,31.1
2002-10-16,31.45,31.5,30.2,30.4
2002-10-17,30.35,30.5,29.85,29.95
2002-10-18,30.0,30.2,29.75,29.8
2002-10-21,29.7,30.0,29.5,29.65
2002-10-22,29.5,29.7,28.75,29.0
2002-10-23,28.9,29.1,27.5,27.8
2002-10-24,28.0,28.0,27.5,27.55
2002-10-25,27.25,27.5,26.1,26.5
2002-10-28,26.5,26.5,24.1,24.9
2002-10-29,25.25,25.45,24.25,25.1
2002-10-30,23.9,27.0,23.9,26.05
2002-10-31,26.5,26.5,25.35,25.95
2002-11-01,25.5,26.25,25.3,25.9
2002-11-04,26.0,26.7,25.8,26.15
2002-11-05,25.8,25.85,25.3,25.45
2002-11-07,25.4,25.7,25.05,25.15
2002-11-08,25.1,25.1,24.75,24.9
2002-11-11,25.0,25.0,24.3,24.55
2002-11-12,24.6,24.7,24.4,24.45
2002-11-13,25.0,25.0,24.4,24.55
2002-11-14,25.25,25.25,23.8,23.85
2002-11-15,24.0,24.25,22.9,23.0
2002-11-18,24.5,24.5,22.45,22.85
2002-11-20,23.45,23.6,22.75,22.85
2002-11-21,22.8,23.1,22.15,22.25
2002-11-22,21.8,22.95,21.8,22.45
2002-11-25,22.55,23.5,22.5,23.15
2002-11-26,23.5,24.35,23.45,24.05
2002-11-27,24.2,24.25,23.7,23.95
2002-11-28,24.25,24.4,24.05,24.15
2002-11-29,24.25,25.25,23.25,24.95
2002-12-02,25.25,25.9,25.0,25.35
2002-12-03,25.85,25.85,24.8,25.05
2002-12-04,24.85,24.85,24.2,24.35
2002-12-05,24.8,24.8,24.05,24.15
2002-12-06,24.8,24.85,24.0,24.05
2002-12-09,24.15,24.4,23.5,23.65
2002-12-10,24.45,24.45,23.55,23.9
2002-12-11,24.0,24.45,23.55,23.75
2002-12-12,24.0,24.0,22.6,22.85
2002-12-13,23.0,23.2,22.05,22.25
2002-12-16,22.9,23.25,22.75,23.0
2002-12-17,22.9,23.7,22.9,23.35
2002-12-18,24.7,25.25,23.9,25.1
2002-12-19,25.1,26.2,25.0,25.65
2002-12-20,25.9,25.9,24.5,24.75
2002-12-23,24.8,24.8,23.25,23.7
2002-12-24,25.25,25.25,23.1,24.0
2002-12-26,24.25,24.3,23.25,23.45
2002-12-27,23.9,24.0,22.05,22.5
2002-12-30,22.75,23.3,22.5,22.65
2002-12-31,22.85,23.0,22.5,22.8
2003-01-01,23.35,23.35,22.55,22.65
2003-01-02,23.0,23.25,22.5,22.65
2003-01-03,23.2,24.0,22.5,22.55
2003-01-06,22.75,23.0,22.1,22.2
2003-01-07,22.15,22.4,22.05,22.1
2003-01-08,22.85,22.85,21.55,21.65
2003-01-09,21.1,22.0,21.1,21.5
2003-01-10,21.55,21.6,20.65,20.75
2003-01-13,21.15,21.75,21.0,21.35
2003-01-14,21.7,21.9,21.1,21.25
2003-01-15,21.25,21.95,21.25,21.7
2003-01-16,21.45,21.65,20.8,21.3
2003-01-17,21.95,21.95,21.0,21.4
2003-01-20,21.75,25.0,21.4,24.9
2003-01-21,25.45,27.25,23.4,24.3
2003-01-22,23.95,25.7,23.95,25.1
2003-01-23,25.5,25.5,24.1,24.25
2003-01-24,23.4,24.3,23.4,23.9
2003-01-27,24.35,26.4,24.35,25.3
2003-01-28,25.95,27.2,25.5,26.95
2003-01-29,27.5,29.8,27.5,29.05
2003-01-30,29.0,30.0,28.0,28.5
2003-01-31,31.1,31.1,27.2,27.8
2003-02-03,27.5,31.5,27.5,30.65
2003-02-04,31.5,31.5,29.15,29.55
2003-02-05,30.95,31.65,29.0,29.1
2003-02-06,29.5,29.6,28.95,29.35
2003-02-07,29.6,29.7,28.5,28.65
2003-02-10,28.65,30.8,28.65,29.85
2003-02-11,29.9,30.25,29.5,30.05
2003-02-12,30.65,30.65,29.1,29.45
2003-02-14,30.0,30.0,28.05,28.3
2003-02-17,28.7,29.05,28.0,28.5
2003-02-18,29.0,29.0,28.25,28.9
2003-02-19,28.85,29.1,28.35,28.5
2003-02-20,28.95,29.0,27.95,28.2
2003-02-21,28.0,28.95,28.0,28.4
2003-02-24,28.95,28.95,28.0,28.0
2003-02-25,28.15,28.25,27.7,28.1
2003-02-26,28.2,28.2,27.5,28.0
2003-02-27,28.05,28.1,27.65,27.8
2003-02-28,28.6,31.7,27.15,27.35
2003-03-03,27.95,27.95,27.0,27.05
2003-03-04,27.0,27.35,26.7,27.05
2003-03-05,27.0,27.75,26.8,27.0
2003-03-06,27.0,27.2,26.9,27.0
2003-03-07,26.9,27.3,26.6,27.1
2003-03-10,26.1,27.25,26.1,27.05
2003-03-11,27.4,27.4,26.65,27.05
2003-03-12,27.35,27.65,26.8,27.05
2003-03-13,27.0,27.1,26.75,26.85
2003-03-17,26.5,27.1,26.5,27.0
2003-03-19,27.0,27.35,26.95,27.1
2003-03-20,26.9,29.15,26.9,29.0
2003-03-21,28.75,29.4,28.5,28.8
2003-03-22,28.95,29.0,28.0,28.25
2003-03-24,28.1,28.1,27.5,27.7
2003-03-25,27.5,28.5,27.1,28.2
2003-03-26,28.6,29.55,28.05,29.25
2003-03-27,28.65,30.2,28.65,29.75
2003-03-28,28.8,29.95,28.8,29.8
2003-03-31,29.4,29.4,27.1,28.2
2003-04-01,28.45,29.4,28.0,29.1
2003-04-02,29.75,33.25,29.0,32.4
2003-04-03,32.9,33.0,30.6,31.0
2003-04-04,30.9,32.65,30.7,32.2
2003-04-07,32.6,33.0,30.9,32.7
2003-04-08,32.75,32.75,31.4,32.3
2003-04-09,32.25,34.45,31.75,33.55
2003-04-10,33.5,34.25,33.0,33.8
2003-04-11,32.5,34.25,32.25,33.45
2003-04-15,33.75,33.75,31.2,32.4
2003-04-16,32.1,33.25,32.1,32.8
2003-04-17,32.8,35.85,32.25,33.45
2003-04-21,34.0,34.45,32.85,33.85
2003-04-22,34.3,34.8,33.5,33.7
2003-04-23,34.0,36.4,33.1,33.4
2003-04-24,33.0,33.6,30.6,32.35
2003-04-25,32.5,32.5,31.1,31.35
2003-04-28,31.55,32.5,31.0,32.0
2003-04-29,32.4,32.4,31.75,32.0
2003-04-30,32.35,34.5,32.35,33.8
2003-05-02,33.6,35.2,33.6,34.1
2003-05-05,34.05,34.45,33.5,33.75
2003-05-06,33.4,34.1,33.4,33.85
2003-05-07,34.0,34.0,33.15,33.5
2003-05-08,33.15,33.75,33.05,33.6
2003-05-09,30.15,33.4,30.15,32.9
2003-05-12,32.3,33.0,32.1,32.75
2003-05-13,32.5,34.1,31.95,33.6
2003-05-14,33.5,35.0,33.5,34.7
2003-05-15,35.0,35.0,34.0,34.0
2003-05-16,34.65,35.1,33.1,34.2
2003-05-19,34.65,34.7,34.0,34.05
2003-05-20,34.9,34.95,34.1,34.75
2003-05-21,34.95,35.5,34.55,34.8
2003-05-22,35.45,35.5,34.5,35.0
2003-05-23,35.1,35.2,34.75,35.0
2003-05-26,35.0,38.4,35.0,37.35
2003-05-27,37.8,39.8,36.45,36.6
2003-05-28,37.75,38.0,36.9,37.45
2003-05-29,38.0,40.3,38.0,39.2
2003-05-30,39.9,39.9,37.2,38.1
2003-06-02,38.75,39.7,37.3,39.1
2003-06-03,39.9,41.8,39.9,41.45
2003-06-04,42.0,42.3,41.5,41.8
2003-06-05,42.0,42.0,41.1,41.9
2003-06-06,41.25,41.9,40.35,40.9
2003-06-09,41.9,42.0,41.0,41.4
2003-06-10,41.0,41.45,39.4,39.7
2003-06-11,40.05,41.5,39.9,41.1
2003-06-12,41.0,41.7,39.9,40.05
2003-06-13,40.75,44.0,40.75,42.1
2003-06-16,42.0,42.0,41.0,41.25
2003-06-17,42.25,42.5,41.45,41.55
