Date,Open,High,Low,Close
2000-01-03,405.0,407.0,393.05,399.25
2000-01-04,397.75,397.75,367.4,370.5
2000-01-05,350.0,385.0,350.0,359.95
2000-01-06,362.0,384.0,362.0,380.3
2000-01-07,369.0,390.0,366.0,379.85
2000-01-10,380.0,394.5,380.0,384.95
2000-01-11,385.0,385.0,366.0,372.8
2000-01-12,380.0,382.0,375.0,378.0
2000-01-13,380.0,380.0,373.0,376.0
2000-01-14,378.0,382.0,373.0,374.4
2000-01-17,379.0,379.0,372.0,375.85
2000-01-18,375.0,391.95,373.1,380.75
2000-01-19,381.3,389.8,375.0,376.85
2000-01-20,376.0,378.0,369.0,371.2
2000-01-21,372.5,372.5,367.0,369.3
2000-01-24,385.0,385.0,352.1,355.2
2000-01-25,350.0,360.0,345.0,348.55
2000-01-27,355.0,376.45,350.05,365.9
2000-01-28,337.35,392.4,337.35,375.25
2000-01-31,370.0,385.0,370.0,382.2
2000-02-01,380.0,390.0,376.0,378.95
2000-02-02,384.0,409.0,382.5,400.3
2000-02-03,400.0,405.0,368.3,381.8
2000-02-04,393.0,393.0,367.25,370.85
2000-02-07,385.0,385.0,360.25,368.4
2000-02-08,369.75,370.0,340.75,353.8
2000-02-09,369.0,382.1,352.05,380.75
2000-02-10,368.5,374.5,350.3,350.3
2000-02-11,359.9,360.0,322.3,327.7
2000-02-14,329.0,353.9,320.0,352.05
2000-02-15,378.0,378.0,324.0,332.9
2000-02-16,338.0,343.0,325.0,330.05
2000-02-17,330.0,332.5,322.0,327.75
2000-02-18,328.0,330.0,301.6,301.6
2000-02-21,290.3,310.0,290.3,293.95
2000-02-22,294.0,294.0,270.45,270.45
2000-02-23,271.0,281.0,248.85,264.45
2000-02-24,260.0,273.0,256.0,270.1
2000-02-25,272.0,275.0,268.25,270.05
2000-02-28,279.45,291.65,269.0,291.55
2000-02-29,314.0,314.9,270.1,274.3
2000-03-01,292.5,292.5,275.0,275.95
2000-03-02,275.0,289.95,254.0,257.2
