Date,Open,High,Low,Close
2000-01-03,705.0,759.5,705.0,756.9
2000-01-04,710.0,770.0,710.0,754.55
2000-01-05,755.0,759.0,705.0,735.3
2000-01-06,740.0,794.15,740.0,785.65
2000-01-07,808.0,848.5,798.0,848.5
2000-01-10,900.0,916.4,865.0,912.2
2000-01-11,920.0,920.0,839.25,853.75
2000-01-12,900.0,900.0,860.55,882.7
2000-01-13,890.0,920.0,875.0,881.4
2000-01-14,872.5,880.0,864.0,869.65
2000-01-17,880.0,890.0,870.0,875.95
2000-01-18,870.1,899.0,868.0,881.05
2000-01-19,889.0,911.0,889.0,900.85
2000-01-20,907.0,919.9,893.55,895.7
2000-01-21,897.9,897.9,885.25,888.25
2000-01-24,880.0,895.0,851.0,884.75
2000-01-25,871.0,890.0,870.0,881.25
2000-01-27,865.9,885.0,810.75,830.3
2000-01-28,800.0,815.0,782.0,792.45
2000-01-31,778.65,788.0,729.25,746.75
2000-02-01,751.0,759.0,721.0,731.5
2000-02-02,740.0,752.0,700.0,731.05
2000-02-03,750.0,750.0,695.0,714.15
2000-02-04,720.0,720.0,706.0,713.5
2000-02-07,701.0,717.0,700.0,701.7
2000-02-08,704.0,704.0,680.0,685.5
2000-02-09,714.0,740.35,695.0,707.4
2000-02-10,719.0,730.0,707.0,712.1
2000-02-11,723.0,729.0,700.0,704.15
2000-02-14,710.0,711.0,690.0,690.6
2000-02-15,681.0,681.0,640.0,653.3
2000-02-16,670.0,680.0,662.0,674.7
2000-02-17,670.0,698.0,670.0,677.0
2000-02-18,670.0,694.9,661.0,667.05
2000-02-21,675.0,690.0,655.0,665.7
2000-02-22,670.0,670.0,655.0,657.45
2000-02-23,658.0,680.0,655.0,665.65
2000-02-24,675.0,677.0,642.0,662.1
2000-02-25,674.0,674.0,640.0,641.85
2000-02-28,640.0,656.0,609.15,635.85
2000-02-29,650.0,659.85,605.0,611.5
2000-03-01,625.0,625.0,562.6,562.6
2000-03-02,527.0,530.0,517.6,517.6
2000-03-03,476.2,545.45,476.2,504.6
2000-03-06,525.0,525.0,464.25,475.3
2000-03-07,479.9,490.0,462.0,469.35
2000-03-08,488.0,506.45,465.1,489.4
2000-03-09,500.0,500.0,475.0,499.65
2000-03-10,500.0,517.9,470.0,486.15
2000-03-13,500.0,520.0,487.0,512.0
2000-03-14,510.0,530.0,490.0,519.95
2000-03-15,520.0,561.55,520.0,540.1
2000-03-16,547.6,559.85,520.0,543.65
2000-03-21,550.0,554.95,535.1,544.85
2000-03-22,563.0,587.0,558.0,573.25
2000-03-23,590.0,595.0,572.25,579.45
2000-03-24,581.0,613.0,581.0,599.3
2000-03-27,609.0,642.0,595.0,636.6
2000-03-28,640.1,651.0,622.25,629.6
2000-03-29,654.0,675.0,625.0,643.65
2000-03-30,625.0,635.0,605.0,621.2
2000-03-31,624.0,629.9,605.0,619.8
2000-04-03,612.0,618.0,571.55,601.35
