Date,Open,High,Low,Close
2000-01-03,1410.0,1457.35,1380.05,1457.35
2000-01-04,1537.0,1537.0,1430.0,1465.25
2000-01-05,1474.0,1474.0,1365.0,1435.05
2000-01-06,1434.0,1435.0,1349.0,1355.85
2000-01-07,1370.0,1389.9,1247.4,1247.55
2000-01-10,1288.0,1299.0,1191.0,1205.9
2000-01-11,1225.0,1225.0,1109.45,1114.25
2000-01-12,1185.0,1203.4,1185.0,1203.4
2000-01-13,1299.7,1299.7,1281.2,1297.05
2000-01-14,1299.0,1304.55,1220.0,1280.7
2000-01-17,1335.0,1340.0,1250.15,1270.05
2000-01-18,1294.0,1294.0,1200.0,1220.15
2000-01-19,1175.0,1219.9,1132.0,1203.85
2000-01-20,1205.0,1223.0,1201.0,1208.8
2000-01-21,1210.0,1210.0,1160.0,1201.1
2000-01-24,1218.0,1223.9,1185.0,1212.0
2000-01-25,1195.0,1208.0,1176.05,1194.3
2000-01-27,1225.0,1225.0,1185.0,1190.3
2000-01-28,1210.0,1215.0,1171.0,1183.75
2000-01-31,1162.0,1184.9,1155.0,1173.1
2000-02-01,1185.0,1232.0,1160.0,1219.5
2000-02-02,1249.0,1295.0,1240.0,1270.85
2000-02-03,1289.0,1298.95,1235.0,1243.4
2000-02-04,1245.0,1250.0,1196.15,1216.15
2000-02-07,1220.0,1245.0,1195.0,1220.8
2000-02-08,1201.0,1234.5,1185.25,1205.65
2000-02-09,1235.0,1265.0,1211.0,1218.15
2000-02-10,1200.0,1212.0,1185.0,1197.6
2000-02-11,1200.0,1200.0,1150.0,1165.65
2000-02-14,1155.0,1169.0,1100.0,1152.45
2000-02-15,1131.0,1159.0,1120.0,1151.8
2000-02-16,1165.0,1180.0,1150.0,1164.75
2000-02-17,1194.0,1257.95,1158.0,1257.85
2000-02-18,1288.7,1288.7,1185.0,1201.15
2000-02-21,1215.0,1238.0,1140.0,1166.7
2000-02-22,1160.0,1180.0,1111.0,1126.75
2000-02-23,1174.0,1200.0,1135.0,1143.35
2000-02-24,1135.0,1169.0,1135.0,1149.55
2000-02-25,1139.9,1145.0,1120.0,1134.75
2000-02-28,1100.0,1224.0,1100.0,1195.45
2000-02-29,1206.0,1260.0,1099.9,1149.5
2000-03-01,1135.0,1135.0,1057.55,1057.55
2000-03-02,1002.65,1026.0,972.95,972.95
2000-03-03,895.15,965.0,895.15,895.15
2000-03-06,876.0,950.0,871.0,929.65
2000-03-07,957.0,957.0,890.0,924.7
2000-03-08,949.0,982.0,899.9,927.4
2000-03-09,929.0,945.0,880.0,901.4
2000-03-10,955.0,973.55,900.0,973.55
2000-03-13,990.0,1051.45,988.0,1051.45
