Date,Open,High,Low,Close
2010-11-04,291.0,344.9,291.0,342.55
2010-11-05,343.0,356.5,343.0,349.85
2010-11-08,351.8,355.9,329.5,330.75
2010-11-09,330.15,333.4,325.0,326.05
2010-11-10,325.4,327.8,320.05,322.8
2010-11-11,323.0,336.95,321.85,328.55
2010-11-12,330.0,332.95,318.0,320.15
2010-11-15,321.2,322.9,315.05,317.2
2010-11-16,320.0,323.95,316.1,318.05
2010-11-18,319.6,328.95,310.0,326.9
2010-11-19,330.25,339.95,328.1,333.55
2010-11-22,336.0,337.0,315.0,333.35
2010-11-23,330.5,332.4,317.5,320.15
2010-11-24,329.35,329.35,310.0,310.8
2010-11-25,314.0,318.35,311.1,313.2
2010-11-26,315.0,316.0,301.0,312.7
2010-11-29,311.4,319.7,308.2,317.45
2010-11-30,315.0,319.0,312.0,317.25
2010-12-01,317.0,322.5,315.0,320.95
2010-12-02,322.2,325.95,321.15,324.85
2010-12-03,318.1,325.7,318.1,321.95
2010-12-06,321.0,324.9,318.5,320.4
2010-12-07,320.5,322.75,317.25,320.0
2010-12-08,318.6,322.7,317.25,318.85
2010-12-09,318.0,320.0,309.0,313.2
2010-12-10,312.0,322.0,312.0,317.3
2010-12-13,318.0,324.35,317.0,323.15
2010-12-14,324.45,331.0,322.75,325.3
2010-12-15,325.6,330.0,323.0,327.85
2010-12-16,326.75,327.0,317.4,320.7
2010-12-20,323.0,323.0,315.05,316.0
2010-12-21,318.8,318.8,311.2,313.3
2010-12-22,315.1,319.7,312.7,314.05
2010-12-23,315.05,315.95,312.0,312.95
2010-12-24,313.0,313.9,310.1,312.15
2010-12-27,312.15,314.3,306.5,307.3
2010-12-28,308.0,309.95,301.0,303.75
2010-12-29,306.1,311.4,304.3,310.25
2010-12-30,311.0,311.6,307.0,308.05
2010-12-31,309.5,316.45,308.3,314.75
2011-01-03,315.5,318.0,314.55,317.3
2011-01-04,318.9,320.0,316.05,319.2
2011-01-05,320.0,320.0,308.25,309.8
2011-01-06,311.0,313.0,308.5,309.1
2011-01-07,310.0,313.5,302.15,309.1
2011-01-10,309.9,310.0,302.1,305.15
2011-01-11,306.0,312.95,306.0,309.05
2011-01-12,309.9,312.9,306.25,308.5
2011-01-13,309.4,313.95,307.5,310.45
2011-01-14,310.45,315.5,307.95,310.5
2011-01-17,307.25,314.0,306.2,313.15
2011-01-18,313.5,313.95,308.0,311.15
2011-01-19,311.0,312.7,307.95,309.4
2011-01-20,308.8,319.2,308.1,315.7
2011-01-21,316.45,316.45,312.0,314.15
2011-01-24,314.9,314.9,309.0,310.45
2011-01-25,311.0,315.7,308.55,310.0
2011-01-27,311.0,312.9,307.2,308.3
2011-01-28,307.05,309.7,303.05,305.05
2011-01-31,302.0,307.5,300.55,304.35
2011-02-01,305.5,309.85,303.5,308.3
2011-02-02,310.1,314.9,308.55,312.5
2011-02-03,311.0,320.0,310.9,317.35
2011-02-04,317.35,318.1,307.0,308.15
2011-02-07,309.4,310.45,304.15,304.65
2011-02-08,306.9,307.45,296.2,301.4
2011-02-09,302.0,307.85,297.0,298.7
2011-02-10,300.1,304.0,293.25,297.65
2011-02-11,298.1,305.0,298.0,304.6
2011-02-14,306.0,307.0,300.1,302.8
2011-02-15,304.5,307.85,302.0,302.45
2011-02-16,304.25,304.45,300.45,301.1
2011-02-17,302.95,306.4,302.0,305.05
2011-02-18,303.9,305.2,300.1,302.35
2011-02-21,301.5,303.9,300.0,301.85
2011-02-22,302.5,303.5,300.3,301.35
2011-02-23,302.4,302.4,299.0,300.65
2011-02-24,301.4,303.0,298.25,299.3
2011-02-25,300.1,303.0,289.0,292.65
2011-02-28,299.0,331.75,296.1,327.7
2011-03-01,325.0,339.9,320.65,338.6
2011-03-03,338.0,338.0,327.2,329.05
2011-03-04,332.7,334.95,323.25,324.25
2011-03-07,322.0,343.55,318.4,341.0
2011-03-08,343.0,344.5,335.35,337.25
2011-03-09,339.8,341.2,336.05,339.55
2011-03-10,339.8,339.8,329.75,334.3
2011-03-11,334.95,335.0,328.1,329.95
2011-03-14,330.9,335.75,327.05,333.8
2011-03-15,329.0,342.9,320.15,338.45
2011-03-16,339.1,347.9,333.5,343.9
2011-03-17,342.0,347.5,338.5,342.95
2011-03-18,343.5,347.0,337.6,344.4
2011-03-21,343.35,349.9,343.3,347.15
2011-03-22,347.5,371.4,347.4,360.0
2011-03-23,361.0,363.8,352.05,353.9
2011-03-24,353.9,361.35,353.9,358.3
2011-03-25,360.0,362.0,356.55,358.1
2011-03-28,359.85,360.0,349.35,350.95
2011-03-29,352.0,352.0,340.65,346.25
2011-03-30,347.0,350.5,340.1,341.4
2011-03-31,342.4,348.9,341.4,346.5
2011-04-01,347.0,348.5,342.6,346.9
2011-04-04,347.35,360.95,345.35,355.95
2011-04-05,351.1,361.0,351.1,358.75
2011-04-06,358.75,367.8,354.8,366.45
2011-04-07,367.3,370.8,358.3,359.65
2011-04-08,363.0,363.7,351.5,355.25
2011-04-11,356.4,363.0,352.6,357.6
2011-04-13,358.0,359.4,350.0,353.9
2011-04-15,355.0,358.75,350.5,357.45
2011-04-18,359.05,359.25,350.45,352.7
2011-04-19,352.0,354.8,345.9,349.6
2011-04-20,351.5,368.9,351.0,366.55
2011-04-21,369.7,369.75,358.05,362.3
2011-04-25,363.0,365.3,359.5,364.15
2011-04-26,361.55,365.0,358.1,364.45
2011-04-27,360.0,377.0,359.45,370.85
2011-04-28,372.0,381.8,370.75,376.7
2011-04-29,376.7,383.3,374.5,380.55
2011-05-02,362.0,382.95,362.0,379.7
2011-05-03,378.0,384.5,368.55,371.5
2011-05-04,371.0,374.8,361.3,371.7
2011-05-05,370.95,374.95,365.25,368.3
2011-05-06,369.45,372.9,365.55,369.75
2011-05-09,370.0,393.9,368.65,392.3
2011-05-10,392.0,396.35,385.0,386.15
2011-05-11,387.3,393.45,381.5,384.15
2011-05-12,385.9,393.2,380.35,381.85
2011-05-13,383.0,391.55,382.05,386.85
2011-05-16,388.0,393.25,386.0,388.9
2011-05-17,390.0,401.4,389.5,397.6
2011-05-18,399.6,399.6,370.4,373.7
2011-05-19,375.05,384.75,365.5,376.1
2011-05-20,372.0,373.6,362.65,364.95
2011-05-23,364.0,373.45,362.45,365.4
2011-05-24,367.0,375.4,359.25,370.7
2011-05-25,373.6,384.9,371.0,377.35
2011-05-26,380.0,390.8,379.75,388.95
2011-05-27,389.5,394.5,386.0,387.9
2011-05-30,390.0,397.0,390.0,394.95
2011-05-31,394.0,422.35,394.0,408.45
2011-06-01,415.0,416.6,405.1,414.45
2011-06-02,413.0,413.5,400.6,402.75
2011-06-03,402.6,408.25,390.1,391.65
2011-06-06,392.0,399.8,390.35,393.9
2011-06-07,395.0,404.3,393.3,403.15
2011-06-08,404.05,413.8,402.7,407.65
