Date,Open,High,Low,Close
2000-01-03,1505.0,1508.25,1505.0,1508.25
2000-01-04,1590.0,1628.95,1510.0,1628.95
2000-01-05,1549.0,1650.0,1499.0,1568.05
2000-01-06,1599.0,1693.5,1571.0,1661.55
2000-01-07,1685.0,1685.0,1528.65,1529.1
2000-01-10,1560.0,1560.0,1407.5,1503.9
2000-01-11,1512.0,1529.0,1384.0,1446.6
2000-01-12,1460.0,1540.0,1460.0,1490.9
2000-01-13,1485.0,1545.0,1461.0,1477.45
2000-01-14,1470.05,1510.0,1412.0,1473.5
2000-01-17,1515.0,1570.0,1495.0,1508.75
2000-01-18,1475.0,1475.0,1431.05,1450.35
2000-01-19,1490.0,1566.4,1465.0,1566.4
2000-01-20,1600.0,1649.75,1515.05,1537.05
2000-01-21,1580.0,1580.0,1530.0,1551.5
2000-01-24,1580.0,1590.0,1510.1,1521.0
2000-01-25,1480.0,1519.0,1445.0,1453.85
2000-01-27,1485.0,1549.0,1460.0,1470.35
2000-01-28,1484.0,1492.0,1410.0,1428.9
2000-01-31,1440.0,1450.0,1350.0,1366.8
2000-02-01,1350.0,1419.0,1333.0,1400.25
2000-02-02,1459.0,1512.3,1450.0,1496.0
2000-02-03,1510.0,1534.8,1480.0,1490.35
2000-02-04,1510.0,1550.0,1466.05,1481.1
2000-02-07,1445.0,1462.0,1362.65,1364.1
2000-02-08,1320.0,1400.0,1320.0,1387.95
2000-02-09,1481.0,1481.0,1400.0,1413.25
2000-02-10,1400.0,1430.0,1399.0,1418.2
2000-02-11,1431.5,1431.5,1381.0,1412.5
2000-02-14,1386.0,1409.9,1350.0,1362.15
2000-02-15,1350.0,1390.0,1325.0,1350.85
2000-02-16,1355.0,1399.0,1355.0,1379.2
2000-02-17,1402.0,1489.55,1402.0,1489.55
2000-02-18,1608.75,1608.75,1608.75,1608.75
2000-02-21,1700.0,1721.0,1541.05,1573.25
2000-02-22,1540.0,1579.0,1461.0,1473.0
2000-02-23,1575.0,1590.85,1555.0,1590.85
2000-02-24,1649.0,1649.5,1500.1,1568.95
