Date,Open,High,Low,Close
2000-01-03,48.0,48.85,48.0,48.85
2000-01-04,52.0,52.75,50.15,51.4
2000-01-05,55.0,55.55,51.05,55.55
2000-01-06,59.75,60.0,57.3,60.0
2000-01-07,64.0,64.8,60.1,64.65
2000-01-10,67.95,68.5,61.5,65.5
2000-01-11,62.8,64.0,60.3,61.6
2000-01-12,62.0,65.25,61.15,63.95
2000-01-13,65.0,66.0,60.45,61.25
2000-01-14,64.9,64.95,60.3,62.35
2000-01-17,64.0,67.35,64.0,65.25
2000-01-18,65.55,66.5,62.5,65.55
2000-01-19,67.0,67.5,64.1,66.05
2000-01-20,66.0,67.0,61.6,62.4
2000-01-21,61.15,63.9,61.1,63.25
2000-01-24,62.0,62.0,58.5,59.9
2000-01-25,57.1,58.5,56.05,56.95
2000-01-27,57.95,57.95,56.0,57.05
2000-01-28,56.0,56.95,55.1,55.4
2000-01-31,54.1,55.3,51.0,51.55
2000-02-01,49.1,52.8,49.1,51.4
2000-02-02,54.9,55.55,53.0,55.55
2000-02-03,55.5,60.0,55.5,58.85
2000-02-04,61.0,63.6,60.5,63.6
2000-02-07,64.0,64.0,60.1,60.45
2000-02-08,56.0,60.0,56.0,57.35
2000-02-09,59.95,59.95,54.15,55.25
2000-02-10,57.5,57.7,54.0,56.55
2000-02-11,54.35,56.5,54.3,55.0
2000-02-14,53.0,54.0,51.1,52.4
2000-02-15,51.0,53.0,48.5,49.1
2000-02-16,52.0,52.0,45.3,45.5
2000-02-17,46.4,49.0,46.2,46.5
2000-02-18,45.7,47.7,45.1,45.9
2000-02-21,44.5,46.7,44.0,45.8
2000-02-22,45.9,46.0,43.5,44.65
2000-02-23,48.0,48.0,43.1,43.1
2000-02-24,41.0,44.6,39.7,40.75
2000-02-25,41.0,42.0,38.7,40.75
2000-02-28,40.0,44.0,40.0,43.6
2000-02-29,46.0,46.0,41.0,41.1
2000-03-01,43.0,43.65,41.0,42.45
2000-03-02,41.25,42.5,41.0,41.65
2000-03-03,44.0,44.0,39.6,41.25
2000-03-06,41.95,41.95,37.95,37.95
2000-03-07,35.2,36.9,34.95,34.95
2000-03-08,32.5,34.5,32.15,32.35
2000-03-09,33.35,33.5,29.8,31.15
2000-03-10,30.05,32.85,30.05,31.15
2000-03-13,32.45,32.45,29.0,30.6
2000-03-14,31.6,31.6,29.0,29.6
2000-03-15,32.0,32.0,32.0,32.0
2000-03-16,34.55,34.6,34.55,34.6
2000-03-21,34.9,37.4,34.9,37.4
2000-03-22,39.0,40.4,39.0,40.4
2000-03-23,43.6,43.65,40.0,41.8
2000-03-24,41.5,41.5,38.5,40.6
2000-03-27,41.0,43.0,41.0,41.55
2000-03-28,42.55,42.55,40.0,40.7
2000-03-29,43.0,43.0,40.75,41.0
2000-03-30,40.9,41.8,38.55,40.0
2000-03-31,41.15,43.2,39.0,42.6
2000-04-03,42.0,43.0,41.95,42.35
2000-04-04,42.0,42.0,39.0,39.0
2000-04-05,39.0,40.75,37.0,38.1
2000-04-06,38.55,39.0,35.15,37.15
2000-04-07,37.25,40.15,37.25,40.15
2000-04-10,39.4,41.5,39.4,40.8
2000-04-11,39.2,41.0,39.0,40.55
2000-04-12,40.75,43.0,40.0,42.0
2000-04-13,41.1,42.5,41.05,41.2
2000-04-17,41.0,41.95,38.8,41.7
2000-04-18,41.5,43.8,41.5,43.15
2000-04-19,43.5,46.4,42.0,43.65
2000-04-20,42.65,42.7,41.25,42.45
2000-04-24,43.0,43.0,39.1,39.7
2000-04-25,38.5,39.75,38.0,39.7
2000-04-26,39.65,41.0,39.65,40.25
2000-04-27,42.35,42.35,39.75,39.8
2000-04-28,39.1,39.15,37.15,37.95
2000-05-02,38.0,38.0,35.7,36.45
2000-05-03,34.05,35.0,34.0,34.55
2000-05-04,34.5,36.95,34.5,35.95
2000-05-05,37.35,37.45,36.15,36.95
2000-05-08,35.9,38.0,35.35,38.0
2000-05-09,37.4,39.0,36.65,38.0
2000-05-10,37.35,38.3,37.35,37.85
2000-05-11,37.9,39.0,37.15,38.15
2000-05-12,38.45,39.35,37.0,37.9
2000-05-15,37.5,39.0,36.0,38.45
2000-05-16,38.0,39.75,37.15,38.15
2000-05-17,40.0,40.0,37.0,37.1
2000-05-18,37.0,37.9,37.0,37.0
2000-05-19,38.0,38.0,36.5,37.0
2000-05-22,38.0,38.0,36.15,36.15
2000-05-23,37.5,38.0,36.25,37.5
2000-05-24,36.05,36.5,34.5,34.55
2000-05-25,35.7,35.7,33.05,33.55
2000-05-26,33.5,33.7,33.1,33.3
2000-05-29,34.0,36.0,34.0,36.0
2000-05-30,37.0,38.9,36.0,38.9
2000-05-31,42.0,42.0,40.5,40.9
2000-06-01,39.1,40.7,38.05,38.35
2000-06-02,39.05,39.2,37.1,37.45
2000-06-05,38.0,38.95,38.0,38.15
2000-06-06,37.0,38.0,36.2,36.6
2000-06-07,37.5,37.5,36.2,36.45
2000-06-08,37.35,37.45,36.1,37.0
2000-06-09,36.5,37.75,36.5,37.35
2000-06-12,35.0,37.5,35.0,37.5
2000-06-13,36.0,37.5,36.0,36.9
2000-06-14,37.1,37.15,36.5,36.95
2000-06-15,37.0,37.0,36.1,36.5
2000-06-16,35.55,36.9,35.55,36.5
2000-06-19,36.2,36.2,35.25,35.5
2000-06-20,35.55,35.85,34.8,35.0
2000-06-21,35.0,35.8,34.6,35.25
2000-06-22,35.1,35.5,34.65,34.65
2000-06-23,35.5,35.55,34.4,34.75
2000-06-26,34.95,35.0,34.1,34.75
2000-06-27,35.0,35.9,34.1,34.7
2000-06-28,35.75,36.9,35.5,35.75
2000-06-29,34.95,35.75,34.95,35.5
2000-06-30,35.75,35.75,34.5,34.85
2000-07-03,35.0,35.2,34.55,35.0
2000-07-04,34.4,35.2,34.4,35.05
2000-07-05,35.9,36.0,33.7,35.35
2000-07-06,35.5,35.5,34.15,34.2
2000-07-07,34.0,34.25,33.75,33.95
2000-07-10,33.5,33.85,32.55,32.7
2000-07-11,33.0,33.2,32.55,32.85
2000-07-12,33.25,35.5,33.25,35.15
2000-07-13,34.25,34.25,33.6,33.6
2000-07-14,34.8,34.8,33.6,33.9
2000-07-17,31.3,34.0,31.2,32.6
2000-07-18,33.0,33.0,31.6,32.05
2000-07-19,32.7,34.0,32.65,33.65
2000-07-20,33.1,33.75,33.0,33.1
2000-07-21,32.55,35.0,32.4,33.45
2000-07-24,31.3,32.45,30.8,30.8
