Date,Open,High,Low,Close
2000-01-03,65.0,70.0,65.0,68.7
2000-01-04,69.85,72.9,66.0,66.35
2000-01-05,68.35,68.7,61.1,63.2
2000-01-06,64.8,67.0,63.0,64.95
2000-01-07,65.9,65.9,62.0,62.65
2000-01-10,64.95,64.95,62.0,62.3
2000-01-11,62.0,62.4,59.0,59.8
2000-01-12,62.7,62.7,60.25,61.55
2000-01-13,62.3,62.5,61.25,61.85
2000-01-14,61.75,62.9,60.05,62.45
2000-01-17,63.5,64.45,62.0,63.8
2000-01-18,64.4,67.9,63.55,66.95
2000-01-19,70.0,70.0,65.0,65.8
2000-01-20,65.5,66.45,62.85,63.4
2000-01-21,62.25,64.0,62.0,62.25
2000-01-24,63.0,64.25,61.25,62.15
2000-01-25,61.25,62.45,60.15,60.55
2000-01-27,62.7,63.0,60.5,60.8
2000-01-28,61.25,61.25,60.0,60.85
2000-01-31,60.25,61.0,58.1,58.5
2000-02-01,59.0,59.8,58.3,58.6
2000-02-02,60.75,61.95,60.0,61.05
2000-02-03,60.6,62.45,60.6,60.95
2000-02-04,61.5,61.5,59.0,59.85
2000-02-07,58.0,60.7,58.0,58.75
2000-02-08,58.45,59.25,56.25,56.95
2000-02-09,59.45,59.5,57.0,58.75
2000-02-10,59.8,62.0,59.3,61.5
2000-02-11,63.1,65.0,60.1,60.3
2000-02-14,61.0,61.9,57.0,57.15
2000-02-15,57.0,59.6,56.15,57.85
2000-02-16,59.55,61.0,57.6,58.15
2000-02-17,59.55,62.8,59.55,62.8
2000-02-18,67.85,67.85,67.85,67.85
2000-02-21,73.3,73.3,73.3,73.3
2000-02-22,79.2,79.2,78.75,79.2
2000-02-23,85.5,85.5,73.05,83.7
2000-02-24,84.0,84.9,77.0,77.0
2000-02-25,75.05,78.7,70.85,70.85
2000-02-28,67.0,70.45,65.2,69.7
2000-02-29,70.1,74.4,65.0,65.55
2000-03-01,65.1,70.0,65.05,68.2
2000-03-02,70.5,71.5,63.0,63.65
2000-03-03,62.5,64.0,59.75,60.6
2000-03-06,59.55,61.5,57.55,60.0
2000-03-07,56.55,59.0,56.3,57.2
2000-03-08,60.9,61.8,56.5,61.4
2000-03-09,64.4,65.9,59.0,65.35
2000-03-10,62.0,67.9,62.0,65.35
2000-03-13,64.9,65.7,62.75,64.75
2000-03-14,62.2,67.8,62.0,64.95
2000-03-15,65.0,66.0,63.1,64.8
2000-03-16,63.1,66.0,63.0,64.95
2000-03-21,63.1,64.3,59.95,60.05
2001-07-02,65.1,68.0,64.0,64.4
2001-07-03,67.45,67.45,63.1,64.4
2001-07-04,64.4,65.5,64.0,65.05
2001-07-05,64.55,65.1,64.05,65.0
2001-07-06,64.6,65.0,64.25,65.0
2001-07-09,63.75,65.25,62.0,65.0
2001-07-10,64.45,65.25,64.45,64.9
2001-07-11,65.6,65.7,64.1,65.15
2001-07-12,65.65,65.7,64.5,65.1
2001-07-13,64.5,65.25,64.25,64.5
2001-07-16,64.5,66.0,64.25,64.75
2001-07-17,65.25,66.0,64.15,64.15
2001-07-18,64.25,65.75,64.25,64.85
2001-07-19,64.5,65.0,63.5,63.5
2001-07-20,63.8,64.0,63.0,63.0
2001-07-23,62.5,62.5,62.0,62.0
2001-07-24,63.15,63.15,61.75,62.2
2001-07-25,60.75,61.45,58.3,59.1
2001-07-26,59.0,59.0,57.15,58.35
2001-07-27,58.0,59.0,56.0,59.0
2001-07-30,58.8,59.5,58.1,59.05
2001-07-31,59.55,60.0,59.0,60.0
2001-08-01,59.85,60.0,58.75,59.55
2001-08-02,59.95,60.65,59.3,59.95
2001-08-03,59.25,60.0,59.0,59.8
2001-08-06,59.9,60.0,59.4,59.9
2001-08-07,59.75,60.65,59.75,60.4
2001-08-08,59.75,60.25,59.75,59.95
2001-08-09,59.3,60.0,59.3,60.0
2001-08-10,60.6,60.6,59.5,59.95
2001-08-13,59.6,60.35,59.6,60.05
2001-08-14,59.6,61.5,59.25,60.45
2001-08-16,60.5,61.5,60.5,61.2
2001-08-17,61.45,62.25,61.0,61.55
2001-08-20,61.6,62.0,61.5,61.9
2001-08-21,62.75,64.0,61.0,61.95
2001-08-23,61.9,62.0,59.8,59.95
2001-08-24,60.0,60.6,59.25,59.35
2001-08-27,60.0,60.5,58.0,58.6
2001-08-28,58.9,58.95,57.85,58.0
2001-08-29,58.9,59.0,57.85,57.9
2001-08-30,58.0,58.35,57.45,57.5
2001-08-31,58.0,58.0,55.85,56.0
2001-09-03,56.25,56.25,53.85,54.0
2001-09-04,54.0,55.0,52.75,54.75
2001-09-05,51.8,52.0,50.45,50.8
2001-09-06,50.8,51.75,50.8,51.7
2001-09-07,52.0,52.5,51.55,51.95
2001-09-10,51.75,52.65,51.75,52.45
2001-09-11,52.65,53.2,52.15,52.5
2001-09-12,51.0,52.0,49.75,50.0
2001-09-13,50.0,52.0,48.5,49.05
2001-09-14,49.7,49.7,44.05,45.95
2001-09-17,45.7,45.7,43.0,43.5
2001-09-18,44.8,46.45,44.1,45.5
2001-09-19,45.0,46.45,45.0,45.95
2001-09-20,46.0,48.4,45.0,47.85
2001-09-21,47.35,47.85,45.75,47.05
