Date,Open,High,Low,Close
2000-01-03,429.9,438.3,425.0,438.3
2000-01-04,437.5,440.0,420.05,437.15
2000-01-05,420.1,447.9,412.0,439.6
2000-01-06,449.9,474.8,449.9,474.8
2000-01-07,472.0,512.8,472.0,512.8
2000-01-10,553.8,553.85,475.0,501.95
2000-01-11,497.0,497.0,462.0,474.3
2000-01-12,465.0,472.0,437.0,458.45
2000-01-13,460.0,475.0,442.0,452.35
2000-01-14,460.0,460.0,416.2,434.95
2000-01-17,434.0,453.5,434.0,450.9
2000-01-18,451.0,457.2,426.0,431.3
2000-01-19,445.0,450.0,410.0,418.95
2000-01-20,428.0,435.0,422.0,425.55
2000-01-21,425.0,425.0,405.5,409.45
2000-01-24,412.0,422.9,412.0,415.15
2000-01-25,405.0,416.0,381.95,389.7
2000-01-27,396.9,414.8,388.0,397.65
2000-01-28,400.0,410.0,383.0,385.4
2000-01-31,388.0,390.0,370.0,384.5
2000-02-01,381.0,381.0,365.0,365.75
2000-02-02,377.0,379.85,366.5,369.1
2000-02-03,379.0,379.0,369.0,375.55
2000-02-04,380.0,380.0,371.95,373.55
2000-02-07,377.0,377.0,366.5,373.3
2000-02-08,378.0,403.2,373.0,401.95
2000-02-09,424.85,434.1,404.0,407.4
2000-02-10,404.0,415.0,397.0,401.1
2000-02-11,395.0,400.5,375.0,386.05
2000-02-14,390.0,398.0,363.6,368.8
2000-02-15,360.15,367.9,346.2,355.7
2000-02-16,365.0,370.0,360.0,365.5
2000-02-17,362.0,368.8,352.0,357.4
2000-02-18,353.0,363.7,329.0,345.7
2000-02-21,339.0,345.0,318.05,318.05
2000-02-22,308.05,311.9,292.65,292.75
2000-02-23,302.95,302.95,281.0,285.1
2000-02-24,289.9,293.0,278.05,284.05
2000-02-25,284.9,306.8,284.0,304.35
2000-02-28,312.0,328.7,312.0,328.7
2000-02-29,340.0,355.0,309.0,323.8
2000-03-01,317.0,330.0,305.0,321.5
2000-03-02,330.0,347.25,330.0,347.25
2000-03-03,349.0,375.05,339.0,371.2
2000-03-06,375.1,385.0,360.1,370.45
2000-03-07,372.0,375.0,340.85,341.15
2000-03-08,348.0,368.45,342.05,364.9
2000-03-09,371.25,380.0,350.0,371.1
2000-03-10,372.0,372.0,350.0,351.4
2000-03-13,353.0,353.9,323.6,331.8
2000-03-14,333.0,333.0,310.0,319.2
2000-03-15,319.0,333.95,318.0,324.05
2000-03-16,320.0,330.25,315.0,318.2
2000-03-21,312.0,312.0,292.75,292.9
2000-03-22,297.0,298.0,275.0,286.85
2000-03-23,289.0,289.0,275.05,277.45
2000-03-24,275.0,275.0,267.05,270.6
2000-03-27,270.0,284.5,269.0,277.6
2000-03-28,266.0,287.0,266.0,281.0
2000-03-29,284.0,293.9,280.0,287.05
2000-03-30,281.5,288.7,280.0,285.7
2000-03-31,275.0,308.6,275.0,307.45
2000-04-03,324.75,332.05,308.0,325.85
2000-04-04,311.0,340.0,302.0,319.85
2000-04-05,337.9,343.65,316.5,339.4
2000-04-06,339.0,342.0,319.0,335.3
2000-04-07,338.0,362.15,336.0,361.35
2000-04-10,366.0,390.3,366.0,390.3
2000-04-11,400.0,400.0,370.0,389.0
2000-04-12,378.1,385.0,360.0,361.35
2000-04-13,354.0,369.0,340.0,364.0
2000-04-17,345.0,379.75,345.0,356.25
2000-04-18,362.0,375.65,355.6,367.05
2000-04-19,367.0,378.0,365.0,371.7
2000-04-20,368.05,384.0,361.55,377.9
2000-04-24,393.0,393.0,376.0,377.3
2000-04-25,371.0,382.9,363.0,376.75
2000-04-26,385.0,385.0,357.15,363.75
2000-04-27,357.0,358.2,334.65,340.95
2000-04-28,335.15,368.0,330.05,354.75
2000-05-02,364.7,370.0,321.5,327.85
2000-05-03,306.0,330.9,306.0,321.85
2000-05-04,319.0,329.95,303.1,311.4
2000-05-05,312.0,312.0,274.05,274.25
2000-05-08,261.0,271.0,241.35,241.35
2000-05-09,225.3,244.0,222.05,242.0
2000-05-10,247.95,249.9,222.65,227.3
2000-05-11,215.55,235.0,215.55,227.15
2000-05-12,230.9,233.0,219.0,220.1
2000-05-15,217.05,233.0,215.0,220.5
2000-05-16,225.0,225.4,219.5,220.9
2000-05-17,225.0,246.95,225.0,237.65
2000-05-18,234.0,246.0,231.3,232.7
2000-05-19,233.0,238.45,230.0,232.4
2000-05-22,231.8,232.0,224.5,226.45
2000-05-23,240.0,240.0,219.2,221.05
2000-05-24,220.0,232.75,214.25,231.0
2000-05-25,232.7,258.75,231.0,257.7
2000-05-26,261.7,288.65,258.1,288.65
2000-05-29,299.0,311.75,285.1,290.65
2000-05-30,291.0,291.05,278.2,283.3
2000-05-31,287.0,291.0,263.15,268.4
2000-06-01,272.0,273.9,254.05,261.6
2000-06-02,268.0,268.0,243.1,248.2
2000-06-05,253.9,258.5,230.0,236.6
2000-06-06,236.0,247.0,233.0,240.3
2000-06-07,245.95,259.5,244.5,249.5
2000-06-08,253.9,262.5,250.0,252.4
2000-06-09,253.5,272.6,252.0,261.25
2000-06-12,265.0,270.0,260.0,260.05
2000-06-13,255.0,266.0,254.1,264.0
2000-06-14,274.0,278.5,262.1,263.55
2000-06-15,265.0,265.4,258.05,261.25
2000-06-16,262.0,265.0,258.4,261.55
2000-06-19,262.8,265.0,261.1,263.75
2000-06-20,266.0,267.0,261.0,265.5
2000-06-21,266.0,268.0,260.05,263.85
2000-06-22,263.5,264.95,259.8,263.75
2000-06-23,262.0,266.9,258.5,264.55
2000-06-26,261.1,267.9,260.1,263.55
2000-06-27,264.4,282.0,264.15,275.75
2000-06-28,275.25,286.7,275.25,283.1
2000-06-29,285.25,305.75,285.0,304.2
2000-06-30,308.0,308.0,285.0,287.3
2000-07-03,288.0,302.0,287.0,293.2
2000-07-04,291.2,293.7,288.1,291.9
2000-07-05,293.0,302.5,292.95,297.7
2000-07-06,281.05,301.0,281.05,290.75
2000-07-07,285.0,290.0,281.0,286.6
2000-07-10,282.0,299.9,282.0,291.3
2000-07-11,290.0,292.95,287.15,289.8
2000-07-12,292.0,299.95,290.0,297.45
2000-07-13,298.75,300.0,291.0,292.3
2000-07-14,293.0,295.0,285.0,287.9
2000-07-17,289.9,293.45,285.0,289.5
2000-07-18,290.0,296.9,288.0,292.7
2000-07-19,292.0,298.05,275.05,279.05
2000-07-20,278.5,278.5,245.0,253.1
2000-07-21,252.0,255.0,245.75,252.0
2000-07-24,237.0,247.0,229.0,230.7
2000-07-25,221.0,267.0,220.0,242.25
2000-07-26,240.15,248.9,235.0,240.6
2000-07-27,239.0,248.5,237.0,246.1
2000-07-28,247.95,265.8,242.1,259.3
2000-07-31,259.45,264.0,253.2,254.5
2000-08-01,255.0,265.0,255.0,256.55
2000-08-02,258.0,283.5,257.0,275.9
2000-08-03,276.0,290.0,270.0,275.55
2000-08-04,276.0,284.05,271.0,278.7
2000-08-07,276.0,283.5,266.15,274.35
2000-08-08,274.0,283.5,268.5,280.8
2000-08-09,280.0,281.0,272.0,276.6
2000-08-10,277.25,286.8,275.0,278.2
2000-08-11,278.0,284.5,274.0,279.4
2000-08-14,280.1,290.0,280.1,288.75
2000-08-16,290.0,290.0,272.5,273.6
2000-08-17,278.0,278.0,237.0,246.95
2000-08-18,248.0,256.8,246.25,249.35
2000-08-21,252.0,254.8,247.0,253.25
2000-08-22,250.1,260.7,250.1,258.45
2000-08-23,261.65,270.0,261.0,264.6
2000-08-24,264.9,264.9,253.55,260.6
2000-08-25,260.85,267.0,257.0,263.8
2000-08-28,267.0,274.5,263.05,271.2
2000-08-29,267.1,271.8,267.1,269.65
2000-08-30,270.0,274.0,266.9,269.65
2000-08-31,269.0,275.5,269.0,273.15
2000-09-04,270.0,270.25,268.1,269.65
2000-09-05,268.05,268.5,255.0,258.6
2000-09-06,257.0,257.0,242.05,243.9
2000-09-07,246.0,246.0,233.0,235.9
2000-09-08,237.0,241.9,235.1,240.75
2000-09-11,245.0,247.85,241.0,245.05
2000-09-12,242.0,246.25,239.0,240.3
2000-09-13,242.5,243.5,238.25,239.55
2000-09-14,241.5,241.5,236.0,238.15
2000-09-15,241.0,242.0,232.0,233.0
2000-09-18,230.0,231.75,223.75,224.6
2000-09-19,222.0,242.4,200.2,213.5
2000-09-20,221.0,224.5,211.0,218.75
2000-09-21,220.4,224.1,216.0,220.1
2000-09-22,208.5,218.9,208.5,211.85
2000-09-25,213.0,217.9,211.3,214.8
2000-09-26,214.5,220.0,212.15,216.3
2000-09-27,217.0,220.0,212.0,217.05
2000-09-28,210.0,219.9,210.0,214.4
2000-09-29,229.0,229.0,211.25,214.55
2000-10-03,211.5,221.0,211.5,216.65
2000-10-04,219.9,219.9,204.05,210.1
2000-10-05,212.0,212.5,206.4,206.95
2000-10-06,205.2,207.9,195.0,198.0
2000-10-09,199.0,199.25,174.05,176.5
2000-10-10,178.5,184.8,175.5,178.9
2000-10-11,171.1,178.95,171.0,172.5
2000-10-12,170.25,176.8,165.95,174.05
2000-10-13,175.0,188.0,175.0,185.0
2000-10-16,194.0,194.0,175.0,175.2
2000-10-17,175.0,181.8,175.0,180.7
2000-10-18,181.95,184.9,177.5,182.1
2000-10-19,182.55,186.9,176.0,184.5
2000-10-20,187.9,196.7,184.0,185.25
2000-10-23,186.0,192.35,182.0,190.4
2000-10-24,188.05,203.5,187.65,197.9
2000-10-25,197.8,204.8,196.2,202.6
2000-10-26,203.0,204.4,199.25,202.3
2000-10-27,201.0,203.8,201.0,202.55
2000-10-30,202.5,204.25,197.1,198.75
2000-10-31,196.35,205.0,196.0,204.0
2000-11-01,204.9,210.9,203.0,205.6
2000-11-02,204.9,214.0,204.0,209.3
2000-11-03,212.0,228.0,212.0,225.1
2000-11-06,233.0,237.0,224.5,227.85
2000-11-07,225.4,233.0,224.4,227.75
2000-11-08,224.2,229.0,210.0,217.8
2000-11-09,211.0,218.9,211.0,215.45
2000-11-10,214.5,214.5,206.95,208.95
2000-11-13,207.1,219.0,197.05,208.4
2000-11-14,210.0,225.1,207.4,216.95
2000-11-15,222.0,228.4,218.0,222.15
2000-11-16,222.05,226.8,215.55,217.0
2000-11-17,213.5,222.0,213.5,218.05
2000-11-20,217.0,228.6,217.0,227.05
2000-11-21,225.0,235.5,223.05,226.25
2000-11-22,227.0,230.85,222.5,223.1
2000-11-23,220.1,231.9,218.0,227.6
2000-11-24,233.0,238.0,228.0,233.85
2000-11-27,238.0,250.9,235.1,248.45
2000-11-28,245.8,264.8,245.8,259.0
2000-11-29,260.0,268.0,246.0,252.55
2000-11-30,251.8,259.0,243.0,246.6
2000-12-01,242.5,273.5,242.0,259.7
2000-12-04,259.9,273.85,259.9,268.05
2000-12-05,270.0,276.0,267.2,272.0
2000-12-06,289.9,289.9,257.5,259.4
2000-12-07,257.2,268.8,257.2,264.3
2000-12-08,264.9,269.9,263.0,264.05
2000-12-11,264.9,274.0,263.25,269.75
2000-12-12,267.15,282.6,267.15,277.6
2000-12-13,283.0,293.0,278.1,291.2
2000-12-14,291.9,298.4,285.6,287.35
2000-12-15,285.15,293.0,274.0,279.0
2000-12-18,285.0,294.7,273.15,289.75
2000-12-19,292.0,293.1,281.2,283.35
2000-12-20,280.0,285.9,276.1,282.15
2000-12-21,280.5,282.5,274.15,279.0
2000-12-22,281.0,284.5,273.0,276.0
2000-12-26,275.5,279.0,258.0,264.3
2000-12-27,265.0,279.0,260.1,275.2
2000-12-28,280.0,286.7,277.3,284.65
2000-12-29,287.8,290.0,280.5,287.95
2001-01-01,290.0,297.0,287.3,293.0
2001-01-02,294.5,306.5,293.05,302.55
2001-01-03,303.0,309.0,298.0,302.5
2001-01-04,305.0,311.25,286.0,289.1
2001-01-05,294.0,296.9,285.0,293.7
2001-01-08,290.0,302.0,290.0,296.75
2001-01-09,298.4,301.0,294.2,296.9
2001-01-10,299.0,308.9,295.75,298.95
2001-01-11,295.05,300.0,286.2,288.85
2001-01-12,289.9,295.9,285.0,292.65
2001-01-15,294.1,297.95,291.0,295.75
2001-01-16,296.0,301.5,291.9,297.95
2001-01-17,304.0,319.0,301.1,309.85
2001-01-18,312.0,316.8,308.5,312.7
2001-01-19,315.0,323.0,312.0,315.35
2001-01-22,316.7,327.4,309.55,325.75
2001-01-23,326.0,327.5,319.0,320.45
2001-01-24,325.9,340.0,323.3,337.05
2001-01-25,339.8,345.85,323.0,328.05
2001-01-29,320.0,333.0,302.0,316.25
2001-01-30,318.0,327.8,318.0,326.1
2001-01-31,326.9,339.0,320.0,331.2
2001-02-01,329.0,333.0,312.0,325.65
2001-02-02,323.0,337.5,323.0,333.35
2001-02-05,332.0,350.0,332.0,346.65
2001-02-06,349.5,354.0,343.35,348.05
2001-02-07,347.0,347.0,338.25,342.8
2001-02-08,340.0,347.0,338.0,344.55
2001-02-09,344.1,347.75,335.0,339.25
2001-02-12,340.0,346.5,329.05,332.05
2001-02-13,332.75,334.5,317.25,319.5
2001-02-14,318.0,345.1,315.25,333.9
2001-02-15,337.9,340.75,332.2,335.2
2001-02-16,337.0,337.0,318.75,320.35
2001-02-19,325.1,325.1,311.5,319.65
2001-02-20,320.5,332.9,319.55,329.05
2001-02-21,326.9,328.7,316.0,320.35
2001-02-22,318.05,321.5,308.25,311.85
2001-02-23,311.5,317.0,295.0,298.7
2001-02-26,297.25,309.9,290.6,304.0
2001-02-27,305.0,308.0,284.15,294.5
2001-02-28,300.35,332.8,298.05,319.55
2001-03-01,325.0,345.0,324.1,331.45
2001-03-02,338.0,341.0,321.15,324.7
2001-03-05,328.0,331.0,311.15,318.55
2001-03-07,320.1,326.0,300.0,308.2
2001-03-08,313.0,314.65,305.95,307.7
2001-03-09,304.0,307.0,283.1,303.25
2001-03-12,297.1,302.0,279.0,282.1
2001-03-13,260.2,293.9,259.9,266.8
2001-03-14,260.05,309.0,260.05,301.25
2001-03-15,294.0,308.0,287.0,297.65
2001-03-16,294.0,313.0,274.6,289.8
2001-03-19,294.5,298.0,285.25,287.8
2001-03-20,290.0,290.0,274.05,276.35
2001-03-21,273.95,292.0,272.0,289.0
2001-03-22,287.0,295.0,283.05,289.9
2001-03-23,293.0,293.0,266.75,277.0
2001-03-26,273.0,277.9,268.25,270.8
2001-03-27,268.0,274.4,266.5,270.85
2001-03-28,276.95,279.5,263.0,265.3
2001-03-29,262.25,273.45,262.0,267.75
2001-03-30,264.0,264.5,247.5,250.95
2001-04-02,247.5,247.5,230.9,239.0
2001-04-03,236.0,253.0,235.15,248.3
2001-04-04,245.0,262.5,241.4,258.0
2001-04-06,261.5,277.0,260.5,270.7
2001-04-09,270.1,292.0,265.25,288.8
2001-04-10,292.0,297.4,280.0,288.7
2001-04-11,290.05,291.1,271.0,275.55
2001-04-12,268.05,297.0,256.0,281.15
2001-04-16,278.1,289.45,273.15,277.5
2001-04-17,273.0,287.9,272.0,280.65
2001-04-18,272.6,298.5,272.6,289.1
2001-04-19,294.9,309.95,285.05,304.25
2001-04-20,306.0,314.35,294.1,302.7
2001-04-23,306.0,308.7,297.5,303.05
2001-04-24,301.0,307.9,295.1,304.85
2001-04-25,310.0,315.65,305.0,313.15
2001-04-26,317.6,321.7,307.0,309.7
2001-04-27,307.0,307.0,260.5,269.7
2001-04-30,265.0,290.9,265.0,287.7
2001-05-02,310.0,310.75,301.5,304.25
2001-05-03,300.6,302.0,292.5,294.6
2001-05-04,293.15,307.7,287.6,302.45
2001-05-07,305.0,312.0,305.0,307.45
2001-05-08,305.0,307.95,301.9,302.95
2001-05-09,322.0,322.0,301.0,303.25
2001-05-10,302.0,305.75,296.55,303.05
2001-05-11,302.0,305.0,297.1,299.05
2001-05-14,297.55,302.9,296.1,298.35
2001-05-15,289.0,307.4,275.0,303.85
2001-05-16,308.0,315.0,297.75,301.85
2001-05-17,305.0,317.45,305.0,313.4
2001-05-18,315.0,322.0,312.0,316.0
2001-05-21,318.9,320.4,310.0,312.65
2001-05-22,313.0,313.85,305.6,307.25
2001-05-23,308.05,320.6,308.0,317.5
2001-05-24,317.2,326.5,317.2,323.85
2001-05-25,327.8,339.8,322.5,337.3
2001-05-28,338.0,344.5,333.5,343.45
2001-05-29,343.0,356.0,342.0,352.1
2001-05-30,345.0,345.0,331.25,335.7
2001-05-31,334.0,343.5,331.0,337.85
2001-06-01,339.5,343.1,337.35,339.7
2001-06-04,338.5,338.5,324.0,327.0
2001-06-05,326.0,334.9,321.1,328.45
2001-06-06,331.0,338.0,327.0,331.2
2001-06-07,331.0,332.0,323.1,327.75
2001-06-08,329.5,333.0,327.0,331.3
2001-06-11,332.0,336.75,332.0,333.4
2001-06-12,336.5,341.4,333.9,335.45
2001-06-13,336.8,336.8,330.0,330.8
2001-06-14,330.05,330.05,325.1,328.1
2001-06-15,325.05,325.2,315.1,319.9
2001-06-18,321.5,321.5,311.55,315.95
2001-06-19,319.0,322.0,316.0,317.5
2001-06-20,320.7,320.7,315.0,318.45
2001-06-21,320.8,324.0,313.0,314.65
2001-06-22,317.5,317.5,299.95,301.2
2001-06-25,298.1,298.1,287.25,293.35
2001-06-26,288.0,308.65,288.0,304.85
2001-06-27,306.9,309.9,301.0,302.85
2001-06-28,300.1,307.0,300.1,304.7
2001-06-29,298.15,305.8,298.15,300.85
2001-07-02,304.0,315.0,300.55,308.15
2001-07-03,304.9,306.95,295.1,297.2
2001-07-04,309.9,309.9,299.2,300.25
2001-07-05,307.0,307.0,301.0,302.45
2001-07-06,304.5,306.95,300.0,305.75
2001-07-09,300.5,313.0,300.0,310.0
2001-07-10,309.9,321.9,309.9,318.75
2001-07-11,318.9,320.0,314.05,316.0
2001-07-12,317.25,335.0,317.1,332.25
2001-07-13,334.0,336.0,315.0,318.4
2001-07-16,329.0,329.0,318.0,319.0
2001-07-17,318.95,327.75,315.55,324.8
2001-07-18,324.5,328.5,318.35,320.9
2001-07-19,317.1,319.9,304.0,307.85
2001-07-20,305.0,312.0,305.0,309.25
2001-07-23,305.15,306.5,304.0,305.65
2001-07-24,305.3,312.0,305.3,310.8
2001-07-25,313.0,317.2,311.1,316.45
2001-07-26,316.45,316.5,304.1,310.7
2001-07-27,308.0,311.8,300.0,301.15
2001-07-30,300.0,316.75,300.0,312.45
2001-07-31,316.6,323.0,315.0,315.05
2001-08-01,318.0,327.0,302.6,307.65
2001-08-02,310.0,318.5,308.5,310.7
2001-08-03,312.9,313.7,308.5,310.55
2001-08-06,313.0,316.5,309.0,311.7
2001-08-07,310.1,316.0,309.5,315.2
2001-08-08,312.5,315.9,308.0,310.8
2001-08-09,307.5,309.8,303.5,305.85
2001-08-10,307.05,315.8,300.15,311.6
2001-08-13,311.5,313.25,306.35,307.95
2001-08-14,306.1,313.4,306.0,308.25
2001-08-16,308.9,315.1,308.1,312.1
2001-08-17,315.7,316.5,306.6,307.15
2001-08-20,308.0,308.95,305.35,306.9
2001-08-21,308.0,308.0,296.25,298.5
2001-08-23,298.5,302.5,292.5,292.85
2001-08-24,291.0,293.5,277.5,281.55
2001-08-27,319.0,319.0,282.5,284.25
2001-08-28,285.0,288.35,281.4,285.8
2001-08-29,287.0,288.8,282.5,285.65
2001-08-30,287.0,287.85,282.7,283.6
2001-08-31,282.6,282.6,269.1,270.35
2001-09-03,279.0,279.0,267.8,269.6
2001-09-04,270.5,271.0,266.25,269.8
2001-09-05,270.0,273.5,256.1,258.0
2001-09-06,257.0,263.0,255.0,260.1
2001-09-07,257.0,273.0,256.0,269.25
2001-09-10,272.15,277.6,271.95,275.2
2001-09-11,274.0,276.0,273.0,274.3
2001-09-12,270.0,273.4,256.2,270.15
2001-09-13,273.0,273.0,261.95,265.9
2001-09-14,260.25,262.05,251.0,255.6
2001-09-17,255.0,255.0,240.05,247.4
2001-09-18,249.0,262.9,241.0,259.75
2001-09-19,264.0,274.95,263.0,271.3
2001-09-20,271.0,271.0,252.1,259.8
2001-09-21,258.1,258.1,244.0,245.1
2001-09-24,251.0,255.0,248.2,249.8
2001-09-25,252.0,255.0,241.55,245.05
2001-09-26,243.95,246.9,235.0,245.3
2001-09-27,244.2,250.1,242.25,248.0
2001-09-28,250.8,268.8,250.8,260.0
2001-10-01,260.25,260.95,248.0,249.8
2001-10-03,249.0,258.95,249.0,255.1
2001-10-04,255.5,261.95,254.6,258.5
2001-10-05,258.2,263.0,252.1,253.6
2001-10-08,250.75,254.45,244.1,250.45
2001-10-09,255.9,256.95,253.0,256.25
2001-10-10,257.8,257.8,251.1,252.8
2001-10-11,257.8,263.4,255.1,257.9
2001-10-12,261.0,264.9,258.1,264.05
2001-10-15,265.0,270.0,265.0,266.5
2001-10-16,269.9,272.5,267.0,268.4
2001-10-17,271.8,271.8,262.05,263.05
2001-10-18,263.0,267.9,260.1,262.0
2001-10-19,262.0,265.95,261.0,264.8
2001-10-22,260.0,282.4,260.0,278.7
2001-10-23,284.7,284.7,272.15,277.3
2001-10-24,271.0,286.7,270.0,282.2
2001-10-25,272.0,291.9,272.0,288.9
2001-10-29,285.25,294.0,278.1,279.65
2001-10-30,275.1,281.75,275.0,279.45
2001-10-31,279.0,286.9,265.05,283.65
2001-11-01,288.0,290.0,281.0,284.8
2001-11-02,289.0,293.25,281.0,281.65
2001-11-05,282.1,284.75,280.15,281.0
2001-11-06,282.0,285.85,276.0,278.05
2001-11-07,282.0,282.0,276.05,278.25
2001-11-08,276.2,290.0,276.2,279.2
2001-11-09,282.0,298.0,280.1,286.35
2001-11-12,290.0,291.2,285.25,286.45
2001-11-13,287.1,290.5,283.75,285.05
2001-11-14,290.0,292.0,285.0,286.3
2001-11-15,286.0,289.75,285.0,285.2
2001-11-19,280.0,280.0,261.5,269.35
2001-11-20,272.0,277.55,268.1,273.75
2001-11-21,275.0,284.5,274.45,275.95
2001-11-22,279.9,282.0,277.1,281.0
2001-11-23,284.5,285.0,276.5,277.8
2001-11-26,284.0,289.0,278.05,284.0
2001-11-27,280.0,294.0,279.0,290.6
2001-11-28,291.9,306.0,291.9,298.05
2001-11-29,298.1,303.0,292.5,297.65
2001-12-03,304.4,307.0,299.0,302.9
2001-12-04,306.0,306.0,297.0,299.65
2001-12-05,304.45,313.65,301.0,308.9
2001-12-06,314.9,323.5,307.5,309.45
2001-12-07,311.0,321.5,311.0,316.8
2001-12-10,318.0,329.9,318.0,324.2
2001-12-11,329.8,329.8,313.05,315.2
2001-12-12,317.0,320.95,307.0,308.85
2001-12-13,310.8,317.9,297.0,302.55
2001-12-14,303.0,308.5,299.5,300.05
2001-12-18,303.8,304.0,285.25,288.75
2001-12-19,295.05,295.05,285.55,286.55
2001-12-20,285.0,290.25,282.0,283.65
2001-12-21,281.5,283.9,278.9,281.2
2001-12-24,279.2,287.95,275.0,284.8
2001-12-26,284.0,291.25,277.25,279.5
2001-12-27,275.0,280.0,253.25,257.55
2001-12-28,260.0,266.0,255.1,263.5
2001-12-31,273.9,277.4,267.9,274.05
2002-01-01,279.0,281.5,272.55,274.55
2002-01-02,274.0,278.0,273.0,276.25
2002-01-03,275.25,289.0,275.25,286.65
2002-01-04,290.0,292.0,285.55,288.2
2002-01-07,292.0,301.0,287.1,287.9
2002-01-08,288.05,291.0,285.0,287.05
2002-01-09,289.9,294.0,282.35,284.85
2002-01-10,280.05,285.0,276.0,284.0
2002-01-11,287.0,290.4,282.0,286.0
2002-01-14,290.0,295.0,285.15,287.05
2002-01-15,289.95,292.5,286.05,288.6
2002-01-16,291.0,293.0,286.15,287.0
2002-01-17,285.0,286.8,284.1,285.25
2002-01-18,285.0,287.9,282.0,284.85
2002-01-21,285.25,286.0,282.5,284.5
2002-01-22,285.0,296.7,285.0,291.0
2002-01-23,296.9,296.9,289.5,290.6
2002-01-24,292.1,292.15,284.0,284.55
2002-01-25,284.0,284.0,279.3,280.35
2002-01-28,280.0,280.0,275.3,279.75
2002-01-29,279.0,280.0,276.55,279.95
2002-01-30,276.0,282.85,276.0,282.0
2002-01-31,282.5,285.75,279.55,281.7
2002-02-01,283.0,296.8,283.0,288.25
2002-02-04,287.1,290.0,281.2,283.95
2002-02-05,278.25,285.0,276.05,284.3
2002-02-06,285.9,298.25,282.0,294.8
2002-02-07,294.15,306.0,294.15,302.6
2002-02-08,295.0,315.0,295.0,307.05
2002-02-11,309.8,314.05,304.2,305.25
2002-02-12,292.0,310.0,292.0,304.8
2002-02-13,304.9,312.0,304.9,307.2
2002-02-14,302.25,309.5,302.25,307.85
2002-02-15,312.0,317.5,307.0,308.75
2002-02-18,312.0,318.45,310.5,315.5
2002-02-19,317.0,320.0,309.4,311.0
2002-02-20,307.1,308.0,298.0,301.65
2002-02-21,307.0,307.0,294.0,299.75
2002-02-22,298.05,301.95,298.0,299.05
2002-02-25,302.0,302.0,295.25,298.7
2002-02-26,298.5,304.9,298.5,300.95
2002-02-27,303.0,311.0,301.0,307.6
2002-02-28,312.0,315.0,285.05,289.2
2002-03-01,289.9,305.0,288.0,302.2
2002-03-04,305.0,308.0,296.2,303.75
2002-03-05,308.0,309.5,304.5,305.0
2002-03-06,303.0,305.85,300.7,303.1
2002-03-07,308.8,308.8,296.25,302.0
2002-03-08,309.0,309.0,299.25,299.55
2002-03-11,300.1,303.95,298.25,301.6
