Date,Open,High,Low,Close
2000-01-11,1550.0,1725.0,1492.0,1554.45
2000-01-12,1560.0,1678.85,1560.0,1678.85
2000-01-13,1790.0,1813.2,1781.0,1813.2
2000-01-14,1958.3,1958.3,1835.0,1958.3
2000-01-17,2115.0,2115.0,1801.65,1801.65
2000-01-18,1730.55,1815.0,1657.55,1774.5
2000-01-19,1815.0,1889.0,1760.0,1851.15
2000-01-20,1865.0,1865.0,1750.0,1757.85
2000-01-21,1761.0,1815.0,1705.0,1781.35
2000-01-24,1834.9,1923.9,1795.0,1923.9
2000-01-25,1990.0,2077.85,1990.0,2077.85
2000-01-27,2239.9,2239.9,1965.0,2080.6
2000-01-28,2100.0,2245.0,2020.2,2196.95
2000-01-31,2111.0,2200.0,2021.2,2030.4
2000-02-01,1981.2,2180.0,1981.2,2162.25
2000-02-02,2260.0,2260.0,2010.0,2024.25
2000-02-03,2075.0,2075.0,1915.2,1956.5
2000-02-04,1993.0,2064.0,1965.0,1986.6
2000-02-07,1985.0,2119.95,1960.05,2062.95
2000-02-08,2049.4,2060.0,1970.0,1999.2
2000-02-09,2100.0,2100.0,1975.0,1999.0
2000-02-10,1976.65,2014.8,1965.0,1996.75
2000-02-11,1998.0,2156.5,1992.0,2156.5
2000-02-14,2199.0,2329.05,2199.0,2324.7
2000-02-15,2350.0,2510.7,2210.0,2508.4
2000-02-16,2560.0,2560.0,2307.75,2423.1
2000-02-17,2445.0,2616.95,2380.0,2614.7
2000-02-18,2800.0,2823.9,2760.5,2775.95
2000-02-21,2823.0,2998.0,2725.0,2819.15
2000-02-22,2800.0,2875.0,2652.0,2700.3
2000-02-23,2825.0,2870.0,2484.3,2548.8
2000-02-24,2570.0,2650.0,2445.0,2464.1
2000-02-25,2498.0,2540.0,2280.0,2317.3
2000-02-28,2200.0,2300.0,2132.0,2262.75
2000-02-29,2325.0,2350.0,2081.75,2081.75
2000-03-01,2000.0,2248.3,1915.25,2248.3
2000-03-02,2399.0,2428.2,2350.0,2428.2
2000-03-03,2618.9,2622.5,2350.0,2443.6
2000-03-06,2500.0,2500.0,2248.15,2249.75
2000-03-07,2225.0,2269.0,2069.8,2069.8
2000-03-08,2000.0,2150.0,1940.0,1975.4
2000-03-09,1952.0,2085.0,1817.4,1911.55
2000-03-10,1902.0,1949.9,1770.0,1798.9
2000-03-13,1839.0,1915.0,1655.0,1655.0
2000-03-14,1650.0,1725.0,1522.6,1667.75
2000-03-15,1750.0,1801.2,1578.05,1801.2
2000-03-16,1945.0,1945.3,1945.0,1945.3
2000-03-21,2089.0,2100.95,2000.0,2100.95
2000-03-22,2269.05,2269.05,2269.05,2269.05
2000-03-23,2399.0,2450.0,2090.0,2148.35
2000-03-24,2055.0,2185.0,2031.0,2123.35
2000-03-27,2140.0,2205.0,1995.0,2102.6
2000-03-28,2082.0,2092.0,2000.0,2004.5
2000-03-29,2050.0,2098.0,2000.0,2023.15
2000-03-30,1950.0,1970.0,1861.3,1865.15
2000-03-31,1802.0,1803.0,1715.95,1722.05
2000-04-03,1799.0,1800.0,1584.3,1584.3
2000-04-04,1457.6,1457.6,1457.6,1457.6
2000-04-05,1341.0,1544.0,1341.0,1495.15
2000-04-06,1545.0,1614.8,1400.0,1598.5
2000-04-07,1698.0,1726.4,1698.0,1726.4
2000-04-10,1855.0,1864.55,1855.0,1864.55
2000-04-11,1864.55,2013.75,1720.0,1893.8
2000-04-12,1874.0,1944.0,1742.3,1755.4
2000-04-13,1617.2,1669.0,1615.0,1615.0
2000-04-17,1485.8,1485.8,1485.8,1485.8
2000-04-18,1485.8,1550.0,1366.95,1377.55
2000-04-19,1449.0,1485.0,1267.35,1267.95
2000-04-20,1249.0,1369.4,1166.55,1346.75
2000-04-24,1400.0,1454.5,1400.0,1454.5
2000-04-25,1340.0,1570.9,1338.15,1536.45
2000-04-26,1649.0,1659.4,1577.0,1659.4
