Date,Open,High,Low,Close
2000-01-03,293.5,293.5,293.5,293.5
2000-01-04,317.0,317.0,297.0,304.05
2000-01-05,290.0,303.9,285.0,292.8
2000-01-06,301.0,314.0,295.0,296.45
2000-01-07,290.0,296.35,281.0,286.55
2000-01-10,292.0,296.0,285.0,287.2
2000-01-11,290.0,292.0,273.25,283.85
2000-01-12,287.0,293.0,284.5,285.6
2000-01-13,288.0,290.5,283.0,283.85
2000-01-14,284.0,294.0,276.25,286.55
2000-01-17,302.0,309.5,295.0,302.2
2000-01-18,307.0,317.85,301.05,305.75
2000-01-19,310.0,315.0,303.05,305.25
2000-01-20,303.0,306.0,288.0,291.35
2000-01-21,292.0,307.0,290.0,299.55
2000-01-24,306.0,306.0,291.0,293.05
2000-01-25,285.0,308.95,281.0,303.15
2000-01-27,315.9,316.6,309.9,316.6
2000-01-28,328.5,328.9,315.0,324.4
2000-01-31,328.7,349.95,320.05,333.5
2000-02-01,337.0,353.9,335.0,350.55
2000-02-02,355.0,357.0,342.0,351.4
2000-02-03,345.55,351.5,338.15,341.9
2000-02-04,342.0,362.4,341.0,357.2
2000-02-07,351.0,362.5,348.15,355.45
2000-02-08,359.0,359.0,345.6,350.5
2000-02-09,354.0,354.0,322.5,329.15
2000-02-10,329.0,329.0,311.6,320.35
2000-02-11,327.0,346.0,313.0,343.65
2000-02-14,354.0,369.0,345.0,359.15
2000-02-15,352.35,353.5,330.45,332.6
2000-02-16,350.0,354.8,338.1,341.6
2000-02-17,336.0,347.0,336.0,339.2
2000-02-18,339.0,340.0,325.0,327.9
2000-02-21,329.0,334.0,317.05,319.15
2000-02-22,317.0,319.4,301.2,305.95
2000-02-23,317.0,330.45,315.0,330.45
2000-02-24,349.85,356.0,332.0,351.7
2000-02-25,354.0,379.85,351.1,379.85
2000-02-28,405.5,410.25,380.5,409.7
2000-02-29,420.0,442.5,376.95,401.7
2000-03-01,405.0,433.85,400.0,433.85
2000-03-02,456.9,468.6,442.0,468.6
2000-03-03,489.0,489.0,431.15,473.05
2000-03-06,479.0,479.0,435.25,443.5
2000-03-07,447.0,447.0,408.05,412.2
2000-03-08,415.0,425.0,391.05,416.7
2000-03-09,419.0,419.0,388.1,399.6
2000-03-10,400.0,408.9,390.3,397.55
2000-03-13,386.1,406.0,367.0,381.6
2000-03-14,385.0,400.0,367.0,396.65
2000-03-15,406.0,406.8,386.0,400.5
2000-03-16,405.85,405.85,395.1,398.2
2000-03-21,398.0,427.0,397.0,406.35
2000-03-22,414.0,428.8,374.0,413.25
2000-03-23,424.0,446.35,404.0,409.85
2000-03-24,409.95,420.0,402.6,416.8
2000-03-27,415.0,444.7,411.5,417.4
2000-03-28,424.85,424.85,405.15,412.7
2000-03-29,418.6,418.6,379.7,380.3
2000-03-30,378.0,378.0,356.1,363.85
2000-03-31,357.0,393.0,354.0,393.0
2000-04-03,419.0,424.45,419.0,424.45
2000-04-04,444.0,458.45,442.0,458.45
2000-04-05,480.0,482.4,438.0,469.8
2000-04-06,460.0,465.0,436.75,459.25
2000-04-07,461.0,496.0,461.0,490.95
2000-04-10,493.9,504.0,466.0,477.7
2000-04-11,470.05,470.05,457.0,464.3
2000-04-12,460.0,464.0,441.0,453.25
2000-04-13,449.0,476.0,430.05,448.7
2000-04-17,444.55,444.55,415.3,433.1
2000-04-18,444.0,453.75,435.3,445.4
2000-04-19,432.0,463.0,431.0,459.35
2000-04-20,459.0,494.0,446.1,475.1
2000-04-24,470.0,475.0,444.2,448.05
2000-04-25,444.15,459.9,428.0,456.9
2000-04-26,470.0,474.0,452.2,460.65
2000-04-27,458.0,464.0,446.6,460.15
2000-04-28,460.0,477.7,460.0,472.35
2000-05-02,475.0,492.45,460.55,479.35
2000-05-03,451.8,468.0,446.0,460.85
2000-05-04,470.0,470.0,445.15,455.75
2000-05-05,453.0,453.0,437.25,449.0
2000-05-08,440.0,449.75,430.0,437.55
2000-05-09,433.1,434.9,415.5,424.95
