Date,Open,High,Low,Close
2000-01-03,166.0,170.0,166.0,170.0
2000-01-04,182.0,183.45,171.0,173.8
2000-01-05,170.0,173.9,165.0,166.95
2000-01-06,168.0,170.0,165.3,168.3
2000-01-07,162.15,171.0,162.15,168.35
2000-01-10,172.9,179.5,165.0,165.9
2000-01-11,166.5,167.9,157.0,163.4
2000-01-12,163.75,167.95,162.3,165.45
2000-01-13,169.9,169.9,165.0,165.1
2000-01-14,168.0,168.0,164.0,165.45
2000-01-17,174.0,178.7,172.05,178.7
2000-01-18,178.7,178.7,164.55,165.7
2000-01-19,172.0,179.0,172.0,179.0
2000-01-20,184.8,184.8,176.0,178.6
2000-01-21,176.0,192.0,172.1,188.15
2000-01-24,198.8,203.2,193.0,200.55
2000-01-25,199.0,216.6,199.0,216.6
2000-01-27,224.0,233.95,221.25,229.7
2000-01-28,230.0,233.0,224.0,227.9
2000-01-31,230.1,246.15,230.1,237.75
2000-02-01,236.0,244.0,235.0,240.95
2000-02-02,260.2,260.25,239.0,244.0
2000-02-03,244.0,250.0,224.5,225.95
2000-02-04,229.95,232.0,217.5,228.95
2000-02-07,235.0,247.3,230.0,246.7
2000-02-08,250.0,253.8,240.1,250.75
2000-02-09,255.0,261.0,246.1,252.5
2000-02-10,250.0,262.0,248.25,251.75
2000-02-11,255.1,259.0,231.65,232.1
2000-02-14,235.0,235.0,220.15,233.45
2000-02-15,234.0,235.0,225.1,227.6
2000-02-16,244.9,245.85,230.0,245.85
2000-02-17,257.7,257.7,248.15,250.4
2000-02-18,251.0,253.0,239.0,242.6
2000-02-21,243.25,248.0,235.1,236.15
2000-02-22,236.05,240.0,217.3,217.55
2000-02-23,226.0,234.9,217.5,219.45
2000-02-24,222.0,230.0,215.5,227.0
2000-02-25,229.95,234.0,222.0,227.0
2000-02-28,229.85,230.0,220.0,227.55
2000-02-29,228.0,239.0,209.5,216.8
2000-03-01,218.0,234.15,218.0,234.15
2000-03-02,250.0,252.9,250.0,252.9
2000-03-03,273.15,273.15,273.15,273.15
2000-03-06,294.95,295.0,255.0,266.05
2000-03-07,265.0,267.9,255.0,258.2
2000-03-08,265.0,278.9,262.0,272.05
2000-03-09,270.15,280.0,251.0,269.6
2000-03-10,261.25,263.0,248.05,254.15
2000-03-13,250.0,274.5,250.0,269.95
2000-03-14,275.5,280.0,256.0,265.4
2000-03-15,270.0,270.0,247.0,259.85
2000-03-16,262.0,262.0,255.05,256.95
2000-03-21,260.0,260.0,246.7,255.8
2000-03-22,259.75,265.0,254.05,261.15
2000-03-23,258.25,282.05,258.25,280.4
2000-03-24,275.1,277.75,264.5,273.4
2000-03-27,275.0,278.0,266.25,271.7
2000-03-28,268.5,278.5,268.05,275.1
2000-03-29,276.0,287.95,263.05,265.4
2000-03-30,256.5,266.0,251.0,262.55
2000-03-31,253.0,260.0,252.0,257.2
2000-04-03,259.95,273.0,240.15,247.15
2000-04-04,243.0,243.0,227.4,227.4
2000-04-05,232.0,232.0,209.25,209.25
2000-04-06,207.0,212.0,192.55,192.55
2000-04-07,195.0,207.95,185.05,207.95
2000-04-10,224.5,224.6,219.95,224.6
2000-04-11,224.6,234.9,209.0,226.2
2000-04-12,238.0,243.0,223.0,233.0
2000-04-13,229.0,234.0,215.0,231.45
2000-04-17,225.0,225.0,212.95,212.95
