Date,Open,High,Low,Close
2000-01-03,1200.0,1236.8,1171.0,1207.6
2000-01-04,1200.0,1220.0,1176.0,1199.85
2000-01-05,1155.0,1178.0,1140.0,1143.8
2000-01-06,1183.0,1189.95,1150.25,1161.4
2000-01-07,1140.0,1140.0,1069.0,1106.55
2000-01-10,1105.05,1135.0,1100.0,1126.35
2000-01-11,1100.0,1135.0,1095.0,1125.1
2000-01-12,1176.0,1198.0,1150.0,1174.95
2000-01-13,1198.0,1198.0,1140.0,1146.4
2000-01-14,1194.0,1198.0,1157.5,1190.3
2000-01-17,1216.0,1285.55,1216.0,1285.55
2000-01-18,1339.0,1365.0,1270.0,1294.65
2000-01-19,1300.0,1324.9,1270.0,1272.55
2000-01-20,1275.0,1275.0,1236.3,1252.9
2000-01-21,1240.0,1255.5,1235.0,1242.55
2000-01-24,1201.0,1260.25,1201.0,1212.1
2000-01-25,1201.0,1300.0,1170.0,1218.6
2000-01-27,1221.0,1237.0,1183.0,1187.3
2000-01-28,1180.0,1210.0,1180.0,1197.55
2000-01-31,1187.0,1195.0,1171.1,1175.3
2000-02-01,1160.0,1199.0,1125.0,1146.25
2000-02-02,1145.0,1169.0,1062.0,1068.95
2000-02-03,1084.7,1099.0,1054.0,1059.25
2000-02-04,1060.0,1079.0,1008.0,1018.1
2000-02-07,1020.0,1020.0,990.0,995.35
2000-02-08,1030.0,1030.0,950.0,962.5
2000-02-09,1025.0,1032.0,965.0,971.25
2000-02-10,980.0,986.0,950.0,955.4
2000-02-11,950.0,977.0,905.25,920.7
2000-02-14,895.0,904.0,866.0,895.45
2000-02-15,860.0,915.0,860.0,893.65
2000-02-16,892.0,919.0,886.05,891.85
2000-02-17,890.0,900.0,870.0,893.2
2000-02-18,895.5,900.0,822.0,837.85
2000-02-21,850.0,866.0,833.0,860.45
2000-02-22,843.0,858.0,835.0,847.8
2000-02-23,900.0,900.0,846.0,858.85
2000-02-24,840.0,860.0,820.1,838.6
2000-02-25,869.8,869.8,810.0,821.75
2000-02-28,849.0,849.0,819.0,826.65
2000-02-29,842.0,870.0,810.0,822.45
2000-03-01,860.0,860.0,800.0,825.8
2000-03-02,805.0,834.0,791.05,797.15
2000-03-03,819.0,860.0,750.0,797.65
2000-03-06,856.7,856.7,810.0,822.1
2000-03-07,825.0,825.0,778.0,811.55
2000-03-08,850.0,850.0,790.0,805.1
2000-03-09,820.0,869.55,810.0,869.55
2000-03-10,920.0,939.1,880.0,935.9
2000-03-13,959.0,985.0,925.0,947.55
2000-03-14,931.0,931.0,872.0,902.85
2000-03-15,925.0,970.0,918.75,924.25
2000-03-16,940.0,940.0,890.0,910.7
2000-03-21,900.0,912.0,900.0,901.7
2000-03-22,940.0,973.85,921.0,973.85
2000-03-23,1015.0,1051.8,1015.0,1051.8
2000-03-24,1100.0,1124.8,992.5,1087.95
2000-03-27,1055.0,1070.0,1000.95,1000.95
2000-03-28,960.0,1001.0,945.0,986.55
2000-03-29,970.0,984.0,925.0,944.35
2000-03-30,940.0,975.0,901.0,936.0
2000-03-31,950.0,986.0,905.0,970.4
2000-04-03,999.0,1019.0,963.0,999.05
2000-04-04,981.0,1000.0,920.0,947.5
2000-04-05,990.0,990.0,949.0,952.15
2000-04-06,941.0,969.0,900.0,932.35
2000-04-07,940.0,1006.95,940.0,1006.95
2000-04-10,1000.0,1087.55,980.0,1043.9
2000-04-11,1026.0,1026.0,983.6,1000.9
2000-04-12,1000.0,1000.0,960.0,962.9
