Date,Open,High,Low,Close
2000-01-03,2300.0,2307.55,2300.0,2307.55
2000-01-04,2381.0,2381.0,2250.0,2281.05
2000-01-05,2200.0,2250.0,2105.0,2199.9
2000-01-06,2224.9,2360.0,2210.0,2288.2
2000-01-07,2300.0,2452.0,2282.25,2412.95
2000-01-10,2445.0,2499.0,2410.0,2431.25
2000-01-11,2450.0,2529.0,2390.0,2485.8
2000-01-12,2500.0,2684.7,2490.0,2647.8
2000-01-13,2699.0,2859.65,2650.0,2786.65
2000-01-14,2750.0,2777.0,2650.0,2702.1
2000-01-17,2748.9,2750.0,2545.1,2598.25
2000-01-18,2597.0,2608.0,2546.0,2561.45
2000-01-19,2575.0,2600.0,2501.0,2528.95
2000-01-20,2525.0,2535.0,2515.0,2524.4
2000-01-21,2540.0,2595.0,2536.6,2548.1
2000-01-24,2550.0,2649.0,2541.0,2578.5
2000-01-25,2597.7,2597.7,2546.0,2552.05
2000-01-27,2620.0,2680.0,2539.0,2559.65
2000-01-28,2525.0,2564.8,2490.0,2523.75
2000-01-31,2445.0,2494.0,2401.0,2440.0
2000-02-01,2415.0,2415.0,2285.0,2326.7
2000-02-02,2400.0,2499.0,2375.0,2406.95
2000-02-03,2428.0,2451.0,2359.0,2437.9
2000-02-04,2439.8,2439.8,2325.0,2346.75
2000-02-07,2345.0,2355.0,2275.0,2308.95
2000-02-08,2300.0,2334.5,2300.0,2306.95
2000-02-09,2440.0,2480.0,2365.0,2418.1
2000-02-10,2381.25,2445.0,2320.0,2331.1
2000-02-11,2395.0,2449.9,2307.0,2376.5
2000-02-14,2370.0,2415.0,2297.0,2300.3
2000-02-15,2310.0,2359.85,2280.0,2302.0
2000-02-16,2400.0,2410.0,2300.0,2311.05
2000-02-17,2347.0,2347.0,2310.0,2327.05
2000-02-18,2327.9,2513.25,2315.0,2513.0
2000-02-21,2664.0,2714.05,2601.0,2714.05
2000-02-22,2920.0,2931.2,2920.0,2931.2
2000-02-23,3165.7,3165.7,2765.0,2875.9
2000-02-24,2998.0,3106.0,2925.0,3086.75
2000-02-25,3110.1,3234.0,3050.0,3141.25
2000-02-28,3130.0,3145.0,3000.0,3055.55
2000-02-29,3100.0,3100.0,2814.05,2864.2
2000-03-01,2849.0,3064.0,2675.05,2990.7
2000-03-02,3040.0,3053.0,2780.0,2817.8
2000-03-03,2735.4,2735.4,2592.4,2593.6
2000-03-06,2504.0,2670.0,2412.0,2473.2
2000-03-07,2470.0,2599.85,2380.0,2482.5
2000-03-08,2626.0,2650.0,2442.0,2492.3
2000-03-09,2505.0,2540.0,2301.0,2402.1
2000-03-10,2400.0,2500.0,2326.0,2362.7
2000-03-13,2410.1,2549.25,2401.0,2519.2
2000-03-14,2540.0,2720.0,2510.0,2668.15
2000-03-15,2700.0,2881.6,2650.0,2881.6
2000-03-16,2900.1,3040.0,2850.0,2916.25
2000-03-21,2950.0,2980.0,2790.0,2828.6
2000-03-22,2817.0,2844.0,2602.35,2714.0
2000-03-23,2700.0,2700.0,2602.0,2640.75
