Date,Open,High,Low,Close
2000-01-03,74.35,74.75,71.4,74.75
2000-01-04,73.05,78.5,71.0,73.05
2000-01-05,70.0,73.5,67.5,69.5
2000-01-06,71.0,74.0,69.55,70.05
2000-01-07,69.0,72.5,66.0,67.4
2000-01-10,67.0,71.0,67.0,69.9
2000-01-11,69.15,70.45,66.1,69.35
2000-01-12,69.0,74.9,69.0,74.9
2000-01-13,80.0,80.9,78.0,79.35
2000-01-14,78.0,80.8,75.0,79.0
2000-01-17,81.8,85.35,81.8,85.35
2000-01-18,88.1,88.1,82.0,84.8
2000-01-19,88.7,91.6,87.0,91.6
2000-01-20,98.9,98.95,95.0,96.35
2000-01-21,103.75,103.75,90.65,99.35
2000-01-24,101.0,107.3,101.0,107.3
2000-01-25,112.0,115.9,105.9,115.9
2000-01-27,125.2,125.2,125.15,125.2
2000-01-28,130.0,135.25,125.2,135.25
2000-01-31,145.0,146.1,142.8,146.1
2000-02-01,157.8,157.8,154.1,157.8
2000-02-02,170.4,170.45,170.4,170.45
2000-02-03,180.9,184.1,156.85,156.85
2000-02-04,160.0,160.0,144.3,144.4
2000-02-07,153.5,155.95,141.0,155.6
2000-02-08,160.0,162.0,145.0,151.55
2000-02-09,163.0,163.0,147.0,156.55
2000-02-10,160.0,169.1,160.0,169.1
2000-02-11,178.85,178.85,158.9,160.3
2000-02-14,161.7,173.0,161.7,171.7
2000-02-15,171.9,178.0,162.0,164.2
2000-02-16,173.7,177.35,168.0,177.05
2000-02-17,179.95,187.45,175.0,179.75
2000-02-18,179.0,180.0,172.2,174.35
2000-02-21,177.0,177.0,168.25,170.2
2000-02-22,171.0,172.0,157.55,158.9
2000-02-23,163.0,169.8,156.0,156.9
2000-02-24,163.0,163.0,144.5,148.8
2000-02-25,154.0,160.7,147.5,160.3
2000-02-28,167.0,173.15,155.0,173.15
2000-02-29,186.2,187.0,165.65,171.3
2000-03-01,170.0,185.0,170.0,185.0
2000-03-02,199.8,199.8,199.8,199.8
2000-03-03,215.8,215.8,215.8,215.8
2000-03-06,233.1,233.1,199.8,233.1
2000-03-07,245.0,250.0,214.45,238.15
2000-03-08,249.5,249.5,219.1,219.35
2000-03-09,213.0,221.05,201.8,201.8
2000-03-10,199.9,217.95,185.7,211.65
2000-03-13,216.0,218.8,194.75,201.1
2000-03-14,200.0,205.0,186.0,201.2
2000-03-15,203.1,212.9,198.0,210.35
2000-03-16,215.0,217.0,202.0,203.95
2000-03-21,202.0,208.9,187.85,191.75
2000-03-22,197.0,207.0,195.0,200.35
2000-03-23,207.0,216.4,207.0,216.4
2000-03-24,228.0,233.75,216.25,233.75
2000-03-27,238.0,251.5,233.0,237.65
2000-03-28,242.0,242.2,218.65,221.95
2000-03-29,239.75,239.75,239.75,239.75
2000-03-30,258.95,258.95,258.95,258.95
2000-03-31,239.75,275.0,239.0,267.05
2000-04-03,272.75,279.65,245.7,247.45
2000-04-04,245.75,245.75,227.65,229.25
2000-04-05,227.65,227.65,210.95,210.95
2000-04-06,212.0,219.95,194.1,202.85
2000-04-07,215.95,219.1,215.95,219.1
2000-04-10,224.0,236.65,224.0,236.65
2000-04-11,220.0,249.45,217.75,242.8
2000-04-12,259.0,259.0,232.1,236.95
2000-04-13,232.0,232.0,218.0,224.5
2000-04-17,206.55,225.0,206.55,209.25
2000-04-18,219.9,225.0,210.0,219.9
2000-04-19,235.0,235.0,211.05,217.55
2000-04-20,220.0,220.0,206.0,215.45
2000-04-24,218.9,220.0,204.0,206.15
2000-04-25,197.0,206.0,189.7,202.7
2000-04-26,216.0,218.95,208.0,218.95
2000-04-27,224.0,234.0,220.2,229.2
2000-04-28,225.0,238.35,225.0,235.5
2000-05-02,235.0,240.0,217.1,220.25
2000-05-03,218.0,225.0,204.0,223.0
2000-05-04,228.0,228.0,207.0,211.45
2000-05-05,219.0,219.45,211.05,215.8
2000-05-08,214.0,215.0,207.0,210.1
2000-05-09,209.0,220.0,205.2,219.0
2000-05-10,219.0,219.0,213.0,215.25
2000-05-11,213.1,213.1,198.1,204.25
2000-05-12,207.25,211.75,202.5,208.25
2000-05-15,201.1,210.0,194.5,209.25
2000-05-16,212.95,212.95,204.4,207.95
2000-05-17,211.0,219.0,208.0,209.7
2000-05-18,209.05,212.0,206.3,210.05
2000-05-19,208.05,212.0,207.2,210.1
2000-05-22,209.1,211.9,204.0,205.6
2000-05-23,205.0,212.0,200.05,208.95
2000-05-24,203.0,210.5,203.0,206.65
2000-05-25,208.9,211.6,206.25,207.7
2000-05-26,205.35,209.9,203.0,207.65
2000-05-29,209.0,212.0,205.1,209.75
2000-05-30,209.4,212.0,207.25,210.45
2000-05-31,219.0,224.6,209.0,211.4
2000-06-01,210.5,211.9,208.0,208.5
2000-06-02,209.9,211.0,200.05,207.0
2000-06-05,211.8,231.85,211.8,231.65
2000-06-06,233.0,234.0,222.0,230.1
2000-06-07,231.0,234.25,216.0,217.0
2000-06-08,216.0,217.85,205.0,212.95
2000-06-09,214.5,215.4,208.2,214.15
2000-06-12,213.0,216.25,206.1,210.6
2000-06-13,206.0,211.0,204.0,210.2
2000-06-14,208.0,216.9,208.0,209.45
2000-06-15,207.55,213.4,207.0,209.3
2000-06-16,211.0,211.95,208.5,209.55
2000-06-19,208.5,210.4,207.0,207.55
2000-06-20,209.75,224.0,207.3,213.85
2000-06-21,216.5,217.9,210.4,212.9
2000-06-22,212.0,217.5,211.0,215.0
2000-06-23,216.35,218.75,213.0,214.7
2000-06-26,213.0,213.15,209.75,210.6
2000-06-27,212.0,213.0,208.5,211.85
2000-06-28,213.0,213.0,209.25,211.1
2000-06-29,213.5,213.5,210.0,212.8
2000-06-30,209.5,213.95,209.5,211.5
2000-07-03,210.2,234.0,210.1,222.6
2000-07-04,226.0,229.9,221.0,225.75
2000-07-05,229.6,232.0,223.1,225.2
2000-07-06,223.25,225.95,221.0,224.3
2000-07-07,225.0,225.0,212.15,214.65
2000-07-10,217.0,217.0,210.0,211.3
2000-07-11,212.5,213.0,203.25,206.9
2000-07-12,210.8,211.0,208.0,208.6
2000-07-13,210.9,214.5,206.0,207.25
2000-07-14,205.25,208.45,198.0,207.45
2000-07-17,207.9,209.35,203.8,208.0
2000-07-18,205.5,210.95,202.6,209.5
2000-07-19,208.0,212.95,205.4,206.65
2000-07-20,205.5,206.0,191.0,197.8
2000-07-21,195.0,205.0,192.1,201.95
2000-07-24,196.05,202.0,193.15,200.2
2000-07-25,198.5,203.0,194.05,200.15
2000-07-26,201.0,204.5,199.05,200.15
2000-07-27,198.1,201.0,197.0,200.65
2000-07-28,200.5,202.0,200.0,201.05
2000-07-31,199.9,202.0,196.25,199.45
2000-08-01,200.4,200.9,199.35,199.85
2000-08-02,200.9,200.9,197.0,199.35
2000-08-03,200.0,207.4,195.2,206.25
2000-08-04,206.0,206.5,203.15,205.9
2000-08-07,205.0,209.8,190.0,206.75
2000-08-08,206.5,216.7,204.15,210.25
2000-08-09,211.1,213.0,207.1,208.7
2000-08-10,209.0,210.95,206.1,206.45
2000-08-11,208.0,208.0,201.25,203.1
2000-08-14,203.0,206.0,201.25,202.25
2000-08-16,202.5,210.0,202.1,209.3
2000-08-17,210.2,211.5,207.0,207.6
2000-08-18,206.0,208.6,204.0,207.2
2000-08-21,205.0,207.45,199.0,200.25
2000-08-22,203.0,203.0,196.0,199.9
2000-08-23,200.0,202.8,199.0,200.0
2000-08-24,200.0,201.8,196.2,197.7
2000-08-25,197.0,198.0,191.1,194.85
2000-08-28,196.0,200.0,191.5,199.1
2000-08-29,195.25,197.0,193.0,193.8
2000-08-30,196.7,200.0,193.85,197.25
2000-08-31,197.0,198.4,194.5,194.9
2000-09-04,195.55,198.85,195.0,196.5
2000-09-05,195.55,207.0,195.55,203.25
2000-09-06,204.9,208.9,198.05,198.7
2000-09-07,198.0,199.0,193.1,196.8
2000-09-08,199.0,199.0,194.0,194.8
2000-09-11,195.75,197.8,188.0,193.05
2000-09-12,181.1,193.0,181.1,187.7
2000-09-13,185.9,186.0,172.7,175.8
