Date,Open,High,Low,Close
2000-01-03,28.9,28.95,28.0,28.95
2000-01-04,30.85,31.25,27.9,30.25
2000-01-05,29.9,30.0,27.85,28.15
2000-01-06,29.25,29.35,27.95,28.0
2000-01-07,27.2,28.0,26.5,27.05
2000-01-10,28.0,28.05,27.15,27.5
2000-01-11,28.0,28.0,26.0,26.35
2000-01-12,27.4,27.4,26.65,27.1
2000-01-13,27.0,27.5,26.55,26.7
2000-01-14,26.5,26.7,25.65,25.95
2000-01-17,27.95,28.05,27.95,28.05
2000-01-18,30.25,30.3,27.3,27.8
2000-01-19,28.5,30.0,27.65,29.7
2000-01-20,29.9,31.4,29.15,30.6
2000-01-21,30.9,30.9,29.25,30.3
2000-01-24,28.6,32.0,28.6,29.1
2000-01-25,29.0,29.6,28.1,29.1
2000-01-27,30.5,31.45,30.0,31.45
2000-01-28,34.0,34.0,34.0,34.0
2000-01-31,36.5,36.75,36.5,36.75
2000-02-01,39.65,39.7,35.5,39.7
2000-02-02,42.9,42.9,42.9,42.9
2000-02-03,45.7,46.35,40.45,41.25
2000-02-04,42.0,42.0,37.95,38.7
2000-02-07,38.9,41.25,36.35,40.45
2000-02-08,39.0,40.0,37.25,37.25
2000-02-09,35.0,37.0,34.3,34.3
2000-02-10,32.0,36.35,32.0,35.7
2000-02-11,36.9,38.6,33.8,36.75
2000-02-14,37.0,39.7,36.0,39.45
2000-02-15,39.0,39.5,36.5,36.95
2000-02-16,36.8,39.7,36.8,39.1
2000-02-17,39.2,40.5,37.8,38.85
2000-02-18,39.2,39.2,37.1,37.55
2000-02-21,38.85,38.85,36.1,36.6
2000-02-22,36.6,36.8,33.7,34.05
2000-02-23,35.3,36.5,34.5,35.05
2000-02-24,35.3,36.0,33.8,34.65
2000-02-25,35.3,37.0,32.55,33.4
2000-02-28,32.15,35.0,32.15,34.2
2000-02-29,34.7,36.5,32.1,32.75
2000-03-01,31.8,35.4,31.8,35.0
2000-03-02,35.95,36.9,34.0,34.4
2000-03-03,34.0,37.0,32.55,32.95
2000-03-06,33.95,33.95,32.05,32.25
2000-03-07,32.05,32.5,29.85,30.75
2000-03-08,31.0,31.45,28.55,29.55
2000-03-09,28.55,30.0,27.25,29.55
2000-03-10,30.5,31.95,29.0,31.95
2000-03-13,32.5,34.55,31.55,34.45
2000-03-14,35.05,35.5,31.7,31.85
2000-03-15,32.55,33.3,30.5,31.55
2000-03-16,31.0,31.0,29.25,29.65
2000-03-21,30.4,30.4,27.3,27.75
2001-07-02,11.05,13.0,11.05,12.7
2001-07-03,12.75,13.2,12.7,13.1
2001-07-04,12.8,13.15,12.8,13.05
2001-07-05,12.85,13.1,12.85,13.05
2001-07-06,13.15,13.15,12.9,13.15
2001-07-09,12.8,12.8,12.3,12.8
2001-07-10,12.65,13.0,12.65,12.8
2001-07-11,12.85,12.9,12.75,12.9
2001-07-12,12.6,13.0,12.6,12.9
2001-07-13,12.8,13.0,12.7,12.8
2001-07-16,12.9,13.0,12.9,12.9
2001-07-17,12.85,13.15,12.85,12.95
2001-07-18,13.0,13.15,12.95,13.05
2001-07-19,13.0,13.1,12.9,12.95
2001-07-20,13.0,13.1,12.85,12.85
2001-07-23,13.25,13.25,13.25,13.25
2001-07-24,12.8,13.1,12.5,12.8
2001-07-25,12.6,12.85,12.6,12.75
2001-07-26,13.0,13.0,12.65,12.75
2001-07-27,12.6,12.95,12.6,12.9
2001-07-30,12.9,13.0,12.5,12.95
2001-07-31,13.0,13.25,12.85,13.1
2001-08-01,13.1,13.75,12.85,13.6
2001-08-02,13.6,13.6,13.0,13.2
2001-08-03,12.3,12.3,11.75,11.95
2001-08-06,12.15,12.15,11.8,11.95
2001-08-07,11.9,11.95,11.7,11.8
2001-08-08,11.85,11.9,11.8,11.85
2001-08-09,11.85,12.0,11.8,11.9
2001-08-10,12.0,12.0,11.8,11.85
2001-08-13,12.0,12.95,11.85,11.95
2001-08-14,11.9,11.9,11.75,11.8
2001-08-16,11.85,11.95,11.65,11.7
2001-08-17,11.75,11.9,11.7,11.8
2001-08-20,11.65,11.65,11.3,11.4
2001-08-21,11.5,11.65,11.3,11.35
2001-08-23,11.35,11.5,11.2,11.25
2001-08-24,11.5,11.5,11.15,11.2
2001-08-27,11.25,11.25,11.05,11.15
2001-08-28,11.25,11.3,11.1,11.1
2001-08-29,11.1,11.2,10.75,10.9
2001-08-30,11.3,11.3,10.9,11.0
2001-08-31,11.05,11.2,11.0,11.1
2001-09-03,11.05,11.25,11.05,11.15
2001-09-04,11.1,11.3,10.9,11.1
2001-09-05,11.1,11.6,11.1,11.5
2001-09-06,12.75,12.75,11.25,11.55
2001-09-07,11.3,11.6,11.25,11.45
2001-09-10,11.5,12.0,11.4,11.5
2001-09-11,11.6,12.0,11.25,11.5
2001-09-12,11.25,11.25,10.75,11.1
2001-09-13,11.0,11.25,10.85,10.9
2001-09-14,11.0,11.0,10.0,10.35
2001-09-17,10.3,10.3,8.95,9.15
2001-09-18,8.5,10.0,8.5,9.75
2001-09-19,10.0,10.35,10.0,10.25
2001-09-20,10.95,10.95,9.75,10.0
2001-09-21,10.15,10.15,9.8,10.05
2001-09-24,10.05,10.1,9.6,9.65
2001-09-25,9.8,9.9,9.65,9.65
2001-09-26,9.6,9.8,9.55,9.75
2001-09-27,10.0,10.1,9.75,9.95
2001-09-28,9.9,10.0,9.65,9.85
2001-10-01,9.95,10.9,9.75,10.0
2001-10-03,9.95,10.2,9.5,9.75
2001-10-04,9.85,9.9,9.6,9.65
2001-10-05,9.75,9.8,9.55,9.65
2001-10-08,9.8,9.8,9.15,9.5
2001-10-09,9.75,9.95,9.55,9.65
2001-10-10,9.9,9.9,9.1,9.4
2001-10-11,9.5,9.75,9.3,9.6
2001-10-12,9.65,9.85,9.6,9.65
2001-10-15,9.75,9.8,9.65,9.8
2001-10-16,9.75,9.85,9.7,9.8
2001-10-17,9.85,10.0,9.75,9.85
2001-10-18,9.85,10.0,9.8,9.95
2001-10-19,9.85,10.4,9.85,10.15
2001-10-22,10.7,11.1,10.25,10.65
2001-10-23,10.35,10.85,10.3,10.8
2001-10-24,10.15,10.95,10.15,10.9
2001-10-25,10.55,11.0,10.55,10.8
2001-10-29,11.0,11.45,10.55,11.0
2001-10-30,10.6,11.1,10.6,10.95
2001-10-31,10.7,10.9,10.65,10.65
2001-11-01,10.8,10.8,10.75,10.8
2001-11-02,10.65,11.3,10.6,11.1
2001-11-05,11.25,11.3,10.95,11.0
2001-11-06,11.0,11.2,11.0,11.2
2001-11-07,11.3,11.75,11.05,11.25
2001-11-08,11.5,11.5,11.15,11.45
2001-11-09,11.5,11.55,11.2,11.3
2001-11-12,10.75,11.8,10.75,11.5
2001-11-13,12.5,12.5,11.15,11.5
2001-11-14,11.7,11.9,11.3,11.7
2001-11-15,11.7,11.8,11.5,11.6
2001-11-19,11.8,12.2,11.6,12.0
2001-11-20,12.15,12.45,11.7,12.05
2001-11-21,13.0,13.0,12.0,12.4
2001-11-22,12.45,12.75,12.4,12.65
2001-11-23,12.8,12.95,12.45,12.6
2001-11-26,12.5,13.1,12.5,12.85
2001-11-27,13.0,13.15,12.3,12.5
2001-11-28,12.45,12.75,12.1,12.25
2001-11-29,13.5,13.5,11.75,12.05
2001-12-03,12.6,12.6,12.05,12.3
2001-12-04,12.1,12.25,11.75,12.0
2001-12-05,12.7,12.85,12.3,12.35
2001-12-06,12.5,12.65,12.0,12.05
2001-12-07,11.6,12.0,11.6,11.85
2001-12-10,11.8,12.25,11.6,12.15
2001-12-11,12.1,12.1,11.7,11.8
2001-12-12,12.0,12.0,11.35,11.8
2001-12-13,11.7,11.95,11.5,11.55
2001-12-14,11.5,11.8,11.4,11.5
2001-12-18,11.4,11.7,11.2,11.2
2001-12-19,11.25,11.35,10.95,11.0
2001-12-20,10.8,11.35,10.65,10.8
2001-12-21,10.8,11.0,10.1,10.2
2001-12-24,10.0,10.15,9.8,10.05
2001-12-26,10.1,10.25,10.0,10.1
2001-12-27,10.05,10.3,10.05,10.15
2001-12-28,10.15,10.4,10.1,10.2
2001-12-31,10.8,10.8,10.3,10.65
2002-01-01,11.15,11.2,10.5,10.6
2002-01-02,10.55,10.7,10.3,10.7
2002-01-03,10.6,10.75,10.5,10.6
2002-01-04,10.55,10.7,10.35,10.4
2002-01-07,10.9,10.9,10.4,10.5
2002-01-08,10.3,10.55,10.3,10.55
2002-01-09,10.85,10.9,10.45,10.5
2002-01-10,10.45,10.6,10.25,10.3
2002-01-11,10.4,10.45,10.2,10.2
2002-01-14,10.3,10.4,10.15,10.35
2002-01-15,10.35,10.35,10.15,10.25
2002-01-16,10.5,10.5,10.15,10.2
2002-01-17,10.3,10.45,10.15,10.2
2002-01-18,10.2,10.45,10.0,10.4
2002-01-21,10.3,10.5,10.25,10.4
2002-01-22,10.5,10.7,10.25,10.35
2002-01-23,10.5,10.7,10.4,10.65
2002-01-24,10.75,10.9,10.45,10.6
2002-01-25,10.4,10.5,10.25,10.45
2002-01-28,10.4,10.6,10.35,10.4
2002-01-29,10.55,10.55,10.35,10.45
2002-01-30,10.5,10.5,10.3,10.35
2002-01-31,10.5,10.5,10.3,10.45
2002-02-01,10.7,10.7,10.45,10.6
2002-02-04,10.65,11.2,10.6,11.05
2002-02-05,11.05,11.65,11.05,11.25
2002-02-06,11.3,12.6,11.15,12.4
2002-02-07,12.8,12.9,12.1,12.25
2002-02-08,12.5,12.7,12.15,12.35
2002-02-11,13.0,13.35,12.5,13.0
2002-02-12,13.05,13.35,12.5,12.6
2002-02-13,12.8,12.85,12.5,12.65
2002-02-14,12.9,12.95,12.6,12.9
2002-02-15,12.95,14.5,12.85,14.2
2002-02-18,14.6,17.0,14.6,16.4
2002-02-19,17.5,17.5,15.05,15.15
2002-02-20,14.6,15.1,14.25,14.55
2002-02-21,15.2,15.2,14.55,14.75
2002-02-22,14.6,16.85,14.5,15.9
2002-02-25,16.25,16.9,15.55,16.35
2002-02-26,15.85,17.35,15.8,16.85
2002-02-27,17.0,17.1,16.0,16.3
2002-02-28,16.15,17.35,14.05,14.25
2002-03-01,14.05,15.4,14.05,15.1
2002-03-04,15.9,15.9,14.8,15.05
2002-03-05,14.5,15.2,14.5,14.85
2002-03-06,15.25,17.0,15.0,16.7
2002-03-07,17.0,17.95,16.8,17.05
2002-03-08,17.1,17.25,16.0,16.1
2002-03-11,16.5,17.2,15.75,15.95
2002-03-12,15.55,15.9,15.3,15.4
2002-03-13,15.8,15.85,15.3,15.5
2002-03-14,15.9,16.15,15.3,15.4
2002-03-15,15.7,17.0,15.7,16.7
2002-03-18,17.2,17.2,16.3,16.5
2002-03-19,17.0,17.0,16.35,16.85
2002-03-20,16.9,16.9,16.3,16.45
2002-03-21,16.9,16.95,16.3,16.45
2002-03-22,16.3,16.7,16.1,16.4
2002-03-26,16.0,17.25,15.55,16.75
2002-03-27,18.0,18.0,16.95,17.3
2002-03-28,17.75,17.8,16.45,16.7
2002-04-01,17.0,17.0,16.35,16.75
2002-04-02,16.75,16.9,16.3,16.45
2002-04-03,16.45,16.55,15.4,15.5
2002-04-04,15.8,15.9,15.4,15.55
2002-04-05,15.9,15.9,15.3,15.5
2002-04-08,15.35,15.9,15.35,15.6
2002-04-09,16.0,16.0,15.45,15.5
2002-04-10,15.5,15.65,15.2,15.4
2002-04-11,15.7,15.9,15.4,15.7
2002-04-12,15.7,16.25,15.65,15.95
2002-04-15,15.65,16.55,15.65,16.0
2002-04-16,15.8,16.2,15.8,16.0
2002-04-17,16.25,16.7,15.9,16.35
2002-04-18,16.5,16.5,16.0,16.4
2002-04-19,16.7,16.7,15.9,16.1
2002-04-22,15.8,16.65,15.75,16.4
2002-04-23,16.3,16.5,16.0,16.25
2002-04-24,16.05,16.5,16.0,16.2
2002-04-25,16.1,16.4,15.95,16.05
2002-04-26,16.1,16.1,15.8,15.85
2002-04-29,16.5,16.5,15.8,15.95
2002-04-30,16.0,16.2,15.5,16.05
2002-05-02,16.25,16.6,15.9,16.0
2002-05-03,15.9,17.45,15.75,17.15
2002-05-06,17.6,18.25,16.8,17.25
2002-05-07,17.5,17.9,17.1,17.65
2002-05-08,18.5,18.5,17.5,17.55
2002-05-09,17.85,17.95,17.05,17.2
2002-05-10,17.1,17.3,16.55,16.65
2002-05-13,17.1,17.2,16.55,16.6
2002-05-14,16.4,16.85,16.4,16.5
2002-05-15,16.5,16.8,16.15,16.2
2002-05-16,16.1,16.45,15.65,15.75
2002-05-17,15.7,16.0,15.4,15.55
2002-05-20,15.5,15.5,13.55,13.7
2002-05-21,13.6,13.8,12.8,12.95
2002-05-22,12.6,13.6,12.6,13.4
2002-05-23,13.5,14.2,13.5,14.0
2002-05-24,14.3,14.9,14.05,14.8
2002-05-27,14.95,15.0,14.25,14.95
2002-05-28,14.85,14.85,14.1,14.15
2002-05-29,14.75,14.75,14.25,14.5
