Date,Open,High,Low,Close
2000-01-03,15625.0,15625.2,15625.0,15625.2
2000-01-04,16800.0,16875.25,16253.0,16855.9
2000-01-05,15701.0,16250.0,15507.45,15507.45
2000-01-06,15256.65,15300.0,14266.85,14266.85
2000-01-07,13125.5,13125.5,13125.5,13125.5
2000-01-10,13125.5,14175.5,12075.5,13757.3
2000-01-11,13200.0,13800.0,12656.75,12656.75
2000-01-12,11950.0,13349.0,11766.0,13077.55
2000-01-13,13100.0,13149.0,12031.35,12090.6
2000-01-14,12249.0,12297.0,11203.0,12176.4
2000-01-17,12200.0,12885.0,11720.0,11870.9
2000-01-18,11739.7,12169.0,11325.0,11935.65
2000-01-19,12546.0,12890.5,12420.0,12889.85
2000-01-20,13200.0,13551.0,12611.0,12747.05
2000-01-21,12900.0,13590.0,12503.0,13420.2
2000-01-24,13600.0,14489.0,13600.0,13878.8
2000-01-25,13800.0,14250.0,13400.05,14109.4
2000-01-27,7570.0,7600.0,7293.0,7390.75
2000-01-28,7426.0,7699.0,7426.0,7611.55
2000-01-31,7535.5,7544.0,7127.0,7221.7
2000-02-01,7250.0,7450.0,7150.0,7417.4
2000-02-02,7590.0,7700.0,7349.5,7365.8
2000-02-03,7416.0,7510.0,7370.0,7440.8
2000-02-04,7475.0,7950.0,7475.0,7896.95
2000-02-07,7899.0,8528.75,7899.0,8496.2
2000-02-08,8495.0,9150.0,8495.0,8898.2
2000-02-09,9399.0,9399.0,8600.0,8709.75
2000-02-10,8799.0,9275.0,8799.0,9209.0
2000-02-11,9269.0,9945.75,9269.0,9945.75
2000-02-14,10741.45,10741.45,10741.45,10741.45
2000-02-15,10741.45,10741.45,9882.15,9961.75
2000-02-16,10050.0,10300.0,9635.0,10037.85
2000-02-17,10000.0,10800.0,10000.0,10298.3
2000-02-18,10419.0,10500.0,9775.0,9864.6
2000-02-21,9850.0,10500.0,9701.0,10254.75
2000-02-22,10339.0,10339.0,9750.0,9830.1
2000-02-23,10500.0,10500.0,9043.7,9214.95
2000-02-24,9390.0,9649.0,8988.0,9297.0
2000-02-25,9400.0,9489.85,8850.0,8987.2
2000-02-28,8900.0,8900.0,8268.25,8509.7
2000-02-29,8600.0,9190.5,8350.0,8779.4
2000-03-01,9099.0,9481.75,9000.0,9481.75
2000-03-02,10134.75,10240.3,9932.1,10240.3
2000-03-03,11059.55,11059.55,11059.55,11059.55
2000-03-06,11939.65,11944.35,10560.0,11944.35
2000-03-07,12800.0,12899.9,12800.0,12899.9
2000-03-08,13450.0,13931.9,11985.0,12315.05
2000-03-09,12690.0,13000.0,11630.0,11858.55
2000-03-10,12099.0,12745.0,11426.55,11664.8
2000-03-13,11700.0,12199.0,10731.65,10731.65
2000-03-14,10210.0,10210.0,9873.15,9873.15
2000-03-15,9131.0,10250.0,9083.3,9966.95
2000-03-16,9600.0,9600.0,9169.6,9169.6
2000-03-21,9195.0,9903.2,8511.0,9903.2
2000-03-22,9700.0,10695.5,9500.0,10694.3
2000-03-23,10960.0,11540.0,10150.0,10264.05
2000-03-24,10110.0,11080.0,10110.0,10823.45
2000-03-27,10500.0,10999.0,10300.0,10367.35
2000-03-28,10101.0,10200.0,9661.15,9947.6
2000-03-29,10200.0,10680.0,10151.0,10188.9
2000-03-30,9900.0,9900.0,9380.0,9745.7
2000-03-31,9600.0,9600.0,8966.05,8970.15
2000-04-03,8501.0,9000.0,8252.55,8252.55
2000-04-04,7592.35,7592.35,7592.35,7592.35
2000-04-05,7051.0,8199.0,7051.0,7797.65
2000-04-06,7852.0,8421.5,7301.0,8415.3
2000-04-07,9088.55,9088.55,9088.55,9088.55
2000-04-10,9815.65,9815.65,9815.65,9815.65
2000-04-11,9815.65,10600.9,9051.0,10599.2
2000-04-12,10390.0,10573.0,9990.0,10077.0
2000-04-13,9900.05,9900.05,9270.85,9270.85
2000-04-17,8529.2,8529.2,8529.2,8529.2
2000-04-18,8529.2,8799.0,7846.9,7846.9
2000-04-19,8474.0,8474.0,7219.15,7250.05
2000-04-20,6802.0,7818.0,6671.0,7603.55
2000-04-24,7798.0,7899.0,7210.0,7371.4
2000-04-25,7216.0,7394.0,6781.7,7172.35
2000-04-26,7742.85,7742.9,7651.0,7742.9
2000-04-27,7990.0,8174.0,7742.9,7988.25
2000-04-28,8100.0,8488.0,7955.0,8121.65
2000-05-02,8250.0,8470.0,7745.0,7883.3
2000-05-03,7350.0,7899.0,6937.3,7648.9
