Date,Open,High,Low,Close
2000-01-03,260.0,273.25,250.0,270.85
2000-01-04,260.0,268.0,254.1,264.4
2000-01-05,264.9,265.0,257.0,261.3
2000-01-06,258.0,263.0,256.05,260.1
2000-01-07,259.9,267.0,253.25,264.45
2000-01-10,252.1,259.5,250.6,251.35
2000-01-11,250.0,256.0,235.05,239.75
2000-01-12,258.95,258.95,258.95,258.95
2000-01-13,279.7,279.7,268.0,272.5
2000-01-14,277.0,281.9,260.0,277.05
2000-01-17,284.0,289.95,260.0,265.65
2000-01-18,262.0,264.5,258.0,259.5
2000-01-19,265.05,270.0,249.0,249.85
2000-01-20,257.0,263.0,253.25,255.8
2000-01-21,255.0,260.0,255.0,257.05
2000-01-24,258.0,259.0,252.05,254.15
2000-01-25,250.5,255.0,242.0,244.05
2000-01-27,250.0,263.6,248.05,250.05
2000-01-28,255.0,255.0,246.0,249.05
2000-01-31,255.0,255.0,241.25,247.2
2000-02-01,249.25,266.85,246.15,249.35
2000-02-02,269.3,269.3,256.1,262.35
2000-02-03,270.0,270.0,258.0,259.5
2000-02-04,262.5,262.5,254.1,257.8
2000-02-07,245.0,257.0,244.0,253.95
2000-02-08,250.1,253.9,240.0,242.45
2000-02-09,259.0,259.0,245.0,250.55
2000-02-10,250.0,250.0,243.5,246.75
2000-02-11,252.9,252.9,240.0,240.95
2000-02-14,249.0,249.0,225.25,229.0
2000-02-15,228.0,229.0,221.0,227.25
2000-02-16,230.0,240.0,227.0,228.15
2000-02-17,228.0,235.0,227.0,230.55
2000-02-18,220.05,234.0,213.0,219.85
2000-02-21,221.0,222.0,212.3,213.95
2000-02-22,217.5,221.95,205.1,206.4
2000-02-23,218.0,219.15,210.0,213.4
2000-02-24,218.0,224.8,211.0,212.0
2000-02-25,213.4,213.4,207.15,208.95
2000-02-28,206.0,221.75,206.0,220.5
2000-02-29,222.95,235.5,215.0,221.6
2000-03-01,220.0,223.0,218.0,221.9
2000-03-02,225.0,229.9,204.15,204.15
2000-03-03,200.0,205.0,187.85,189.95
2000-03-06,194.0,194.0,174.8,178.45
2000-03-07,178.0,178.0,166.0,172.85
2000-03-08,173.0,174.5,165.0,168.3
2000-03-09,165.0,179.9,163.25,173.9
2000-03-10,171.0,175.0,169.0,171.65
2000-03-13,170.0,172.0,162.1,166.2
2000-03-14,170.0,170.0,155.0,166.85
2000-03-15,161.1,180.2,161.1,174.95
2000-03-16,176.8,176.8,165.0,169.3
2000-03-21,169.0,169.0,163.25,166.7
2000-03-22,173.0,180.05,168.5,180.05
2000-03-23,189.0,194.45,185.0,193.7
2000-03-24,196.0,205.0,187.1,203.4
2000-03-27,202.0,202.0,189.0,190.8
2000-03-28,185.0,196.0,183.15,191.95
2000-03-29,197.0,197.0,188.0,191.5
2000-03-30,192.0,194.8,180.0,183.5
2000-03-31,181.1,192.0,181.0,190.65
2000-04-03,193.0,196.0,183.0,192.4
2000-04-04,193.0,193.0,177.1,184.4
2000-04-05,183.5,189.95,179.55,182.2
2000-04-06,184.5,186.0,178.1,185.5
2000-04-07,186.0,194.0,185.0,191.45
2000-04-10,192.0,193.0,184.0,184.95
2000-04-11,176.5,184.0,176.5,180.0
2000-04-12,187.0,187.0,181.0,183.6
2000-04-13,181.0,183.0,180.0,182.4
2000-04-17,179.0,179.0,168.0,171.75
2000-04-18,174.95,175.0,170.2,172.05
2000-04-19,175.0,175.95,170.0,172.55
2000-04-20,170.0,170.5,165.0,169.6
2000-04-24,171.9,171.9,166.0,167.8
2000-04-25,163.05,166.0,154.6,159.55
2000-04-26,165.0,170.95,163.0,170.2
2000-04-27,169.0,170.0,166.0,166.65
2000-04-28,172.0,172.0,159.0,160.55
2000-05-02,160.0,160.0,147.95,148.9
2000-05-03,149.0,153.95,137.0,137.85
2000-05-04,140.0,145.95,137.0,138.65
2000-05-05,143.0,143.0,134.75,135.45
2000-05-08,137.7,143.0,128.0,131.8
2000-05-09,135.0,135.0,125.0,129.25
2000-05-10,135.5,135.5,129.0,133.1
2000-05-11,128.2,133.0,128.1,132.65
2000-05-12,132.0,134.5,130.05,133.6
2000-05-15,133.0,138.9,129.15,136.7
2000-05-16,142.0,146.0,136.1,143.2
2000-05-17,149.5,154.7,145.1,152.55
2000-05-18,149.25,164.75,149.0,155.8
2000-05-19,157.0,162.0,149.3,153.5
2000-05-22,151.9,154.25,150.0,153.05
2000-05-23,152.0,154.95,150.05,153.3
2000-05-24,152.1,152.1,143.0,149.8
2000-05-25,151.0,161.7,149.1,153.4
2000-05-26,153.0,153.5,148.5,151.05
2000-05-29,151.5,154.0,149.1,151.1
2000-05-30,151.0,152.95,148.5,152.4
2000-05-31,154.9,155.8,149.1,150.7
2000-06-01,149.0,152.5,144.0,145.0
2000-06-02,146.05,152.05,146.0,150.45
2000-06-05,154.0,154.0,147.0,149.95
2000-06-06,148.05,150.2,146.05,148.9
2000-06-07,148.0,151.4,146.0,149.25
2000-06-08,148.6,153.9,148.6,152.75
2000-06-09,150.3,155.0,150.1,153.2
2000-06-12,154.0,155.0,150.0,150.85
2000-06-13,151.0,152.5,149.6,151.8
2000-06-14,153.1,154.9,152.8,153.85
2000-06-15,151.5,154.0,151.15,153.45
2000-06-16,152.8,156.0,152.0,155.1
2000-06-19,156.0,156.75,153.15,155.7
2000-06-20,156.0,161.0,154.5,157.05
2000-06-21,156.5,163.0,156.5,159.85
2000-06-22,169.0,169.0,155.0,161.8
2000-06-23,162.0,168.0,160.0,164.55
2000-06-26,165.0,165.0,157.65,160.5
2000-06-27,155.0,163.0,155.0,159.5
2000-06-28,162.5,163.0,158.0,162.2
2000-06-29,162.9,163.0,160.25,162.6
2000-06-30,160.9,165.0,160.1,164.65
2000-07-03,162.75,164.9,162.1,164.05
2000-07-04,163.0,165.0,161.0,164.8
2000-07-05,165.0,166.0,162.0,165.3
2000-07-06,163.0,167.0,162.75,165.65
2000-07-07,164.55,166.8,163.6,166.0
2000-07-10,164.0,167.5,163.5,167.0
2000-07-11,169.0,170.0,165.2,166.35
2000-07-12,168.0,170.0,166.1,169.4
2000-07-13,170.0,172.0,167.55,168.5
2000-07-14,166.5,168.15,164.55,165.0
2000-07-17,160.25,164.95,158.25,162.5
2000-07-18,160.05,162.85,159.0,161.2
2000-07-19,164.0,167.5,163.0,163.6
2000-07-20,164.95,165.0,160.1,163.85
2000-07-21,162.05,165.55,162.05,164.7
2000-07-24,162.5,163.7,155.0,157.65
2000-07-25,152.1,157.8,148.05,156.6
2000-07-26,162.0,162.9,157.35,158.3
2000-07-27,158.0,158.0,154.3,156.2
2000-07-28,155.0,157.5,154.0,156.55
2000-07-31,157.5,157.5,150.3,151.1
2000-08-01,145.0,146.95,139.5,140.0
2000-08-02,140.0,141.75,136.0,137.7
2000-08-03,135.0,141.0,135.0,139.75
2000-08-04,139.85,140.0,137.5,137.6
2000-08-07,138.95,139.0,134.0,136.05
2000-08-08,137.7,138.8,134.05,136.6
2000-08-09,141.9,141.95,139.0,139.35
2000-08-10,141.5,143.0,140.5,142.25
2000-08-11,140.3,142.75,139.5,141.95
2000-08-14,139.5,141.5,137.0,139.7
2000-08-16,138.25,140.0,136.0,137.85
2000-08-17,140.0,148.7,137.0,141.7
2000-08-18,147.55,147.55,139.25,142.7
2000-08-21,142.5,144.5,141.5,142.8
2000-08-22,140.05,145.0,139.45,143.6
2000-08-23,143.35,143.35,141.6,141.9
2000-08-24,142.0,143.5,138.5,141.6
2000-08-25,139.95,142.95,139.95,142.0
2000-08-28,140.25,144.5,140.0,143.0
2000-08-29,144.0,145.0,141.0,143.4
2000-08-30,144.7,149.4,143.3,145.9
2000-08-31,147.95,151.5,145.3,146.85
2000-09-04,151.0,151.0,143.0,145.4
2000-09-05,152.0,157.0,149.0,152.85
2000-09-06,157.8,162.0,151.0,153.35
2000-09-07,154.0,154.0,142.0,143.8
2000-09-08,144.45,144.5,133.25,139.35
2000-09-11,140.0,142.8,137.05,139.9
2000-09-12,141.0,143.5,136.0,140.7
2000-09-13,144.95,148.0,143.0,143.8
2000-09-14,144.25,146.9,142.5,143.0
