Date,Open,High,Low,Close
2000-01-03,694.0,708.5,675.0,708.5
2000-01-04,714.0,729.0,694.3,712.35
2000-01-05,716.25,758.9,660.0,726.2
2000-01-06,741.0,784.3,741.0,784.3
2000-01-07,832.4,847.05,824.0,847.05
2000-01-10,911.15,914.85,875.0,914.85
2000-01-11,902.0,952.0,866.1,883.7
2000-01-12,905.0,924.0,870.3,888.35
2000-01-13,900.0,936.0,871.0,879.75
2000-01-14,879.9,903.7,863.2,887.55
2000-01-17,904.95,904.95,816.55,817.35
2000-01-18,806.0,830.0,796.0,821.35
2000-01-19,830.0,848.0,801.0,826.1
2000-01-20,830.0,830.0,778.7,786.1
2000-01-21,785.0,845.9,785.0,831.55
2000-01-24,836.0,858.0,782.5,792.45
2000-01-25,780.0,780.0,729.05,729.55
2000-01-27,751.0,787.95,680.0,778.85
2000-01-28,767.0,767.0,716.55,719.2
2000-01-31,711.0,728.0,685.0,692.2
2000-02-01,697.0,721.75,691.0,701.55
2000-02-02,720.0,732.7,712.0,714.05
2000-02-03,721.0,726.0,705.0,709.1
2000-02-04,713.0,719.8,691.0,695.5
2000-02-07,708.5,751.15,708.5,747.3
2000-02-08,761.1,798.0,756.0,763.25
2000-02-09,784.4,824.35,772.0,824.35
2000-02-10,890.3,890.3,890.3,890.3
2000-02-11,961.55,961.55,961.55,961.55
2000-02-14,998.4,1037.0,902.0,932.55
2000-02-15,925.0,1007.15,910.0,1006.5
2000-02-16,1029.6,1067.0,975.0,997.2
2000-02-17,999.0,1054.9,992.05,1030.1
2000-02-18,1035.0,1050.0,947.7,956.8
2000-02-21,990.0,1008.0,960.0,979.9
2000-02-22,985.0,998.85,922.6,941.3
2000-02-23,951.0,999.0,866.0,866.05
2000-02-24,866.0,880.0,811.0,842.7
2000-02-25,868.7,868.7,801.0,810.15
2000-02-28,820.0,838.85,786.1,803.5
2000-02-29,810.0,819.0,739.25,746.85
2000-03-01,740.1,784.0,710.0,753.75
2000-03-02,761.0,780.0,714.4,724.6
2000-03-03,736.0,736.0,666.65,675.35
2000-03-06,697.0,729.4,697.0,729.4
2000-03-07,745.0,787.75,732.0,780.6
2000-03-08,820.0,843.05,780.0,807.55
2000-03-09,815.0,847.0,787.1,828.7
2000-03-10,839.95,867.0,810.05,837.4
2000-03-13,867.0,904.4,800.0,829.05
2000-03-14,825.0,878.0,791.0,859.0
2000-03-15,860.0,875.0,826.0,851.7
2000-03-16,859.0,859.0,783.6,785.65
2000-03-21,775.0,787.9,722.8,725.15
2000-03-22,745.0,770.0,736.0,740.45
2000-03-23,746.9,747.8,697.0,704.75
2000-03-24,712.0,733.0,712.0,721.4
2000-03-27,724.9,732.0,710.05,720.5
2000-03-28,722.0,723.9,692.15,701.95
2000-03-29,720.0,750.0,712.0,723.15
2000-03-30,729.9,754.0,711.0,720.15
2000-03-31,711.0,751.85,710.0,741.45
2000-04-03,739.9,800.8,721.05,797.0
2000-04-04,785.0,785.0,733.25,733.25
2000-04-05,680.0,740.0,675.05,698.75
2000-04-06,705.0,711.0,646.1,682.8
2000-04-07,682.0,733.9,682.0,730.95
2000-04-10,735.0,771.8,725.0,736.0
2000-04-11,726.1,728.0,703.0,717.0
2000-04-12,725.0,739.6,715.0,721.85
2000-04-13,701.55,701.55,680.0,685.65
2000-04-17,680.0,680.0,630.8,630.8
2000-04-18,630.8,647.25,580.35,580.7
2000-04-19,619.0,619.0,558.0,582.2
2000-04-20,571.5,584.95,542.65,575.7
2000-04-24,575.0,575.0,529.65,530.95
2000-04-25,500.7,526.0,489.8,513.6
2000-04-26,529.8,554.7,529.8,554.7
2000-04-27,594.0,594.0,554.7,574.95
2000-04-28,575.0,584.9,561.0,569.2
2000-05-02,565.0,574.0,525.0,527.95
2000-05-03,502.0,544.5,495.1,525.7
2000-05-04,530.0,557.0,520.0,549.15
2000-05-05,553.8,573.0,549.0,564.4
2000-05-08,572.0,593.1,519.25,520.35
2000-05-09,506.3,541.0,500.0,529.1
2000-05-10,535.0,555.45,519.0,533.0
2000-05-11,530.0,545.5,515.0,533.25
2000-05-12,539.9,568.4,531.0,559.45
2000-05-15,552.0,590.0,536.0,580.45
2000-05-16,585.2,634.8,585.2,625.8
2000-05-17,635.0,640.0,613.0,618.55
2000-05-18,610.05,625.0,595.0,604.7
2000-05-19,597.05,622.0,595.1,619.05
2000-05-22,615.0,637.8,611.25,628.45
2000-05-23,630.55,650.0,627.25,643.1
2000-05-24,640.0,659.0,602.0,624.95
2000-05-25,614.0,669.0,614.0,654.55
2000-05-26,659.9,679.0,645.15,671.8
2000-05-29,670.0,680.0,660.0,670.5
2000-05-30,673.0,749.0,668.0,739.15
2000-05-31,770.0,789.0,709.0,725.6
2000-06-01,715.35,733.0,691.1,695.65
2000-06-02,703.0,719.0,686.05,696.5
2000-06-05,709.9,724.0,661.0,665.1
2000-06-06,661.0,679.85,650.1,667.95
2000-06-07,669.0,699.85,665.0,688.25
2000-06-08,694.95,712.95,690.05,707.6
2000-06-09,702.0,721.0,691.0,699.5
2000-06-12,703.0,703.0,681.5,688.25
2000-06-13,683.0,695.0,678.0,689.85
2000-06-14,696.9,704.5,687.0,697.8
2000-06-15,700.0,727.0,697.0,716.9
2000-06-16,718.8,732.1,715.0,723.7
2000-06-19,725.0,750.85,723.1,737.25
2000-06-20,746.0,765.3,740.0,751.4
2000-06-21,760.0,764.6,717.0,724.95
2000-06-22,724.0,744.0,710.0,736.0
