Date,Open,High,Low,Close
2000-01-03,220.0,229.35,220.0,229.35
2000-01-04,247.7,247.7,225.25,246.95
2000-01-05,229.0,240.0,227.2,228.4
2000-01-06,235.1,239.0,217.0,225.9
2000-01-07,213.0,219.0,207.85,208.85
2000-01-10,215.0,219.0,192.15,192.15
2000-01-11,180.2,180.2,176.8,176.8
2000-01-12,165.0,169.45,162.7,162.7
2000-01-13,149.7,175.7,149.7,167.35
2000-01-14,169.0,177.0,156.15,159.85
2000-01-17,169.0,170.0,150.15,153.5
2000-01-18,148.25,158.9,147.3,149.5
2000-01-19,154.5,161.5,154.0,161.5
2000-01-20,174.45,174.45,174.45,174.45
2000-01-21,188.4,188.45,182.1,188.45
2000-01-24,200.0,203.55,200.0,203.55
2000-01-25,214.9,218.9,189.05,200.6
2000-01-27,194.95,194.95,194.95,194.95
2000-01-28,210.55,210.55,210.55,210.55
2000-01-31,227.4,227.4,219.0,227.4
2000-02-01,245.45,245.6,211.1,230.6
2000-02-02,245.0,245.0,220.55,222.0
2000-02-03,215.0,218.9,204.25,207.4
2000-02-04,204.25,211.0,200.0,204.0
2000-02-07,201.55,202.8,190.0,191.65
2000-02-08,181.05,193.0,181.05,190.0
2000-02-09,184.0,190.0,178.2,180.05
2000-02-10,181.0,181.0,168.0,172.5
2000-02-11,166.0,174.0,166.0,171.15
2000-02-14,170.05,170.5,157.5,157.5
2000-02-15,148.0,163.7,148.0,149.6
2000-02-16,155.25,161.6,154.0,161.6
2000-02-17,165.0,174.55,164.8,174.55
2000-02-18,184.4,188.0,162.75,174.85
2000-02-21,175.0,178.0,161.0,171.6
2000-02-22,175.0,176.0,161.5,163.2
2000-02-23,169.0,176.25,158.0,160.4
2000-02-24,161.1,163.0,151.0,153.85
2000-02-25,151.7,155.9,141.55,143.3
2000-02-28,139.0,146.0,132.2,144.15
2000-02-29,142.0,155.7,135.55,140.45
2000-03-01,145.0,151.7,142.0,151.7
2000-03-02,162.0,163.85,155.5,163.85
2000-03-03,171.9,177.0,153.0,171.25
2000-03-06,177.0,184.95,174.0,184.95
2000-03-07,195.0,199.75,187.0,199.75
2000-03-08,214.8,215.75,189.05,194.8
2000-03-09,205.0,210.0,179.25,179.25
2000-03-10,165.1,175.0,164.95,164.95
2000-03-13,165.0,165.0,151.75,151.75
2000-03-14,140.1,140.1,139.65,139.65
2000-03-15,144.0,148.0,128.6,144.3
2000-03-16,140.0,144.0,133.0,134.3
2000-03-21,129.0,134.5,123.6,123.6
2001-07-02,48.05,49.5,48.0,48.05
2001-07-03,49.5,49.5,47.5,48.0
2001-07-04,48.5,49.0,47.75,48.4
2001-07-05,49.0,49.45,48.0,48.3
2001-07-06,48.5,48.5,47.0,48.0
2001-07-09,47.5,48.5,47.0,47.6
2001-07-10,47.05,48.0,46.0,46.8
2001-07-11,49.5,49.5,46.0,46.0
2001-07-12,46.5,47.0,46.0,46.0
2001-07-13,46.0,47.9,45.0,45.0
2001-07-16,45.0,46.0,44.5,44.5
2001-07-17,44.0,46.0,44.0,45.15
2001-07-18,45.0,45.45,42.1,44.9
2001-07-19,44.7,45.0,44.1,44.55
2001-07-20,44.0,44.95,43.55,43.6
2001-07-23,41.65,44.0,41.65,44.0
2001-07-24,35.5,43.5,35.5,39.95
2001-07-25,39.75,42.4,38.7,41.65
2001-07-26,42.0,42.35,40.65,42.0
2001-07-27,41.95,42.5,41.1,42.3
2001-07-30,40.1,42.25,40.1,41.45
2001-07-31,41.05,42.5,41.05,42.0
2001-08-01,42.05,43.0,42.0,42.45
2001-08-02,42.1,42.5,41.5,42.2
2001-08-03,43.0,43.15,42.0,43.05
2001-08-06,43.0,43.25,43.0,43.0
2001-08-07,43.0,43.5,42.5,42.8
2001-08-08,43.1,43.75,42.6,43.2
2001-08-09,43.0,43.4,43.0,43.3
2001-08-10,43.15,43.45,43.0,43.0
2001-08-13,44.0,44.0,43.0,43.0
2001-08-14,43.5,43.75,43.0,43.0
2001-08-16,43.0,43.9,43.0,43.1
2001-08-17,43.0,43.5,43.0,43.0
2001-08-20,43.0,43.4,43.0,43.0
2001-08-21,43.0,43.45,43.0,43.0
2001-08-23,42.9,43.35,42.9,43.0
2001-08-24,43.0,43.25,43.0,43.0
2001-08-27,43.0,43.45,43.0,43.25
2001-08-28,43.0,43.25,43.0,43.05
2001-08-29,43.5,43.5,43.0,43.05
2001-08-30,43.0,43.25,43.0,43.0
