Date,Open,High,Low,Close
2004-06-23,500.0,745.0,150.0,635.95
2004-06-24,630.0,630.0,608.4,616.0
2004-06-25,619.0,679.0,616.1,668.3
2004-06-28,660.0,671.9,640.2,656.4
2004-06-29,656.0,683.4,653.0,671.7
2004-06-30,672.0,700.0,670.0,695.15
2004-07-01,702.0,765.0,690.1,745.2
2004-07-02,745.0,780.0,724.65,730.5
2004-07-05,728.2,743.5,711.1,719.05
2004-07-06,721.8,738.0,715.3,729.6
2004-07-07,733.0,739.0,725.2,727.7
2004-07-08,730.0,742.0,695.7,711.95
2004-07-09,695.0,748.0,625.0,744.75
2004-07-12,744.0,752.0,717.5,724.25
2004-07-13,727.7,739.9,720.0,731.15
2004-07-14,738.0,740.0,712.15,716.8
2004-07-15,725.0,732.0,715.0,724.4
2004-07-16,727.8,763.9,727.0,755.95
2004-07-19,758.8,777.0,748.0,765.15
2004-07-20,762.0,799.0,756.0,792.8
2004-07-21,795.0,806.2,776.15,796.3
2004-07-22,794.8,806.7,775.25,784.2
2004-07-23,784.0,789.0,765.2,775.65
2004-07-26,760.0,783.7,755.0,774.9
2004-07-27,779.95,797.0,755.2,790.45
2004-07-28,805.0,835.0,770.0,771.7
2004-07-29,775.0,783.1,772.2,776.75
2004-07-30,783.0,789.7,768.85,774.7
2004-08-02,781.5,784.9,750.5,760.05
2004-08-03,764.0,776.0,762.5,768.6
2004-08-04,768.0,804.0,766.0,798.1
2004-08-05,783.0,814.5,783.0,810.65
2004-08-06,822.4,822.4,797.25,808.2
2004-08-09,800.0,822.0,800.0,811.0
2004-08-10,812.0,816.9,801.2,805.6
2004-08-11,805.95,812.0,765.0,774.35
2004-08-12,780.0,795.0,768.05,773.15
2004-08-13,782.0,782.9,761.65,766.35
2004-08-16,772.5,782.05,760.1,779.7
2004-08-17,777.0,792.4,777.0,786.55
2004-08-18,787.0,787.0,770.0,772.45
2004-08-19,774.9,811.0,774.9,809.4
2004-08-20,815.0,815.0,792.3,797.9
2004-08-23,804.9,809.9,787.0,801.0
2004-08-24,804.7,828.9,802.0,825.05
2004-08-25,829.0,839.7,820.0,834.6
2004-08-26,845.0,845.0,807.25,812.95
2004-08-27,816.0,824.85,812.0,817.15
2004-08-30,830.0,830.0,815.1,820.55
2004-08-31,824.4,835.0,817.0,833.15
2004-09-01,821.05,879.5,800.0,874.0
2004-09-02,865.0,898.3,855.1,860.15
2004-09-03,858.0,875.85,850.0,860.6
2004-09-06,867.0,876.0,853.3,855.15
2004-09-07,864.0,868.0,852.2,856.35
2004-09-08,865.7,865.7,848.9,853.85
2004-09-09,860.0,864.0,845.0,848.3
2004-09-10,853.7,853.7,844.0,849.6
2004-09-13,850.0,850.0,837.1,840.75
2004-09-14,835.0,852.7,826.1,844.4
2004-09-15,850.0,855.0,831.35,839.2
2004-09-16,839.0,849.5,836.0,846.5
2004-09-17,848.8,867.9,842.0,854.05
2004-09-20,856.5,865.0,855.0,861.1
2004-09-21,867.0,867.0,850.0,855.25
2004-09-22,863.9,882.0,857.15,871.65
2004-09-23,865.0,880.0,850.15,857.9
2004-09-24,870.0,877.85,862.0,874.55
2004-09-27,884.9,890.0,870.15,874.4
2004-09-28,880.0,880.0,849.15,857.6
2004-09-29,855.0,865.0,848.6,850.75
2004-09-30,858.0,863.0,852.0,855.85
2004-10-01,857.0,879.0,857.0,875.25
2004-10-04,880.0,894.85,871.25,877.15
2004-10-05,875.0,881.0,860.1,862.45
2004-10-06,869.0,874.0,845.0,847.6
2004-10-07,855.0,859.0,841.5,848.75
2004-10-08,849.8,853.0,840.0,842.15
2004-10-09,850.0,855.5,841.0,844.4
2004-10-11,854.9,854.9,845.0,847.1
2004-10-12,850.0,850.0,835.0,836.2
2004-10-14,843.9,860.0,839.0,853.25
2004-10-15,857.8,873.5,838.0,841.0
2004-10-18,847.0,850.0,835.25,838.0
2004-10-19,844.8,846.5,836.1,842.75
2004-10-20,846.5,846.5,836.0,838.45
2004-10-21,838.0,838.0,816.35,820.75
2004-10-25,824.7,836.8,812.5,830.35
2004-10-26,835.0,835.0,795.0,804.3
2004-10-27,809.8,818.45,790.35,795.55
2004-10-28,799.75,821.5,798.0,810.35
2004-10-29,817.45,835.5,805.0,830.25
2004-11-01,827.0,836.35,816.0,833.95
2004-11-02,839.85,839.85,816.3,820.65
2004-11-03,822.0,832.0,821.0,831.2
2004-11-04,831.0,834.8,822.0,825.05
2004-11-05,827.0,847.0,825.0,842.2
2004-11-08,843.0,860.0,840.0,851.85
2004-11-09,846.0,858.0,840.25,854.15
2004-11-10,860.0,860.0,844.55,852.25
2004-11-11,856.0,860.0,840.0,855.45
2004-11-12,859.9,869.0,856.0,858.35
2004-11-16,859.0,872.45,854.2,858.8
2004-11-17,841.05,867.0,841.05,848.5
2004-11-18,856.0,865.0,849.0,861.05
2004-11-19,866.85,866.85,844.0,848.6
2004-11-22,859.7,859.7,831.35,846.35
2004-11-23,850.0,854.95,838.1,850.7
2004-11-24,854.35,864.3,845.05,860.85
2004-11-25,861.0,878.0,857.0,875.4
2004-11-29,870.0,887.0,854.0,880.75
2004-11-30,886.0,913.7,871.0,903.9
2004-12-01,900.2,936.9,890.15,922.5
2004-12-02,920.0,984.0,920.0,954.05
2004-12-03,955.25,1004.9,955.25,997.35
2004-12-06,1000.0,1009.9,950.05,958.2
2004-12-07,979.9,979.9,906.65,915.35
2004-12-08,920.0,946.0,910.3,913.75
2004-12-09,921.8,934.0,900.0,904.95
2004-12-10,915.8,925.1,901.0,906.15
2004-12-13,910.0,920.0,906.15,908.15
2004-12-14,910.0,918.0,907.15,910.0
2004-12-15,918.9,964.0,910.0,944.85
2004-12-16,948.0,995.95,948.0,990.3
2004-12-17,990.0,995.0,931.2,940.85
2004-12-20,955.0,990.0,940.0,979.8
2004-12-21,994.0,994.0,959.0,978.9
2004-12-22,985.0,986.0,960.0,973.65
2004-12-23,983.8,984.95,973.0,980.3
2004-12-24,984.9,999.0,973.05,977.8
2004-12-27,975.0,996.0,972.0,991.55
2004-12-28,982.0,1010.0,982.0,1004.2
2004-12-29,1004.0,1021.0,985.0,989.0
2004-12-30,993.95,1000.0,967.0,990.55
2004-12-31,991.0,999.75,980.0,984.55
2005-01-03,999.0,999.0,965.65,976.8
2005-01-04,980.0,989.0,972.0,974.2
2005-01-05,975.0,994.0,946.8,959.25
2005-01-06,959.9,960.0,936.5,939.95
2005-01-07,941.0,980.0,941.0,974.5
2005-01-10,976.0,989.85,970.2,972.7
2005-01-11,970.0,979.0,937.5,939.0
2005-01-12,940.0,961.0,905.3,922.85
2005-01-13,930.0,935.0,909.9,919.3
2005-01-14,906.25,930.0,905.1,908.7
2005-01-17,916.85,922.9,906.0,919.05
2005-01-18,921.0,923.6,908.4,920.4
2005-01-19,921.1,932.25,918.0,926.05
2005-01-20,925.0,957.0,910.0,952.7
2005-01-24,964.0,964.0,910.5,916.6
2005-01-25,920.0,924.0,901.6,909.4
2005-01-27,890.0,922.5,890.0,912.7
2005-01-28,919.9,984.35,916.15,965.3
2005-01-31,970.0,1010.0,965.85,1005.25
2005-02-01,1005.0,1005.0,970.9,988.0
2005-02-02,984.5,1000.0,975.0,979.3
2005-02-03,980.0,1009.0,980.0,989.9
2005-02-04,994.0,1001.0,972.05,990.45
2005-02-07,992.0,996.8,973.15,978.2
2005-02-08,978.0,978.0,962.15,967.25
2005-02-09,970.55,1002.0,968.0,996.45
2005-02-10,995.0,999.95,985.05,997.45
2005-02-11,999.9,1005.0,993.0,995.05
2005-02-14,1034.9,1034.9,992.25,1001.4
2005-02-15,1004.9,1035.0,985.0,1003.25
2005-02-16,1010.05,1028.7,1006.1,1013.1
2005-02-17,1010.0,1025.0,1001.25,1020.65
2005-02-18,1025.0,1036.5,1018.25,1025.25
2005-02-21,1011.0,1034.0,1010.0,1019.75
2005-02-22,1024.4,1074.95,1015.0,1067.7
2005-02-23,1070.0,1103.95,1056.0,1090.3
2005-02-24,1094.7,1094.8,1054.0,1059.75
2005-02-25,1065.0,1091.7,1052.0,1082.35
2005-02-28,1080.0,1124.0,1078.1,1088.25
2005-03-01,1124.9,1149.75,1085.0,1136.35
2005-03-02,1148.0,1148.0,1108.65,1113.8
2005-03-03,1120.0,1135.9,1097.1,1101.65
2005-03-04,1114.0,1131.0,1107.0,1117.6
2005-03-07,1133.0,1134.0,1091.25,1099.2
2005-03-08,1105.0,1122.0,1095.0,1107.4
2005-03-09,1115.1,1117.95,1091.0,1097.45
2005-03-10,1100.0,1104.0,1085.0,1090.9
