Date,Open,High,Low,Close
2000-01-03,453.3,453.35,448.9,453.35
2000-01-04,489.6,489.65,489.6,489.65
2000-01-05,528.85,528.85,451.15,514.85
2000-01-06,528.0,550.0,518.0,524.55
2000-01-07,515.0,522.0,490.0,496.4
2000-01-10,509.9,535.0,491.7,497.2
2000-01-11,514.0,537.0,510.1,532.8
2000-01-12,540.0,550.0,490.2,490.25
2000-01-13,516.0,520.0,465.5,499.0
2000-01-14,500.0,525.0,490.1,519.0
2000-01-17,538.0,560.55,538.0,560.55
2000-01-18,570.0,595.95,550.25,573.95
2000-01-19,601.0,619.9,572.0,599.2
2000-01-20,597.95,597.95,566.0,572.35
2000-01-21,585.0,585.0,544.0,550.0
2000-01-24,539.1,549.9,511.25,514.7
2000-01-25,516.0,519.75,491.2,507.25
2000-01-27,540.0,540.0,475.0,499.3
2000-01-28,508.0,519.9,500.0,511.1
2000-01-31,507.0,517.5,500.0,507.75
2000-02-01,509.0,513.75,475.0,481.95
2000-02-02,500.0,520.55,498.0,520.55
2000-02-03,540.0,558.7,515.05,519.2
2000-02-04,516.0,522.9,501.0,509.2
2000-02-07,497.0,512.9,497.0,505.85
2000-02-08,514.9,546.35,514.9,546.35
2000-02-09,580.0,589.0,520.0,529.2
2000-02-10,535.25,571.55,535.25,571.25
2000-02-11,589.0,616.95,589.0,616.95
2000-02-14,659.5,664.0,620.0,653.8
2000-02-15,625.0,627.95,601.5,601.5
2000-02-16,609.0,610.0,553.4,553.4
2000-02-17,510.25,558.9,509.15,529.45
2000-02-18,525.0,538.5,490.2,496.0
2000-02-21,505.0,515.0,492.0,507.8
2000-02-22,491.25,520.0,491.25,515.4
2000-02-23,524.0,555.0,513.0,514.75
2000-02-24,525.0,554.8,504.0,513.8
2000-02-25,534.0,534.0,490.0,496.15
2000-02-28,490.0,513.0,476.0,510.25
2000-02-29,503.0,511.95,475.0,482.15
2000-03-01,490.0,490.0,444.0,460.45
2000-03-02,470.0,470.1,423.65,423.7
2000-03-03,390.0,399.9,389.95,391.35
2000-03-06,397.95,408.25,381.5,402.45
2000-03-07,393.0,395.0,370.25,370.3
2000-03-08,367.1,397.0,345.0,350.05
2000-03-09,353.0,353.0,322.05,322.05
2000-03-10,329.0,347.85,320.0,347.85
2000-03-13,353.7,375.7,345.0,375.7
2000-03-14,398.7,400.5,375.0,387.4
2000-03-15,384.9,384.9,356.45,356.45
2000-03-16,335.0,350.0,327.95,327.95
2000-03-21,328.0,354.2,323.0,350.45
2000-03-22,357.0,378.5,355.0,369.2
2000-03-23,380.0,382.0,339.7,339.7
2000-03-24,327.1,335.0,316.0,330.25
2000-03-27,335.0,352.95,335.0,339.65
2000-03-28,356.5,365.0,344.5,348.9
2000-03-29,358.5,370.5,348.0,351.45
2000-03-30,341.1,341.1,323.35,325.65
2000-03-31,324.0,324.95,308.5,317.85
2000-04-03,319.0,329.0,292.45,292.7
2000-04-04,271.0,305.0,269.3,296.7
2000-04-05,302.0,320.4,292.1,315.5
2000-04-06,320.0,324.0,297.0,314.4
2000-04-07,319.0,339.55,319.0,339.55
2000-04-10,340.0,364.95,340.0,355.15
2000-04-11,350.0,351.0,331.15,348.45
2000-04-12,345.0,345.0,321.0,322.85
2000-04-13,311.0,314.25,303.0,308.05
2000-04-17,295.25,295.25,283.45,283.8
2000-04-18,290.0,294.95,275.2,280.0
2000-04-19,289.0,296.6,280.0,283.75
2000-04-20,279.0,290.0,266.0,282.25
2000-04-24,271.5,284.5,271.5,280.2
2000-04-25,273.0,302.35,267.25,293.55
2000-04-26,311.0,311.0,294.5,308.45
2000-04-27,315.0,317.0,283.8,283.8
2000-04-28,283.0,283.0,261.1,269.0
2000-05-02,269.0,272.0,251.0,267.35
2000-05-03,260.0,275.0,256.1,266.8
2000-05-04,266.0,277.0,265.0,270.0
2000-05-05,275.0,302.4,272.0,298.75
2000-05-08,305.0,312.0,278.0,281.5
2000-05-09,273.5,275.9,264.0,272.8
2000-05-10,279.9,279.9,260.0,261.8
2000-05-11,252.0,257.95,230.4,230.4
2000-05-12,228.0,230.0,202.75,204.5
2000-05-15,200.1,217.0,193.0,215.15
2000-05-16,219.5,219.95,209.05,212.95
2000-05-17,218.0,227.4,210.0,212.9
2000-05-18,206.0,211.5,206.0,209.85
2000-05-19,208.0,209.4,203.3,205.45
2000-05-22,200.3,204.5,199.0,200.55
2000-05-23,197.0,200.9,186.0,187.3
2000-05-24,184.95,199.0,181.15,196.05
2000-05-25,200.0,219.6,200.0,219.6
2000-05-26,219.0,225.0,197.95,210.8
2000-05-29,209.9,218.0,209.0,214.15
2000-05-30,217.0,231.15,217.0,229.3
2000-05-31,239.0,256.75,235.0,248.9
2000-06-01,240.1,240.1,219.05,219.05
2000-06-02,220.0,226.8,205.0,212.7
2000-06-05,217.05,229.75,208.0,210.1
2000-06-06,214.0,214.4,207.1,212.55
2000-06-07,216.95,220.8,213.0,215.3
2000-06-08,216.9,221.0,214.0,215.75
2000-06-09,217.0,220.9,212.55,214.95
2000-06-12,218.8,225.0,216.0,217.1
2000-06-13,215.15,223.0,215.15,221.1
2000-06-14,226.5,235.0,220.0,228.3
2000-06-15,228.9,232.75,222.1,224.2
2000-06-16,224.95,230.0,221.5,228.95
2000-06-19,228.0,231.9,224.0,225.35
2000-06-20,229.95,229.95,219.5,221.15
2000-06-21,225.0,227.5,220.0,220.6
2000-06-22,224.75,224.75,216.0,220.95
2000-06-23,219.1,221.0,212.0,213.35
2000-06-26,210.2,215.0,210.0,213.35
2000-06-27,214.0,215.7,208.25,209.6
2000-06-28,213.9,215.0,211.0,214.5
2000-06-29,215.0,222.0,214.1,215.05
2000-06-30,214.0,217.5,211.05,212.05
2000-07-03,213.9,217.0,213.25,214.85
2000-07-04,215.85,232.05,214.0,228.15
2000-07-05,234.9,234.9,225.0,226.25
2000-07-06,222.5,228.0,222.0,224.95
2000-07-07,225.25,226.5,223.75,225.05
2000-07-10,224.5,231.8,224.5,226.65
2000-07-11,227.0,227.75,223.05,224.35
2000-07-12,227.0,229.9,225.8,226.6
2000-07-13,228.05,229.5,215.25,219.95
2000-07-14,220.0,223.75,217.0,217.8
2000-07-17,217.05,218.75,209.0,210.75
2000-07-18,210.0,217.8,210.0,212.4
2000-07-19,214.8,217.8,207.5,208.7
2000-07-20,205.5,210.8,205.0,207.1
2000-07-21,209.8,210.0,200.55,202.35
2000-07-24,196.0,196.0,170.0,171.1
2000-07-25,172.0,194.0,159.0,181.9
2000-07-26,186.5,189.0,182.6,183.85
2000-07-27,189.0,209.0,187.0,205.3
2000-07-28,197.1,213.0,197.1,206.65
2000-07-31,203.1,204.9,193.5,195.9
2000-08-01,191.0,198.0,173.1,178.0
2000-08-02,177.0,184.0,174.6,181.5
2000-08-03,181.9,182.0,174.6,175.35
2000-08-04,176.8,177.5,168.5,169.75
2000-08-07,169.8,174.5,169.8,173.75
2000-08-08,174.0,187.65,174.0,182.65
2000-08-09,183.0,185.9,180.35,181.25
2000-08-10,182.0,182.35,179.6,179.75
2000-08-11,177.0,178.8,170.15,173.25
2000-08-14,170.5,174.8,170.5,173.45
2000-08-16,177.0,184.75,175.6,181.8
2000-08-17,181.0,210.5,176.3,201.3
2000-08-18,204.0,206.0,190.0,197.7
2000-08-21,199.95,203.4,198.1,199.35
2000-08-22,200.0,202.85,197.2,202.2
2000-08-23,205.0,205.0,199.25,200.05
2000-08-24,203.0,203.0,195.2,198.25
2000-08-25,195.3,200.0,195.3,198.75
2000-08-28,197.0,204.55,196.0,200.15
2000-08-29,204.5,204.5,188.65,190.3
2000-08-30,192.0,193.0,182.0,185.65
2000-08-31,189.9,190.0,183.0,184.3
2000-09-04,187.5,193.0,186.0,187.8
2000-09-05,190.0,200.0,188.0,195.75
2000-09-06,200.0,207.9,199.0,202.7
2000-09-07,202.0,206.8,200.0,200.2
2000-09-08,202.0,205.0,199.8,201.15
2000-09-11,202.5,218.8,202.5,210.35
2000-09-12,209.0,212.95,207.0,211.1
2000-09-13,212.9,212.9,198.0,200.8
2000-09-14,202.0,204.5,199.0,202.25
2000-09-15,202.0,202.6,195.0,195.85
2000-09-18,195.0,195.0,189.1,191.55
2000-09-19,190.1,192.9,180.0,186.55
2000-09-20,193.9,193.9,187.0,191.9
2000-09-21,190.0,192.45,189.0,189.85
2000-09-22,186.1,189.9,181.0,182.6
2000-09-25,186.0,189.0,184.2,186.95
2000-09-26,187.5,187.5,183.0,185.7
2000-09-27,186.0,186.95,182.1,185.85
2000-09-28,185.85,188.0,184.0,185.8
2000-09-29,186.9,186.9,182.2,185.2
2000-10-03,180.25,189.5,180.25,185.65
2000-10-04,185.3,190.0,185.3,187.9
2000-10-05,187.5,188.75,177.3,179.55
2000-10-06,178.5,181.0,171.0,175.1
2000-10-09,176.0,176.0,164.8,166.0
2000-10-10,165.5,167.95,159.05,161.9
2000-10-11,160.0,164.5,159.0,160.1
2000-10-12,160.0,162.9,158.0,160.8
2000-10-13,158.0,159.4,153.3,154.5
2000-10-16,160.9,166.5,151.0,153.2
2000-10-17,151.0,152.0,146.5,147.75
2000-10-18,147.75,148.75,144.1,146.7
2000-10-19,143.0,146.9,142.05,145.9
2000-10-20,149.9,152.5,145.25,145.6
2000-10-23,146.0,146.0,134.5,135.55
2000-10-24,133.0,137.3,133.0,134.85
2000-10-25,136.0,145.0,135.5,140.85
2000-10-26,135.5,135.5,128.0,130.3
2000-10-27,131.0,134.05,129.9,132.55
2000-10-30,133.0,133.5,130.1,131.05
2000-10-31,131.1,131.85,126.15,128.95
2000-11-01,130.0,135.0,129.0,133.6
2000-11-02,134.5,139.9,132.15,137.05
2000-11-03,138.85,148.05,137.5,144.2
2000-11-06,145.2,150.95,143.1,145.95
2000-11-07,146.5,147.5,141.05,144.6
2000-11-08,146.0,151.4,144.0,145.05
2000-11-09,149.0,155.0,142.0,145.4
2000-11-10,144.75,144.75,140.05,140.65
