Date,Open,High,Low,Close
2010-01-08,2555.0,2575.0,2475.2,2494.65
2010-01-11,2401.0,2515.0,2400.0,2498.95
2010-01-12,2540.0,2540.0,2471.35,2502.85
2010-01-13,2502.85,2540.0,2480.0,2489.35
2010-01-14,2535.0,2595.0,2470.0,2568.2
2010-01-15,2580.0,2580.0,2500.05,2513.5
2010-01-18,2574.0,2574.0,2514.0,2536.15
2010-01-19,2567.0,2570.0,2531.0,2556.1
2010-01-20,2550.0,2575.0,2540.0,2542.5
2010-01-21,2539.9,2569.0,2499.9,2526.2
2010-01-22,2500.0,2530.0,2478.0,2529.0
2010-01-25,2665.35,2665.35,2510.0,2522.25
2010-01-27,2570.0,2574.9,2498.6,2566.9
2010-01-28,2568.0,2610.0,2535.5,2586.85
2010-01-29,2526.0,2580.0,2526.0,2533.0
2010-02-01,2599.95,2599.95,2515.1,2532.2
2010-02-02,2599.1,2599.1,2540.0,2560.1
2010-02-03,2588.0,2600.0,2556.0,2564.6
2010-02-04,2548.0,2583.8,2548.0,2568.35
2010-02-05,2582.0,2582.0,2442.0,2549.1
2010-02-06,2455.0,2572.9,2455.0,2566.4
2010-02-08,2570.0,2672.0,2570.0,2645.5
2010-02-09,2600.1,2824.0,2600.1,2792.6
2010-02-10,2802.0,3244.0,2738.6,2750.2
2010-02-11,2819.0,2819.0,2726.1,2737.25
2010-02-15,2815.0,2815.0,2614.0,2719.25
2010-02-16,2792.0,2814.7,2697.05,2701.85
2010-02-17,2705.15,2743.0,2681.4,2688.75
2010-02-18,2688.75,2710.0,2645.0,2651.5
2010-02-19,2650.0,2685.0,2628.0,2640.15
2010-02-22,2625.05,2649.0,2560.0,2584.9
2010-02-23,2570.0,2590.0,2551.0,2552.2
2010-02-24,2550.0,2590.0,2540.0,2574.7
2010-02-25,2580.0,2600.0,2552.1,2559.6
2010-02-26,2526.1,2650.0,2526.1,2626.9
2010-03-02,2620.0,2645.0,2600.0,2625.45
2010-03-03,2630.0,2640.0,2604.65,2629.15
2010-03-04,2610.0,2650.0,2610.0,2634.0
2010-03-05,2670.0,2719.8,2670.0,2701.15
2010-03-08,2730.0,2750.0,2692.25,2725.95
2010-03-09,2700.0,2751.0,2700.0,2745.2
2010-03-10,2721.0,2765.0,2721.0,2739.95
2010-03-11,2725.0,2740.0,2695.0,2732.75
2010-03-12,2825.0,2825.0,2690.0,2715.45
2010-03-15,2731.0,2757.0,2704.1,2744.8
2010-03-16,2735.6,2736.0,2660.0,2672.35
2010-03-17,2690.0,2690.0,2655.0,2678.55
2010-03-18,2698.0,2698.0,2658.05,2668.05
2010-03-19,2689.75,2689.75,2621.0,2646.35
2010-03-22,2650.0,2659.8,2611.5,2634.7
2010-03-23,2641.2,2661.0,2635.0,2653.85
