Date,Open,High,Low,Close
2004-11-05,88.0,88.0,70.0,75.55
2004-11-08,76.8,78.6,75.0,75.2
2004-11-09,75.1,76.1,74.55,75.3
2004-11-10,75.5,75.95,75.0,75.05
2004-11-11,75.35,75.4,74.3,74.45
2004-11-12,75.0,82.4,73.65,74.65
2004-11-16,74.7,74.8,73.2,73.65
2004-11-17,73.7,75.2,73.5,73.6
2004-11-18,75.0,79.85,73.5,73.65
2004-11-19,73.65,74.85,73.5,73.55
2004-11-22,73.6,75.05,72.0,74.45
2004-11-23,75.0,76.5,74.95,75.85
2004-11-24,76.55,78.0,76.2,77.8
2004-11-25,77.9,79.0,76.8,77.05
2004-11-29,77.2,78.0,76.75,77.3
2004-11-30,77.9,79.7,76.85,79.1
2004-12-01,79.5,80.5,79.0,79.7
2004-12-02,80.5,81.35,79.95,80.45
2004-12-03,80.75,80.9,79.25,79.6
2004-12-06,81.6,82.1,79.65,79.9
2004-12-07,80.2,81.75,79.55,80.45
2004-12-08,80.7,81.2,79.55,80.0
2004-12-09,79.9,80.35,79.6,80.0
2004-12-10,81.6,81.6,78.7,79.0
2004-12-13,79.15,80.0,78.85,79.6
2004-12-14,80.1,81.75,79.8,81.6
2004-12-15,82.0,84.5,81.95,84.1
2004-12-16,84.5,85.0,83.5,83.8
2004-12-17,84.1,84.2,82.5,83.0
2004-12-20,83.0,83.95,83.0,83.25
2004-12-21,83.5,84.8,83.45,84.5
2004-12-22,84.95,84.95,82.9,83.15
2004-12-23,83.0,84.0,83.0,83.25
2004-12-24,83.75,84.4,83.3,83.65
2004-12-27,83.5,85.5,83.0,85.05
2004-12-28,85.45,87.15,85.3,86.95
2004-12-29,87.0,89.1,86.6,87.05
2004-12-30,87.15,87.8,85.3,85.65
2004-12-31,86.1,87.9,86.0,87.25
2005-01-03,88.0,88.8,87.05,88.5
2005-01-04,88.65,89.65,87.65,88.8
2005-01-05,88.45,89.1,82.25,84.85
2005-01-06,84.75,84.75,81.6,82.7
2005-01-07,83.9,83.95,82.8,83.35
2005-01-10,88.0,88.0,83.1,83.45
2005-01-11,83.5,83.8,81.55,81.8
2005-01-12,81.0,82.5,78.0,79.05
2005-01-13,80.3,82.5,79.6,81.8
2005-01-14,82.35,82.6,80.6,81.15
2005-01-17,82.0,82.1,79.1,81.25
