Date,Open,High,Low,Close
2000-01-03,205.0,214.4,205.0,213.45
2000-01-04,201.5,209.7,201.0,206.55
2000-01-05,201.0,223.1,200.5,223.1
2000-01-06,234.0,234.9,217.6,219.3
2000-01-07,223.0,223.0,213.0,215.75
2000-01-10,205.0,218.0,205.0,209.5
2000-01-11,210.0,210.0,194.0,195.1
2000-01-12,204.95,209.8,200.0,202.2
2000-01-13,202.0,202.95,198.0,198.85
2000-01-14,194.1,197.0,193.1,194.4
2000-01-17,195.0,195.5,193.25,195.0
2000-01-18,193.95,193.95,185.2,186.4
2000-01-19,191.0,194.0,191.0,192.15
2000-01-20,192.0,194.45,192.0,192.4
2000-01-21,185.0,194.0,185.0,190.75
2000-01-24,190.0,192.5,187.0,191.85
2000-01-25,188.25,192.0,187.0,189.3
2000-01-27,192.9,204.45,191.0,204.45
2000-01-28,207.0,209.9,197.0,205.4
2000-01-31,215.0,215.0,205.5,209.7
2000-02-01,206.0,216.9,201.3,215.1
2000-02-02,220.0,224.7,214.0,214.65
2000-02-03,211.5,215.0,209.45,209.7
2000-02-04,215.0,215.0,203.25,212.1
2000-02-07,215.95,222.0,208.0,216.5
2000-02-08,212.1,220.0,207.0,209.8
2000-02-09,214.95,214.95,209.15,212.75
2000-02-10,205.0,210.0,204.0,206.6
2000-02-11,199.1,200.05,190.1,191.45
2000-02-14,194.9,194.9,188.0,189.45
2000-02-15,190.0,191.4,175.5,177.9
2000-02-16,188.0,189.95,185.1,186.25
2000-02-17,188.5,188.5,185.0,186.65
2000-02-18,174.55,186.95,174.55,183.25
2000-02-21,179.1,182.5,178.0,179.3
2000-02-22,179.9,180.0,171.0,175.3
2000-02-23,180.0,181.0,175.0,175.0
2000-02-24,176.0,178.25,170.6,171.8
2000-02-25,173.25,173.4,161.1,163.35
2000-02-28,166.0,176.45,162.1,176.45
2000-02-29,188.0,188.4,163.0,167.25
2000-03-01,166.1,173.75,166.1,172.5
2000-03-02,173.55,175.0,159.0,160.25
2000-03-03,150.0,161.35,150.0,155.3
2000-03-06,150.0,160.0,150.0,157.3
2000-03-07,157.0,159.8,147.35,150.55
2000-03-08,156.9,156.9,147.0,147.4
2000-03-09,152.0,156.0,146.0,154.0
2000-03-10,150.0,152.0,143.0,144.7
