Date,Open,High,Low,Close
2007-10-05,89.8,109.5,83.15,100.6
2007-10-08,104.0,104.0,94.85,95.45
2007-10-09,95.5,102.85,90.35,101.95
2007-10-10,104.6,105.0,102.0,102.9
2007-10-11,120.0,120.0,102.0,114.4
2007-10-12,112.0,117.9,111.0,113.65
2007-10-15,116.0,116.7,114.15,115.15
2007-10-16,115.3,128.9,114.5,126.9
2007-10-17,114.0,140.0,106.1,136.8
2007-10-18,139.0,149.45,126.35,132.0
2007-10-19,129.0,136.9,125.0,131.55
2007-10-22,128.9,133.85,125.5,129.8
2007-10-23,133.0,140.3,133.0,139.05
2007-10-24,142.0,143.5,135.35,136.9
2007-10-25,132.25,139.8,120.65,136.6
2007-10-26,139.0,142.95,135.25,140.7
2007-10-29,143.0,147.0,142.3,143.55
2007-10-30,145.5,150.7,141.2,146.75
2007-10-31,147.5,153.1,147.0,149.8
2007-11-01,153.5,154.65,145.25,146.45
2007-11-02,141.15,150.0,140.0,149.1
2007-11-05,149.0,155.5,148.1,152.15
2007-11-06,154.8,163.9,152.05,154.15
2007-11-07,157.0,159.2,148.5,151.9
2007-11-08,148.0,153.35,146.0,149.3
2007-11-09,155.0,155.0,146.7,148.7
2007-11-12,144.8,155.6,140.85,152.9
2007-11-13,155.5,159.7,150.55,156.55
2007-11-14,159.3,161.5,153.7,154.5
2007-11-15,157.4,159.85,154.15,157.1
2007-11-16,156.4,159.55,154.2,156.0
2007-11-19,159.55,167.5,158.35,161.65
2007-11-20,161.0,165.5,157.2,159.15
2007-11-21,160.1,161.05,143.2,146.75
2007-11-22,145.2,151.1,135.55,141.7
2007-11-23,151.0,152.0,142.6,151.1
2007-11-26,156.7,156.7,151.1,152.3
2007-11-27,154.9,154.9,147.0,148.55
2007-11-28,151.8,152.5,145.35,146.35
2007-11-29,150.0,150.8,140.55,142.4
2007-11-30,145.0,148.8,143.0,147.9
2007-12-03,149.7,151.85,148.55,150.0
2007-12-04,151.0,152.25,146.95,148.05
2007-12-05,148.3,154.5,148.0,153.95
2007-12-06,157.3,159.65,149.15,151.1
2007-12-07,152.05,154.2,147.75,150.45
2007-12-10,151.9,152.45,148.65,150.6
2007-12-11,151.95,152.8,149.15,149.9
2007-12-12,148.0,151.15,147.0,149.8
2007-12-13,150.85,152.0,146.7,147.3
2007-12-14,146.8,148.15,145.1,145.85
2007-12-17,146.7,147.5,135.0,137.05
2007-12-18,135.5,141.0,132.2,136.45
2007-12-19,140.85,142.05,132.8,133.95
2007-12-20,135.7,136.8,132.0,132.6
2007-12-24,134.6,138.8,133.5,136.65
2007-12-26,137.4,142.5,137.4,140.8
2007-12-27,143.7,145.7,140.6,141.8
2007-12-28,141.5,143.5,140.0,142.9
2007-12-31,144.0,144.8,142.2,143.95
2008-01-01,144.7,147.95,143.35,146.6
