Date,Open,High,Low,Close
2000-01-03,237.5,251.7,237.5,251.7
2000-01-04,258.4,271.85,251.3,271.85
2000-01-05,256.65,287.9,256.65,282.5
2000-01-06,289.0,300.7,289.0,294.35
2000-01-07,295.0,317.9,293.0,314.55
2000-01-10,317.4,318.7,305.3,308.5
2000-01-11,307.95,310.95,283.85,288.5
2000-01-12,289.0,305.0,282.15,301.7
2000-01-13,306.0,316.4,304.1,311.85
2000-01-14,309.5,321.65,309.5,316.3
2000-01-17,318.25,322.9,307.05,308.75
2000-01-18,309.0,318.95,305.55,314.2
2000-01-19,322.85,324.9,316.2,319.6
2000-01-20,320.0,324.9,310.55,312.85
2000-01-21,312.7,328.4,312.0,326.35
2000-01-24,325.5,331.85,322.0,326.15
2000-01-25,325.05,325.3,318.25,319.95
2000-01-27,329.0,336.8,322.7,334.95
2000-01-28,335.9,341.9,331.6,338.35
2000-01-31,334.45,336.0,326.55,328.15
2000-02-01,330.8,337.45,328.0,334.05
2000-02-02,342.9,346.9,338.55,340.15
2000-02-03,342.0,343.5,336.4,341.65
2000-02-04,344.0,347.35,341.7,344.15
2000-02-07,341.1,349.45,338.05,343.6
2000-02-08,345.5,346.9,341.05,342.4
2000-02-09,349.0,354.65,344.8,350.4
2000-02-10,348.8,363.8,344.9,355.75
2000-02-11,364.0,374.0,360.05,363.3
2000-02-14,359.0,360.9,350.0,352.1
2000-02-15,352.0,354.4,342.05,344.35
2000-02-16,350.0,353.8,343.1,348.15
2000-02-17,347.7,356.8,347.5,354.55
2000-02-18,356.9,357.95,348.0,349.45
2000-02-21,348.4,352.0,341.65,345.65
2000-02-22,346.0,347.0,332.5,334.35
2000-02-23,344.7,344.7,327.3,329.8
2000-02-24,332.9,340.7,329.3,336.75
2000-02-25,341.4,342.9,326.1,328.6
2000-02-28,324.85,337.25,310.0,333.1
2000-02-29,337.9,342.85,306.45,310.85
2000-03-01,315.0,329.85,299.0,316.8
2000-03-02,318.85,322.0,291.5,291.75
2000-03-03,286.1,286.1,268.45,268.45
2000-03-06,268.45,283.85,247.0,253.95
2000-03-07,257.0,259.0,240.0,242.3
2000-03-08,246.9,250.5,230.0,232.95
2000-03-09,235.9,242.4,224.15,231.3
2000-03-10,234.0,234.8,214.6,216.85
2000-03-13,219.9,229.5,200.3,203.2
2000-03-14,205.5,219.5,197.15,219.2
2000-03-15,224.0,236.75,216.0,236.75
2000-03-16,239.5,247.8,230.1,234.85
2000-03-21,238.8,242.8,227.6,237.9
2000-03-22,245.0,248.5,241.2,243.4
2000-03-23,245.25,245.8,238.55,240.95
2000-03-24,239.2,242.95,237.65,240.6
2000-03-27,243.0,259.85,243.0,259.85
2000-03-28,263.1,280.65,263.1,280.65
2000-03-29,284.8,289.9,269.0,271.3
2000-03-30,269.0,293.0,258.3,293.0
2000-03-31,297.0,316.45,280.1,316.45
2000-04-03,327.65,333.7,318.1,328.6
2000-04-04,326.0,326.0,302.35,302.35
2000-04-05,303.4,312.0,278.25,302.25
2000-04-06,303.0,326.45,302.55,326.15
2000-04-07,329.8,352.25,329.8,352.25
2000-04-10,369.9,380.0,359.5,364.55
2000-04-11,358.0,359.0,346.5,353.75
2000-04-12,357.0,360.0,334.4,337.95
2000-04-13,331.1,331.1,310.95,310.95
2000-04-17,286.1,300.8,286.1,298.4
2000-04-18,297.1,308.9,294.0,300.05
2000-04-19,307.7,324.05,303.1,314.85
2000-04-20,313.0,340.05,309.25,337.75
2000-04-24,346.0,360.6,323.0,336.95
2000-04-25,322.3,339.5,311.65,332.05
2000-04-26,340.0,358.65,340.0,357.95
2000-04-27,360.8,366.0,338.3,345.65
2000-04-28,347.5,351.9,340.3,345.05
2000-05-02,348.0,354.65,325.25,329.15
2000-05-03,327.0,333.85,309.2,328.0
2000-05-04,331.0,342.95,331.0,337.2
2000-05-05,338.5,341.55,328.1,335.35
2000-05-08,331.0,337.0,322.3,324.0
2000-05-09,321.5,331.85,318.4,328.35
2000-05-10,330.0,334.9,323.3,325.25
2000-05-11,324.05,324.05,314.0,316.75
2000-05-12,319.6,322.5,313.3,315.9
2000-05-15,312.05,324.7,306.5,319.5
2000-05-16,320.0,321.9,315.0,317.4
2000-05-17,320.9,328.4,316.25,318.85
2000-05-18,318.0,319.75,307.1,310.1
2000-05-19,308.0,319.05,307.25,315.6
2000-05-22,313.0,316.9,309.0,312.45
2000-05-23,312.3,316.0,308.5,314.75
