Date,Open,High,Low,Close
2000-01-03,236.0,243.65,234.25,243.65
2000-01-04,243.65,262.0,238.85,259.1
2000-01-05,249.0,264.7,245.0,248.45
2000-01-06,252.0,268.0,252.0,261.0
2000-01-07,261.5,279.9,255.0,273.3
2000-01-10,280.0,289.85,265.2,269.5
2000-01-11,266.8,267.0,247.95,247.95
2000-01-12,244.0,251.5,236.6,244.75
2000-01-13,246.0,255.6,243.1,244.5
2000-01-14,245.0,245.0,238.1,239.2
2000-01-17,244.4,251.0,232.3,235.9
2000-01-18,236.9,241.0,233.75,236.45
2000-01-19,240.9,247.5,240.0,243.95
2000-01-20,243.0,244.8,236.25,237.7
2000-01-21,238.75,239.75,235.5,237.45
2000-01-24,236.65,240.35,227.1,228.3
2000-01-25,226.0,227.9,222.6,224.85
2000-01-27,229.0,235.5,228.0,230.15
2000-01-28,232.7,248.6,232.7,248.5
2000-01-31,246.0,256.75,242.5,244.7
2000-02-01,245.0,250.7,242.75,246.5
2000-02-02,257.0,258.7,246.0,247.5
2000-02-03,250.0,264.9,248.6,258.8
2000-02-04,260.0,264.75,254.5,255.9
2000-02-07,258.7,258.7,243.6,247.4
2000-02-08,247.0,248.5,240.8,242.3
2000-02-09,254.0,254.0,243.15,245.4
2000-02-10,242.2,250.95,242.2,248.8
2000-02-11,251.0,257.7,246.6,250.1
2000-02-14,252.0,270.15,251.35,266.6
2000-02-15,271.9,272.0,247.0,253.9
2000-02-16,257.0,257.0,247.5,250.0
2000-02-17,248.0,253.8,247.0,250.0
2000-02-18,251.75,252.8,239.0,241.1
2000-02-21,243.0,248.9,240.0,244.2
2000-02-22,245.0,246.4,234.0,237.1
2000-02-23,244.9,248.0,232.0,234.05
2000-02-24,236.0,247.0,234.25,243.35
2000-02-25,242.0,246.5,239.15,241.0
2000-02-28,241.0,248.7,237.3,245.45
2000-02-29,248.9,262.0,225.85,228.75
2000-03-01,233.0,241.5,225.0,236.2
2000-03-02,239.0,241.4,223.0,226.0
2000-03-03,223.0,227.9,207.95,208.2
2000-03-06,214.7,224.0,203.15,212.1
2000-03-07,212.1,213.5,202.5,207.5
2000-03-08,209.0,209.0,190.9,191.45
2000-03-09,191.5,194.0,176.15,178.9
2000-03-10,180.9,180.9,168.15,170.4
2000-03-13,173.25,179.0,163.0,164.35
2000-03-14,168.5,177.5,161.1,177.5
2000-03-15,177.6,191.0,175.0,186.5
2000-03-16,185.9,201.45,182.5,199.7
2000-03-21,203.9,215.6,198.3,212.9
2000-03-22,214.7,217.5,206.85,212.1
2000-03-23,210.0,211.75,197.25,200.4
2000-03-24,199.0,201.5,194.35,197.25
2000-03-27,198.0,202.0,189.1,193.1
2000-03-28,191.5,203.9,186.8,200.35
2000-03-29,204.9,206.4,195.0,197.55
2000-03-30,199.0,204.5,185.35,200.5
2000-03-31,198.0,209.8,192.2,204.75
2000-04-03,205.0,219.65,205.0,213.3
2000-04-04,210.55,211.5,196.25,196.35
2000-04-05,197.0,203.0,187.5,196.2
2000-04-06,198.0,206.4,194.3,203.9
2000-04-07,204.0,219.5,204.0,218.1
2000-04-10,219.25,231.5,210.35,221.3
2000-04-11,218.0,223.9,209.15,220.75
2000-04-12,220.0,226.5,215.9,217.95
2000-04-13,215.5,215.5,203.2,204.85
2000-04-17,202.25,202.25,188.6,197.3
2000-04-18,198.9,204.0,198.0,201.0
2000-04-19,206.0,208.95,196.25,202.75
2000-04-20,199.8,204.95,195.1,203.45
2000-04-24,203.0,205.4,199.1,201.2
2000-04-25,199.0,202.0,193.6,200.7
2000-04-26,207.0,216.45,203.5,215.1
2000-04-27,212.0,214.85,205.15,206.7
2000-04-28,206.5,209.45,203.3,206.45
2000-05-02,207.0,207.9,193.7,195.75
2000-05-03,197.0,198.0,185.0,196.6
2000-05-04,198.8,204.7,194.1,203.1
2000-05-05,204.9,207.9,200.0,201.4
2000-05-08,202.5,202.5,197.65,198.4
2000-05-09,196.6,198.15,193.0,197.15
2000-05-10,197.0,202.0,196.5,197.65
2000-05-11,195.0,195.5,186.1,189.5
2000-05-12,192.9,192.9,185.75,187.1
2000-05-15,185.35,189.8,182.3,188.6
2000-05-16,188.85,189.5,186.0,188.25
2000-05-17,191.0,193.0,188.25,190.15
2000-05-18,192.0,192.0,183.1,184.3
2000-05-19,186.5,188.0,182.7,185.3
2000-05-22,183.5,184.5,180.0,182.8
2000-05-23,182.1,183.6,176.15,180.4
2000-05-24,180.5,181.25,166.1,180.6
2000-05-25,181.95,185.9,180.5,184.3
2000-05-26,183.15,188.9,182.5,187.8
2000-05-29,187.95,196.7,187.95,192.5
2000-05-30,193.85,201.0,193.0,198.6
2000-05-31,205.0,207.0,199.6,203.8
2000-06-01,203.5,203.5,198.1,199.3
2000-06-02,200.95,203.65,200.05,202.05
2000-06-05,203.5,216.4,203.5,205.8
2000-06-06,206.0,211.25,204.0,209.0
2000-06-07,210.45,211.4,206.1,208.85
2000-06-08,209.5,225.4,208.55,220.2
2000-06-09,222.0,230.4,218.4,223.0
2000-06-12,223.1,226.8,217.5,218.2
2000-06-13,217.5,219.7,215.55,217.75
2000-06-14,219.2,224.9,218.0,220.7
2000-06-15,220.25,227.3,218.1,223.15
2000-06-16,224.45,235.95,223.5,233.6
2000-06-19,236.45,237.7,229.4,231.35
2000-06-20,233.0,238.85,230.5,237.2
2000-06-21,239.0,239.45,224.4,225.3
2000-06-22,224.45,232.0,222.5,230.5
2000-06-23,233.35,248.95,233.35,236.6
2000-06-26,235.0,239.0,224.6,227.8
2000-06-27,228.0,234.3,226.25,227.05
2000-06-28,228.0,231.45,225.3,228.5
2000-06-29,230.0,234.0,228.5,230.05
2000-06-30,227.55,233.0,226.0,227.4
2000-07-03,229.8,232.9,228.0,230.65
2000-07-04,232.0,235.85,231.05,233.2
2000-07-05,236.0,236.0,231.7,232.6
2000-07-06,231.0,232.5,227.55,229.0
2000-07-07,231.0,235.0,229.6,231.95
2000-07-10,232.8,234.0,226.25,228.7
2000-07-11,227.0,231.9,226.5,230.7
2000-07-12,232.0,233.35,228.5,230.1
2000-07-13,231.0,235.25,225.0,229.4
2000-07-14,228.0,230.4,224.5,225.65
2000-07-17,225.0,228.5,222.6,224.0
2000-07-18,223.0,235.0,223.0,230.4
2000-07-19,230.5,232.65,221.25,223.25
2000-07-20,223.4,224.9,217.75,219.85
2000-07-21,221.0,222.0,217.1,218.0
2000-07-24,216.5,216.5,198.55,200.05
2000-07-25,197.0,205.7,189.0,202.5
2000-07-26,205.0,205.0,193.0,194.65
2000-07-27,193.75,198.9,190.1,197.65
2000-07-28,199.3,207.8,198.0,205.85
2000-07-31,203.4,205.5,199.5,200.65
2000-08-01,201.5,203.0,197.25,199.95
2000-08-02,198.0,203.75,197.25,203.05
2000-08-03,203.8,209.0,199.5,200.55
2000-08-04,201.0,204.45,199.35,201.9
2000-08-07,202.9,204.0,199.6,200.7
2000-08-08,201.8,204.5,201.5,203.3
2000-08-09,205.0,205.0,202.5,203.0
2000-08-10,203.5,203.95,200.1,200.75
2000-08-11,200.2,201.0,195.2,199.5
2000-08-14,199.0,201.0,196.0,199.3
2000-08-16,202.0,204.0,200.5,201.45
2000-08-17,203.0,203.0,196.3,197.55
2000-08-18,196.55,197.5,192.65,196.85
2000-08-21,198.0,198.65,196.4,197.45
2000-08-22,198.0,199.3,195.65,197.75
2000-08-23,200.0,201.4,198.5,199.7
2000-08-24,200.5,200.5,195.5,199.3
2000-08-25,198.1,200.5,197.3,198.55
2000-08-28,197.1,199.9,197.1,199.6
2000-08-29,199.6,201.5,198.0,199.25
2000-08-30,199.5,204.45,199.5,200.7
2000-08-31,200.85,201.5,196.6,198.45
2000-09-04,199.9,204.25,198.4,201.7
2000-09-05,203.45,207.5,201.3,205.15
2000-09-06,207.0,210.85,206.05,208.7
2000-09-07,207.0,210.25,207.0,208.15
2000-09-08,208.9,214.45,208.9,212.75
2000-09-11,214.85,217.0,212.25,212.85
2000-09-12,213.9,214.4,211.3,212.75
2000-09-13,212.7,213.4,205.3,205.9
2000-09-14,206.3,208.5,203.0,204.2
2000-09-15,204.0,204.7,198.65,199.75
2000-09-18,198.55,198.55,195.15,195.75
2000-09-19,195.15,196.0,188.25,190.85
2000-09-20,199.0,199.0,190.6,193.75
2000-09-21,193.0,194.5,191.6,192.25
2000-09-22,191.0,191.0,181.0,183.05
2000-09-25,185.0,192.0,184.1,186.55
2000-09-26,189.0,189.0,181.3,182.1
2000-09-27,182.5,182.5,178.0,180.55
2000-09-28,181.25,181.5,176.5,176.9
2000-09-29,177.5,178.8,176.0,177.45
2000-10-03,175.5,177.0,170.65,172.15
2000-10-04,173.0,175.7,172.0,174.25
2000-10-05,174.65,175.2,171.5,172.05
2000-10-06,171.15,172.8,169.65,171.5
2000-10-09,171.5,175.2,171.0,172.45
2000-10-10,173.1,174.15,171.0,172.0
2000-10-11,170.9,171.9,165.25,168.1
2000-10-12,166.6,169.9,166.55,168.3
2000-10-13,167.15,168.5,165.1,165.55
2000-10-16,169.5,172.9,165.2,166.2
2000-10-17,165.15,165.9,159.5,161.4
2000-10-18,161.0,162.0,157.4,158.95
2000-10-19,159.0,161.25,156.5,159.35
2000-10-20,161.2,165.5,160.0,161.05
2000-10-23,158.1,160.0,155.8,156.55
2000-10-24,155.5,157.4,155.0,155.75
2000-10-25,157.0,159.85,156.15,157.2
2000-10-26,155.15,159.3,155.05,159.0
2000-10-27,159.75,160.5,157.65,158.55
2000-10-30,159.5,159.7,156.7,157.05
2000-10-31,158.95,164.5,158.95,163.25
2000-11-01,166.0,176.35,165.5,173.55
2000-11-02,173.4,175.9,171.1,172.5
2000-11-03,172.6,179.45,172.6,174.8
2000-11-06,176.0,180.6,173.3,174.15
2000-11-07,173.0,175.4,172.75,173.55
2000-11-08,175.1,178.8,174.95,175.15
2000-11-09,174.75,175.85,172.5,173.35
2000-11-10,173.0,174.45,168.5,168.9
2000-11-13,167.1,167.1,164.3,165.1
2000-11-14,165.2,169.9,164.3,168.65
2000-11-15,174.75,177.9,170.5,172.9
2000-11-16,174.0,176.2,171.3,173.9
2000-11-17,174.2,174.2,166.05,169.05
2000-11-20,167.1,170.3,166.6,169.0
2000-11-21,168.0,169.0,166.25,167.45
2000-11-22,167.5,171.4,167.5,168.7
2000-11-23,167.55,169.35,167.05,168.0
2000-11-24,168.0,171.2,168.0,169.4
2000-11-27,170.45,179.95,169.1,178.15
2000-11-28,177.05,191.9,177.05,186.95
2000-11-29,186.1,189.5,178.55,180.55
2000-11-30,180.7,184.55,180.2,182.45
2000-12-01,181.1,190.8,180.5,188.4
2000-12-04,190.0,203.0,188.55,194.75
2000-12-05,195.7,196.75,193.1,194.0
2000-12-06,199.0,199.0,190.0,191.15
2000-12-07,189.1,194.2,189.1,192.3
2000-12-08,193.45,201.0,193.45,196.9
2000-12-11,199.0,199.5,194.3,196.55
2000-12-12,196.05,198.1,192.1,192.85
2000-12-13,194.0,200.0,193.7,199.2
2000-12-14,200.4,205.4,197.0,198.1
2000-12-15,197.3,198.3,190.5,191.7
2000-12-18,190.0,192.0,187.1,190.65
2000-12-19,191.5,198.4,191.5,196.55
2000-12-20,195.2,200.8,193.6,196.5
2000-12-21,196.15,196.15,191.85,193.35
2000-12-22,194.5,196.0,186.0,187.65
2000-12-26,189.9,190.7,181.0,183.25
