Date,Open,High,Low,Close
2000-01-03,68.0,68.0,63.05,64.75
2000-01-04,65.6,66.0,59.6,59.85
2000-01-05,59.1,61.0,59.0,60.0
2000-01-06,58.1,62.0,58.1,60.6
2000-01-07,60.0,61.95,57.05,60.45
2000-01-10,57.1,60.0,57.0,57.35
2000-01-11,58.0,58.0,53.0,54.1
2000-01-12,53.4,54.8,53.0,54.75
2000-01-13,53.75,53.95,52.7,52.95
2000-01-14,55.0,55.0,52.0,54.0
2000-01-17,56.0,56.0,54.0,55.5
2000-01-18,53.5,55.0,53.0,53.7
2000-01-19,54.0,56.4,53.3,55.4
2000-01-20,55.0,59.75,55.0,59.2
2000-01-21,59.0,59.4,56.95,57.45
2000-01-24,55.6,57.0,53.55,53.95
2000-01-25,52.05,53.0,50.05,51.1
2000-01-27,51.5,55.0,50.0,50.45
2000-01-28,54.0,54.0,47.55,48.0
2000-01-31,45.0,45.8,44.2,45.3
2000-02-01,44.0,48.75,44.0,47.1
2000-02-02,50.0,50.9,48.3,50.9
2000-02-03,52.5,53.0,49.25,51.9
2000-02-04,53.0,55.0,52.0,54.6
2000-02-07,53.0,59.0,53.0,58.0
2000-02-08,60.4,62.0,58.0,60.45
2000-02-09,65.0,65.0,58.1,60.1
2000-02-10,59.0,59.0,55.35,56.2
2000-02-11,56.0,56.0,53.0,55.7
2000-02-14,55.0,55.0,51.25,51.25
2000-02-15,48.0,50.0,47.15,47.45
2000-02-16,49.6,49.6,46.8,47.0
2000-02-17,46.0,48.5,46.0,48.05
2000-02-18,46.55,48.0,44.75,45.7
2000-02-21,47.0,47.0,42.25,42.9
2000-02-22,44.0,44.0,39.5,39.8
2000-02-23,40.5,41.95,38.1,41.25
2000-02-24,42.75,44.0,40.0,41.75
2000-02-25,43.0,45.1,42.5,44.8
2000-02-28,44.8,47.8,42.0,46.25
2000-02-29,47.5,49.95,45.1,45.55
2000-03-01,45.5,46.0,42.0,45.2
2000-03-02,45.0,47.45,42.0,42.5
2000-03-03,40.2,40.45,39.1,39.2
2000-03-06,39.75,42.3,39.75,42.3
2000-03-07,40.25,40.9,38.95,38.95
2000-03-08,39.0,39.0,38.0,38.15
2000-03-09,38.0,38.0,35.1,36.85
2000-03-10,34.0,36.65,34.0,35.05
2000-03-13,33.15,33.75,32.3,32.5
2000-03-14,30.0,33.0,30.0,32.8
2000-03-15,33.8,35.4,33.8,35.4
2000-03-16,33.1,35.75,33.1,34.5
2000-03-21,33.5,36.4,32.0,34.8
2001-07-02,29.75,32.95,29.75,32.95
2001-07-03,30.8,31.35,30.0,30.5
2001-07-04,30.5,31.0,30.0,30.9
2001-07-05,30.45,31.5,30.45,31.5
2001-07-06,30.25,31.2,29.9,30.3
2001-07-09,29.0,30.9,29.0,30.5
2001-07-10,30.95,31.45,30.5,30.85
2001-07-11,30.5,31.0,30.35,31.0
2001-07-12,31.0,33.5,30.5,32.7
2001-07-13,32.55,36.5,32.55,34.85
2001-07-16,35.0,36.0,35.0,35.4
2001-07-17,34.25,36.0,34.0,35.25
2001-07-18,35.1,35.85,35.0,35.6
2001-07-19,35.25,36.1,35.15,35.8
2001-07-20,34.9,36.0,34.9,35.3
2001-07-23,32.0,32.0,32.0,32.0
2001-07-24,34.0,36.25,34.0,36.0
2001-07-25,36.45,40.0,35.0,38.45
2001-07-26,40.0,40.5,38.3,39.45
2001-07-27,38.5,38.85,37.7,38.35
2001-07-30,38.9,39.0,37.0,37.55
2001-07-31,37.0,37.4,36.4,37.15
2001-08-01,42.95,42.95,36.5,38.0
2001-08-02,41.5,41.5,36.65,39.8
2001-08-03,38.65,40.3,38.55,39.8
2001-08-06,40.5,41.15,39.2,40.8
2001-08-07,42.5,42.5,39.5,39.85
2001-08-08,39.4,40.0,39.0,39.95
2001-08-09,38.15,39.75,38.0,39.65
2001-08-10,38.65,40.5,38.65,40.1
2001-08-13,40.0,40.1,39.6,39.9
2001-08-14,39.3,39.75,39.25,39.3
2001-08-16,40.0,40.4,39.4,40.1
